parcel_id,quality_tier,anomaly_flags,anomaly_count
01053008,clean,,0
01053007,clean,,0
01053006,clean,,0
01053005,clean,,0
01053004,clean,,0
01053003,clean,,0
01053002,clean,,0
01053009,clean,,0
01053001,clean,,0
01015014,clean,,0
01015015,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=26003,1
01015016,clean,,0
01015027,clean,,0
01015026,clean,,0
01014011,clean,,0
01015025,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=40938,1
01014008,clean,,0
01015018,clean,,0
01014007,clean,,0
01015024,clean,,0
01014013,clean,,0
01014006,clean,,0
01014014,clean,,0
01015023,clean,,0
01014005,clean,,0
01014015,clean,,0
01014004,clean,,0
01013003,clean,,0
01014016,clean,,0
01014003,clean,,0
01014017,clean,,0
01013004,clean,,0
01014002,clean,,0
01015007,clean,,0
01015006,clean,,0
01015005,clean,,0
01015004,clean,,0
01015003,clean,,0
01015002,clean,,0
01015001,clean,,0
01014010,clean,,0
01015017,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=27075,1
01014009,clean,,0
01014012,clean,,0
01015022,clean,,0
01013001,clean,,0
01013013,clean,,0
01013002,clean,,0
01015011,clean,,0
01015012,flag-for-review,statistical_outlier:est_value_high_z=-2.8_low_value=4053,1
01015013,clean,,0
01016008,clean,,0
01016003,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.6_low_value=-1347,1
01016002,clean,,0
01016010,clean,,0
01016011,clean,,0
01016013,clean,,0
01015009,clean,,0
01015008,clean,,0
01015010,clean,,0
01016006,clean,,0
01016005,clean,,0
01016007,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=15280,1
01016004,clean,,0
01016009,clean,,0
01016001,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=11188,1
01016012,clean,,0
01015019,clean,,0
01015020,clean,,0
01015021,clean,,0
01051011,clean,,0
01051010,clean,,0
01051009,clean,,0
01051008,clean,,0
01051007,clean,,0
01051006,clean,,0
