parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
01053008,"6026 27Th St N, Arlington VA 22207",Arlington - East Falls Church,R-6,False,5925.6,60.3,False,1952.0,511-Single Family Detached,1656.0,,851000.0,353200.0,1777.68,4444.2,35,2788.2,37.2620494127177,underdeveloped,estimated_from_improvement_value,293644.97772377485,400424.9696233293,213.29,163.44,263.14,123
01053007,"6030 27Th St N, Arlington VA 22207",Arlington - East Falls Church,R-6,False,6731.0,55.1,False,1952.0,511-Single Family Detached,350.0,,859800.0,74700.0,2019.3,5048.25,35,4698.25,6.933095627197544,underdeveloped,estimated_from_improvement_value,440104.0840885455,600141.9328480166,213.29,163.44,263.14,123
01053006,"6034 27Th St N, Arlington VA 22207",Arlington - East Falls Church,R-6,False,6000.0,59.6,False,1952.0,511-Single Family Detached,1543.0,,851000.0,329200.0,1800.0,4500.0,35,2957.0,34.28888888888889,underdeveloped,estimated_from_improvement_value,307560.8555555556,419401.16666666674,213.29,163.44,263.14,123
01053005,"6038 27Th St N, Arlington VA 22207",Arlington - East Falls Church,R-6,False,6000.0,59.9,False,1952.0,511-Single Family Detached,1968.0,,851000.0,419700.0,1800.0,4500.0,35,2532.0,43.733333333333334,underdeveloped,estimated_from_improvement_value,263356.13333333336,359122.0,213.29,163.44,263.14,123
01053004,"6042 27Th St N, Arlington VA 22207",Arlington - East Falls Church,R-6,False,6000.0,60.2,True,2015.0,511-Single Family Detached,4635.0,,851000.0,988500.0,1800.0,4500.0,35,-135.0,103.0,overdeveloped,estimated_from_improvement_value,,,213.29,163.44,263.14,123
01053003,"6046 27Th St N, Arlington VA 22207",Arlington - East Falls Church,R-6,False,6000.0,59.9,False,2019.0,511-Single Family Detached,4546.0,,851000.0,969700.0,1800.0,4500.0,35,-46.0,101.02222222222221,overdeveloped,estimated_from_improvement_value,,,213.29,163.44,263.14,123
01053002,"6050 27Th St N, Arlington VA 22207",Arlington - East Falls Church,R-6,False,6069.0,60.7,True,1951.0,511-Single Family Detached,1091.0,,851900.0,232800.0,1820.7,4551.75,35,3460.75,23.96880320755753,underdeveloped,estimated_from_improvement_value,356240.37101114966,485782.3241061131,213.29,163.44,263.14,123
01053009,"6020 27Th St N, Arlington VA 22207",Arlington - East Falls Church,R-6,False,6420.0,67.7,True,1952.0,511-Single Family Detached,1070.0,,856100.0,228300.0,1926.0,4815.0,35,3745.0,22.22222222222222,underdeveloped,estimated_from_improvement_value,366220.55555555556,499391.6666666666,213.29,163.44,263.14,123
01053001,"2645 N Ohio St, Arlington VA 22207",Arlington - East Falls Church,R-6,False,7671.0,72.3,True,2014.0,511-Single Family Detached,4411.0,,871100.0,940800.0,2301.2999999999997,5753.249999999999,35,1342.249999999999,76.66970842567245,underdeveloped,estimated_from_improvement_value,111776.59344718198,152422.6274279754,213.29,163.44,263.14,123
01015014,"6625 29Th St N, Arlington VA 22213",Arlington - East Falls Church,R-8,False,10001.0,81.4,True,2008.0,511-Single Family Detached,6514.0,,874500.0,1389400.0,2500.25,6250.625,35,-263.375,104.21357864213579,overdeveloped,estimated_from_improvement_value,,,213.29,163.44,263.14,123
