parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
13051005,"5224 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,7003.0,63.1,True,1941,511-Single Family Detached,505.0,,705200.0,93400.0,2100.9,5252.25,35,4747.25,9.614926936075015,underdeveloped,estimated_from_improvement_value,350567.5443857395,478046.65143509925,185,185,185,2
13046006,"5004 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,True,9370.0,56.9,False,1946,511-Single Family Detached,1015.0,,745700.0,187800.0,2520.0,6300.0,35,5285.0,16.11111111111111,underdeveloped,estimated_from_improvement_value,344057.6944444445,469169.5833333334,185,185,185,2
13046004,"5012 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,6770.0,47.5,False,1946,511-Single Family Detached,1525.0,,701200.0,282100.0,2031.0,5077.5,35,3552.5,30.034465780403742,underdeveloped,estimated_from_improvement_value,269829.07927129493,367948.7444608567,185,185,185,2
13046003,"5016 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,6426.0,49.0,False,1946,511-Single Family Detached,638.0,,695300.0,118100.0,1927.8,4819.5,35,4181.5,13.237887747691671,underdeveloped,estimated_from_improvement_value,331791.33156966494,452442.7248677248,185,185,185,2
13046001,"5024 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,6050.0,55.4,False,1946,511-Single Family Detached,3013.0,,688900.0,557400.0,1815.0,4537.5,35,1524.5,66.40220385674931,underdeveloped,estimated_from_improvement_value,127300.3696969697,173591.4132231405,185,185,185,2
13046108,"422 N Granada St, Arlington VA 22203",Arlington Forest,R-6,False,7320.0,46.5,False,1946,511-Single Family Detached,1152.0,,748000.0,213100.0,2196.0,5490.0,35,4338.0,20.983606557377048,underdeveloped,estimated_from_improvement_value,325073.4426229508,443281.9672131147,185,185,185,2
13046111,"410 N Granada St, Arlington VA 22203",Arlington Forest,R-6,False,6318.0,55.3,False,1946,511-Single Family Detached,6841.0,,730000.0,1265500.0,1895.3999999999999,4738.5,35,-2102.5,144.37058140761846,overdeveloped,estimated_from_improvement_value,,,185,185,185,2
13051017,"5106 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,6600.0,60.4,True,1941,511-Single Family Detached,2394.0,,698300.0,442800.0,1980.0,4950.0,35,2556.0,48.36363636363637,underdeveloped,estimated_from_improvement_value,198317.20000000004,270432.54545454547,185,185,185,2
13051016,"5110 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,5995.0,55.3,False,1941,511-Single Family Detached,1116.0,,688000.0,206500.0,1798.5,4496.25,35,3380.25,24.82068390325271,underdeveloped,estimated_from_improvement_value,284478.5321100918,387925.27105921606,185,185,185,2
13051019,"394 N Edison St, Arlington VA 22203",Arlington Forest,R-6,False,5672.0,59.1,False,1941,511-Single Family Detached,1209.0,,718400.0,223600.0,1701.6,4254.0,35,3045.0,28.42031029619182,underdeveloped,estimated_from_improvement_value,282825.6699576869,385671.3681241185,185,185,185,2
13051015,"5114 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,5995.0,55.6,False,1941,511-Single Family Detached,408.0,,688000.0,75500.0,1798.5,4496.25,35,4088.25,9.074228523769808,underdeveloped,estimated_from_improvement_value,344063.1192660551,469176.9808173478,185,185,185,2
13051013,"5122 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,6050.0,55.3,False,1941,511-Single Family Detached,526.0,,688900.0,97400.0,1815.0,4537.5,35,4011.5,11.59228650137741,underdeveloped,estimated_from_improvement_value,334972.4060606061,456780.55371900834,185,185,185,2
13051012,"5126 N Carlin Springs Rd, Arlington VA 22203",Arlington Forest,R-6,False,6050.0,55.6,False,1941,511-Single Family Detached,986.0,,688900.0,182500.0,1815.0,4537.5,35,3551.5,21.730027548209367,underdeveloped,estimated_from_improvement_value,296561.01212121214,404401.3801652893,185,185,185,2
