parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
24006014,"11 S Fenwick St, Arlington VA 22204",Arlington Heights,R-6,False,5741.0,65.7,False,1959.0,511-Single Family Detached,1675.0,,671200.0,309800.0,1722.3,4305.75,35,2630.75,38.901468965917665,underdeveloped,estimated_from_improvement_value,225551.33716541837,307570.00522557046,185,185,185,3
24008013,"20 S Garfield St, Arlington VA 22204",Arlington Heights,R-6,False,6232.0,50.4,False,1934.0,511-Single Family Detached,2645.0,,677100.0,489300.0,1869.6,4674.0,35,2029.0,56.589644843816856,underdeveloped,estimated_from_improvement_value,161662.3331193838,220448.636071887,185,185,185,3
24009016,"12 S Highland St, Arlington VA 22204",Arlington Heights,R-6,False,7754.0,64.2,True,1920.0,511-Single Family Detached,1762.0,,695400.0,326000.0,2326.2,5815.5,35,4053.5,30.298340641389395,underdeveloped,estimated_from_improvement_value,266587.93654887803,363529.0043848336,185,185,185,3
24010014,"3120 Arlington Blvd, Arlington VA 22204",Arlington Heights,R-6,False,8503.0,84.3,True,1953.0,511-Single Family Detached,1342.0,,631400.0,248300.0,2520.0,6300.0,35,4958.0,21.3015873015873,underdeveloped,estimated_from_improvement_value,273295.9777777778,372676.3333333334,185,185,185,3
24009013,"7 S Hudson St, Arlington VA 22204",Arlington Heights,R-6,False,6100.0,61.2,True,1951.0,511-Single Family Detached,2135.0,,658300.0,394900.0,1830.0,4575.0,35,2440.0,46.666666666666664,underdeveloped,estimated_from_improvement_value,193101.33333333337,263320.0,185,185,185,3
24008009,"19 S Highland St, Arlington VA 22204",Arlington Heights,R-6,False,8964.1,75.6,True,1938.0,511-Single Family Detached,671.0,,709700.0,124100.0,2520.0,6300.0,35,5629.0,10.65079365079365,underdeveloped,estimated_from_improvement_value,348761.2246031746,475583.48809523805,185,185,185,3
24010015,"8 S Hudson St, Arlington VA 22204",Arlington Heights,R-6,False,6428.0,61.4,True,1951.0,511-Single Family Detached,984.0,,664200.0,182100.0,1928.3999999999999,4821.0,35,3837.0,20.41070317361543,underdeveloped,estimated_from_improvement_value,290747.66023646545,396474.0821406347,185,185,185,3
24009017,"18 S Highland St, Arlington VA 22204",Arlington Heights,R-6,False,5965.0,49.4,False,1920.0,511-Single Family Detached,834.0,,673900.0,154200.0,1789.5,4473.75,35,3639.75,18.642078792958927,underdeveloped,estimated_from_improvement_value,301549.0670578374,411203.27326068736,185,185,185,3
24008028,"6 S Garfield St, Arlington VA 22204",Arlington Heights,R-6,True,7837.0,62.9,True,,200-GenCom VacLand-no siteplan,,,419700.0,0.0,2351.1,5877.75,35,5877.75,0.0,vacant,not_available,230835.0,314774.99999999994,185,185,185,3
24009014,"1 S Hudson St, Arlington VA 22204",Arlington Heights,R-6,False,7114.0,71.2,True,1951.0,511-Single Family Detached,1018.0,,608900.0,188300.0,2134.2,5335.5,35,4317.5,19.079748852028864,underdeveloped,estimated_from_improvement_value,270997.87508199795,369542.55692999717,185,185,185,3
