parcel_id,quality_tier,anomaly_flags,anomaly_count
37002100,clean,,0
37002022,clean,,0
37002028,clean,,0
37002033,clean,,0
37002102,clean,,0
37001100,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
37001099,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
37002096,clean,,0
37002037,clean,,0
37001094,clean,,0
37002038,clean,,0
37001097,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
36003012,clean,,0
37002056,clean,,0
37002087,clean,,0
37002058,clean,,0
37002080,clean,,0
37002081,clean,,0
37002086,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
37002053,clean,,0
37002010,clean,,0
37011005,clean,,0
37011004,clean,,0
37011008,clean,,0
37002075,clean,,0
37002066,clean,,0
37002045,clean,,0
37002015,clean,,0
37002063,clean,,0
37002079,clean,,0
37002078,clean,,0
37011002,clean,,0
36004006,clean,,0
37001011,clean,,0
37006004,clean,,0
36004018,clean,,0
36005009,clean,,0
36005015,clean,,0
36005018,clean,,0
37007009,clean,,0
37007010,clean,,0
36006005,clean,,0
37008008,clean,,0
37001002,clean,,0
36006012,clean,,0
36006014,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=-2204,1
36006017,clean,,0
37008013,clean,,0
37008014,clean,,0
36023019,clean,,0
36023004,clean,,0
36023003,clean,,0
37009004,clean,,0
37001012,clean,,0
37007007,clean,,0
37001008,clean,,0
36005011,clean,,0
37001034,clean,,0
37007001,clean,,0
37001006,clean,,0
37008002,clean,,0
37001001,clean,,0
37008001,clean,,0
37009005,clean,,0
37010049,clean,,0
37010048,clean,,0
37010047,clean,,0
37011054,clean,,0
37001030,clean,,0
37001102,clean,,0
37001103,clean,,0
36005010,clean,,0
36004012,clean,,0
37011015,clean,,0
37011039,clean,,0
37011025,clean,,0
37011024,clean,,0
37038031,clean,,0
37038033,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan|lot_area_remnant:344sf<1000sf_threshold|lot_width_remnant:5.4ft<15ft_threshold,3
37038023,clean,,0
37038022,clean,,0
37038021,clean,,0
37038003,clean,,0
37038009,clean,,0
37012008,clean,,0
37014015,clean,,0
37011047,clean,,0
37011016,clean,,0
37011022,clean,,0
37038018,clean,,0
