parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
37002100,"1625 Army Navy Dr, Arlington VA 22202",Arlington Ridge,R-10,True,18793.0,93.0,True,2016.0,511-Single Family Detached,8088.0,,853500.0,1416800.0,3500.0,8750.0,35,662.0,92.4342857142857,near-capacity,estimated_from_improvement_value,35515.35428571429,48430.02857142857,175.17,122.22,228.13,13
37002022,"1731 Army Navy Dr, Arlington VA 22202",Arlington Ridge,R-10,True,10102.0,47.0,False,2002.0,511-Single Family Detached,3788.0,,630600.0,663600.0,2525.5,6313.75,35,2525.75,59.99604038804197,underdeveloped,estimated_from_improvement_value,138745.73312215405,189198.7269847555,175.17,122.22,228.13,13
37002028,"1617 Army Navy Dr, Arlington VA 22202",Arlington Ridge,R-10,True,9567.0,68.7,False,2016.0,511-Single Family Detached,7114.0,,695700.0,1246100.0,2391.75,5979.375,35,-1134.625,118.97564544789381,overdeveloped,estimated_from_improvement_value,,,175.17,122.22,228.13,13
37002033,"1714 S Arlington Ridge Rd, Arlington VA 22202",Arlington Ridge,R-10,False,9363.0,50.2,False,1934.0,511-Single Family Detached,4229.0,,874300.0,740800.0,2340.75,5851.875,35,1622.875,72.26743565096658,underdeveloped,estimated_from_improvement_value,133356.19555697963,181849.35757769947,175.17,122.22,228.13,13
37002102,"1722 S Arlington Ridge Rd, Arlington VA 22202",Arlington Ridge,R-10,False,15840.0,79.3,False,,511-Single Family Detached,,,845200.0,0.0,3500.0,8750.0,35,8750.0,0.0,vacant,not_available,464860.00000000006,633900.0,175.17,122.22,228.13,13
37001100,"1805 S Arlington Ridge Rd, Arlington VA 22202",Arlington Ridge,R-10,False,9938.0,74.1,False,1891.0,215-Gen Comm - other,570.0,,499000.0,99800.0,2484.5,6211.25,35,5641.25,9.176896759911452,underdeveloped,estimated_from_improvement_value,249264.00684242306,339905.4638760314,175.17,122.22,228.13,13
37001099,"S Arlington Ridge Rd, Arlington VA 22202",Arlington Ridge,R-10,False,2186.0,35.7,False,,200-GenCom VacLand-no siteplan,,,130000.0,0.0,546.5,1366.25,35,1366.25,0.0,vacant,not_available,71500.0,97500.0,175.17,122.22,228.13,13
37002096,"S Arlington Ridge Rd, Arlington VA 22202",Arlington Ridge,R-10,True,14477.0,99.1,True,,510-Res - Vacant(SF & Twnhse),,,779700.0,0.0,3500.0,8750.0,35,8750.0,0.0,vacant,not_available,428835.00000000006,584775.0,175.17,122.22,228.13,13
37002037,"1806 S Arlington Ridge Rd, Arlington VA 22202",Arlington Ridge,R-10,False,14422.0,94.9,True,1924.0,511-Single Family Detached,5132.0,,983600.0,898900.0,3500.0,8750.0,35,3618.0,58.651428571428575,underdeveloped,estimated_from_improvement_value,223687.50171428573,305028.41142857145,175.17,122.22,228.13,13
37001094,"S Lynn St, Arlington VA 22202",Arlington Ridge,R-10,False,10117.0,39.6,False,,510-Res - Vacant(SF & Twnhse),,,70800.0,0.0,2529.25,6323.125,35,6323.125,0.0,vacant,not_available,38940.0,53100.0,175.17,122.22,228.13,13
