parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
33002011,"1000 S Quinn St, Arlington VA 22204",Arlington View,R-5,False,4452.0,41.3,False,1950.0,511-Single Family Detached,227.0,,573900.0,149300.0,1513.68,3784.2000000000003,35,3557.2000000000003,5.998625865440515,underdeveloped,estimated_from_improvement_value,296710.6373870303,404605.4146186777,657.57,445.8,869.35,24
33003002,"1724 Columbia Pike, Arlington VA 22204",Arlington View,R-5,True,7375.0,72.6,True,1936.0,511-Single Family Detached,761.0,,578600.0,500500.0,2380.0,5950.0,35,5189.0,12.789915966386555,underdeveloped,estimated_from_improvement_value,277528.65042016807,378448.1596638655,657.57,445.8,869.35,24
33002012,"1710 Columbia Pike, Arlington VA 22204",Arlington View,R-5,True,5129.0,46.8,False,1965.0,511-Single Family Detached,208.0,,552900.0,137100.0,1743.8600000000001,4359.650000000001,35,4151.650000000001,4.771025196976821,underdeveloped,estimated_from_improvement_value,289586.5509272534,394890.7512644364,657.57,445.8,869.35,24
33003001,"1726 Columbia Pike, Arlington VA 22204",Arlington View,R-5,False,7465.0,74.5,True,1920.0,511-Single Family Detached,229.0,,579500.0,150800.0,2380.0,5950.0,35,5721.0,3.8487394957983194,underdeveloped,estimated_from_improvement_value,306458.10504201683,417897.41596638656,657.57,445.8,869.35,24
33002001,"1121 S Quinn St, Arlington VA 22204",Arlington View,R-5,False,7728.0,70.7,True,1937.0,511-Single Family Detached,757.0,,613200.0,498100.0,2380.0,5950.0,35,5193.0,12.722689075630253,underdeveloped,estimated_from_improvement_value,294351.4588235294,401388.3529411765,657.57,445.8,869.35,24
33002003,"1107 S Quinn St, Arlington VA 22204",Arlington View,R-5,False,8175.0,72.9,True,1958.0,511-Single Family Detached,307.0,,618600.0,201700.0,2380.0,5950.0,35,5643.0,5.159663865546219,underdeveloped,estimated_from_improvement_value,322675.27563025214,440011.73949579836,657.57,445.8,869.35,24
33010008,"1725 14Th St S, Arlington VA 22204",Arlington View,R-5,False,7879.0,80.1,True,1955.0,515-Duplex,213.0,,615000.0,140300.0,2380.0,5950.0,35,5737.0,3.5798319327731094,underdeveloped,estimated_from_improvement_value,326141.218487395,444738.02521008404,657.57,445.8,869.35,24
33006030,"1612 13Th Rd S, Arlington VA 22204",Arlington View,R-5,True,4000.0,40.7,False,1939.0,511-Single Family Detached,219.0,,568500.0,143800.0,1360.0,3400.0,35,3181.0,6.441176470588235,underdeveloped,estimated_from_improvement_value,292535.05147058825,398911.4338235294,657.57,445.8,869.35,24
33010015,"1704 13Th Rd S, Arlington VA 22204",Arlington View,R-5,False,5057.0,50.8,True,1951.0,511-Single Family Detached,398.0,,581100.0,261900.0,1719.38,4298.450000000001,35,3900.4500000000007,9.259151554630156,underdeveloped,estimated_from_improvement_value,290012.2886738243,395471.3027370331,657.57,445.8,869.35,24
33010013,"1712 13Th Rd S, Arlington VA 22204",Arlington View,R-5,False,5615.0,58.2,True,1953.0,511-Single Family Detached,439.0,,587800.0,288500.0,1909.1000000000001,4772.75,35,4333.75,9.198051437850296,underdeveloped,estimated_from_improvement_value,293553.6195065738,400300.39023623697,657.57,445.8,869.35,24
33011015,"14Th Rd S, Arlington VA 22204",Arlington View,R-5,False,4896.0,50.0,False,,511-Single Family Detached,,,,,1664.64,4161.6,35,,,near-capacity,,,,657.57,445.8,869.35,24
33011002,"1711 14Th Rd S, Arlington VA 22204",Arlington View,R-5,False,4896.0,50.3,False,1956.0,511-Single Family Detached,170.0,,579200.0,111500.0,1664.64,4161.6,35,3991.6000000000004,4.084967320261438,underdeveloped,estimated_from_improvement_value,305546.9281045752,416654.90196078434,657.57,445.8,869.35,24
33010001,"1701 14Th St S, Arlington VA 22204",Arlington View,R-5,False,4896.0,49.9,False,1929.0,511-Single Family Detached,261.0,,579200.0,171800.0,1664.64,4161.6,35,3900.6000000000004,6.271626297577853,underdeveloped,estimated_from_improvement_value,298581.107266436,407156.0553633218,657.57,445.8,869.35,24
33011014,"1700 14Th St S, Arlington VA 22204",Arlington View,R-5,False,4896.0,49.5,False,1939.0,511-Single Family Detached,192.0,,579200.0,126300.0,1664.64,4161.6,35,3969.6000000000004,4.613610149942329,underdeveloped,estimated_from_improvement_value,303862.88350634376,414358.4775086505,657.57,445.8,869.35,24
33007004,"1201 S Rolfe St, Arlington VA 22204",Arlington View,R-5,False,5535.0,50.3,True,1956.0,511-Single Family Detached,158.0,,586900.0,103800.0,1881.9,4704.75,35,4546.75,3.3583080928848505,underdeveloped,estimated_from_improvement_value,311954.54939157236,425392.56735214405,657.57,445.8,869.35,24
33007010,"1700 12Th St S, Arlington VA 22204",Arlington View,R-5,False,6002.0,54.1,True,1945.0,511-Single Family Detached,1440.0,,592500.0,947000.0,2040.68,5101.7,35,3661.7,28.225885489150677,underdeveloped,estimated_from_improvement_value,233893.89566223024,318946.2213575867,657.57,445.8,869.35,24
33007040,"1715 13Th Rd S, Arlington VA 22204",Arlington View,R-5,False,1090.0,20.0,False,2016.0,512-Townhouse (fee simple own),937.0,,460000.0,615900.0,370.6,926.5,35,-10.5,101.1332973556395,overdeveloped,estimated_from_improvement_value,,,657.57,445.8,869.35,24
33007042,"1711 13Th Rd S, Arlington VA 22204",Arlington View,R-5,False,1090.0,20.0,False,2016.0,512-Townhouse (fee simple own),947.0,,460000.0,622800.0,370.6,926.5,35,-20.5,102.21262817053427,overdeveloped,estimated_from_improvement_value,,,657.57,445.8,869.35,24
33007044,"1707 13Th Rd S, Arlington VA 22204",Arlington View,R-5,False,1199.0,22.0,False,2016.0,512-Townhouse (fee simple own),976.0,,460000.0,642000.0,407.66,1019.1500000000001,35,43.15000000000009,95.76607957611735,near-capacity,estimated_from_improvement_value,10711.81867242312,14607.025462395162,657.57,445.8,869.35,24
33007046,"1332 S Queen St, Arlington VA 22204",Arlington View,R-5,False,1010.0,20.0,False,2016.0,512-Townhouse (fee simple own),833.0,,460000.0,547600.0,343.40000000000003,858.5000000000001,35,25.500000000000114,97.02970297029701,near-capacity,estimated_from_improvement_value,7514.851485148548,10247.524752475292,657.57,445.8,869.35,24
33007038,"1319 S Quinn St, Arlington VA 22204",Arlington View,R-5,False,1083.0,21.7,False,2016.0,512-Townhouse (fee simple own),976.0,,460000.0,641500.0,368.22,920.5500000000001,35,-55.44999999999993,106.02357286404866,overdeveloped,estimated_from_improvement_value,,,657.57,445.8,869.35,24
33007048,"1328 S Queen St, Arlington VA 22204",Arlington View,R-5,False,1010.0,20.0,False,2016.0,512-Townhouse (fee simple own),833.0,,460000.0,547600.0,343.40000000000003,858.5000000000001,35,25.500000000000114,97.02970297029701,near-capacity,estimated_from_improvement_value,7514.851485148548,10247.524752475292,657.57,445.8,869.35,24
33007023,"1741 13Th St S, Arlington VA 22204",Arlington View,R-5,False,1000.0,20.0,False,2016.0,512-Townhouse (fee simple own),937.0,,460000.0,616100.0,340.0,850.0,35,-87.0,110.23529411764706,overdeveloped,estimated_from_improvement_value,,,657.57,445.8,869.35,24
33007027,"1731 13Th St S, Arlington VA 22204",Arlington View,R-5,False,1000.0,20.0,False,2016.0,512-Townhouse (fee simple own),936.0,,460000.0,615300.0,340.0,850.0,35,-86.0,110.11764705882352,overdeveloped,estimated_from_improvement_value,,,657.57,445.8,869.35,24
33007029,"1727 13Th St S, Arlington VA 22204",Arlington View,R-5,False,1000.0,20.0,False,2016.0,512-Townhouse (fee simple own),951.0,,460000.0,625100.0,340.0,850.0,35,-101.0,111.88235294117648,overdeveloped,estimated_from_improvement_value,,,657.57,445.8,869.35,24
