parcel_id,quality_tier,anomaly_flags,anomaly_count
03001009,clean,,0
03002004,clean,,0
03002005,clean,,0
03001035,clean,,0
03001036,clean,,0
03001024,flag-for-review,statistical_outlier:est_value_high_z=4.0_high_value=5078238,1
03003032,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan|statistical_outlier:est_value_high_z=-2.5_low_value=35475,2
03003027,clean,,0
03004006,clean,,0
03003048,clean,,0
03004005,clean,,0
03004017,clean,,0
03004012,clean,,0
03004010,clean,,0
03004014,clean,,0
03003024,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.7_low_value=-2016,1
03004004,clean,,0
03003021,clean,,0
03004002,clean,,0
03004021,clean,,0
03003075,clean,,0
03003020,clean,,0
03003029,clean,,0
03003052,clean,,0
03003175,clean,,0
03003173,clean,,0
03003117,clean,,0
03003159,clean,,0
03003054,clean,,0
03003057,clean,,0
03003019,clean,,0
04037038,clean,,0
04037039,clean,,0
04037037,clean,,0
03001037,clean,,0
03001006,clean,,0
03001004,clean,,0
03001001,clean,,0
03001038,flag-for-review,statistical_outlier:available_gfa_sf_z=-4.8_low_value=-103404,1
03003036,clean,,0
03003037,clean,,0
03001005,clean,,0
03003042,clean,,0
03003180,clean,,0
03003181,clean,,0
03003040,clean,,0
03003176,clean,,0
03002007,clean,,0
03002008,clean,,0
03004028,clean,,0
03004027,clean,,0
03004025,clean,,0
03003183,clean,,0
03003177,clean,,0
03003169,clean,,0
03003168,clean,,0
03003191,clean,,0
03003192,clean,,0
03033193,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
