parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
03001009,"44Th St N, Arlington VA 22207",Arlingwood,R-20,False,30104.0,74.1,False,,510-Res - Vacant(SF & Twnhse),,,,,4480.0,11200.0,35,,,near-capacity,,,,284.82,178.57,391.07,5
03002004,"406 Chain Bridge Rd, Arlington VA 22101",Arlingwood,R-20,True,20000.0,99.6,False,2010.0,511-Single Family Detached,9407.0,,1690000.0,2679400.0,3200.0,8000.0,35,-1407.0,117.5875,overdeveloped,estimated_from_improvement_value,,,284.82,178.57,391.07,5
03002005,"404 Chain Bridge Rd, Arlington VA 22101",Arlingwood,R-20,True,20000.0,94.5,False,2007.0,511-Single Family Detached,7191.0,,1690000.0,2048000.0,3200.0,8000.0,35,809.0,89.8875,near-capacity,estimated_from_improvement_value,93995.68750000001,128175.9375,284.82,178.57,391.07,5
03001035,"201 Chain Bridge Rd, Arlington VA 22101",Arlingwood,R-20,False,45562.0,81.4,False,,511-Single Family Detached,,,,,4480.0,11200.0,35,,,near-capacity,,,,284.82,178.57,391.07,5
03001036,"189 Chain Bridge Rd, Arlington VA 22101",Arlingwood,R-20,False,69978.0,127.3,True,2006.0,511-Single Family Detached,42682.0,,6787900.0,12156600.0,4480.0,11200.0,35,-31482.0,381.0892857142857,overdeveloped,estimated_from_improvement_value,,,284.82,178.57,391.07,5
03001024,"175 Chain Bridge Rd, Arlington VA 22101",Arlingwood,R-20,False,100128.0,205.2,True,1951.0,511-Single Family Detached,2014.0,,8255500.0,573500.0,4480.0,11200.0,35,9186.0,17.982142857142858,underdeveloped,estimated_from_improvement_value,3724041.308035715,5078238.147321429,284.82,178.57,391.07,5
03003032,"4144 N Richmond St, Arlington VA 22207",Arlingwood,R-10,True,2501.0,20.1,False,,200-GenCom VacLand-no siteplan,,,47300.0,0.0,625.25,1563.125,35,1563.125,0.0,vacant,not_available,26015.000000000004,35475.0,284.82,178.57,391.07,5
03003027,"4130 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,10625.0,84.3,True,1956.0,511-Single Family Detached,813.0,,964200.0,231600.0,2656.25,6640.625,35,5827.625,12.242823529411764,underdeveloped,estimated_from_improvement_value,465385.0825411765,634616.0216470589,284.82,178.57,391.07,5
03004006,"4117 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,11013.0,76.5,False,1957.0,511-Single Family Detached,160.0,,968800.0,45700.0,2753.25,6883.125,35,6723.125,2.3245255607009896,underdeveloped,estimated_from_improvement_value,520453.99800236087,709709.9972759467,284.82,178.57,391.07,5
03003048,"4136 41St St N, Arlington VA 22207",Arlingwood,R-20,False,11761.0,58.7,False,1936.0,511-Single Family Detached,832.0,,977800.0,236900.0,1881.76,4704.4,35,3872.3999999999996,17.68557095485078,underdeveloped,estimated_from_improvement_value,442678.7679619081,603652.8654026019,284.82,178.57,391.07,5
03004005,"4111 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,11012.0,73.5,False,1957.0,511-Single Family Detached,2454.0,,968800.0,699000.0,2753.0,6882.5,35,4428.5,35.65564838358154,underdeveloped,estimated_from_improvement_value,342852.4431529241,467526.0588448965,284.82,178.57,391.07,5
03004017,"4024 N Randolph St, Arlington VA 22207",Arlingwood,R-10,False,12369.0,77.7,False,1956.0,511-Single Family Detached,1315.0,,985100.0,374600.0,3092.25,7730.625,35,6415.625,17.01026760449511,underdeveloped,estimated_from_improvement_value,449642.51960546535,613148.8903710891,284.82,178.57,391.07,5
03004012,"4118 N Randolph St, Arlington VA 22207",Arlingwood,R-10,False,11281.0,77.2,False,1955.0,511-Single Family Detached,1686.0,,972000.0,480200.0,2820.25,7050.625,35,5364.625,23.912773690275685,underdeveloped,estimated_from_improvement_value,406762.3118517862,554675.8797978903,284.82,178.57,391.07,5
03004010,"4143 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,10313.0,113.3,True,1956.0,511-Single Family Detached,1034.0,,957700.0,294500.0,2578.25,6445.625,35,5411.625,16.041888878115003,underdeveloped,estimated_from_improvement_value,442236.756617861,603050.1226607194,284.82,178.57,391.07,5
03004014,"4106 N Randolph St, Arlington VA 22207",Arlingwood,R-10,False,11890.0,83.8,True,1955.0,511-Single Family Detached,1021.0,,979400.0,290700.0,2972.5,7431.25,35,6410.25,13.739276703111859,underdeveloped,estimated_from_improvement_value,464660.63818334736,633628.1429772918,284.82,178.57,391.07,5
03003024,"4112 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,10789.0,81.9,True,2022.0,511-Single Family Detached,8759.0,,966100.0,2494600.0,2697.25,6743.125,35,-2015.875,129.89526369450365,overdeveloped,estimated_from_improvement_value,,,284.82,178.57,391.07,5
03004004,"4105 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,11585.0,77.4,False,1956.0,511-Single Family Detached,1078.0,,975700.0,307100.0,2896.25,7240.625,35,6162.625,14.888217522658612,underdeveloped,estimated_from_improvement_value,456739.61389728106,622826.746223565,284.82,178.57,391.07,5
03003021,"4106 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,11891.0,78.8,False,1957.0,511-Single Family Detached,890.0,,950000.0,253500.0,2972.75,7431.875,35,6541.875,11.975443612816415,underdeveloped,estimated_from_improvement_value,459928.30712303426,627174.964258683,284.82,178.57,391.07,5
03004002,"4021 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,13663.0,78.0,False,1959.0,511-Single Family Detached,955.0,,1000600.0,272100.0,3415.75,8539.375,35,7584.375,11.183488252945912,underdeveloped,estimated_from_improvement_value,488783.9090975628,666523.5124057673,284.82,178.57,391.07,5
03004021,"4020 N Randolph St, Arlington VA 22207",Arlingwood,R-10,False,11305.5,112.8,True,2002.0,511-Single Family Detached,4054.0,,974600.0,1154600.0,2826.375,7065.9375,35,3011.9375,57.3738445889169,underdeveloped,estimated_from_improvement_value,228488.98085002878,311575.88297731197,284.82,178.57,391.07,5
03003075,"4111 40Th St N, Arlington VA 22207",Arlingwood,R-20,False,20000.0,68.4,False,1984.0,511-Single Family Detached,3728.0,,1076700.0,1061900.0,3200.0,8000.0,35,4272.0,46.6,underdeveloped,estimated_from_improvement_value,316226.79000000004,431218.35000000003,284.82,178.57,391.07,5
03003020,"4100 N Richmond St, Arlington VA 22207",Arlingwood,R-10,False,13167.0,81.8,True,1957.0,511-Single Family Detached,2000.0,,994700.0,569500.0,3291.75,8229.375,35,6229.375,24.30318219791904,underdeveloped,estimated_from_improvement_value,414125.9356725146,564717.1850079745,284.82,178.57,391.07,5
03003029,"4142 N Richmond St, Arlington VA 22207",Arlingwood,R-10,True,13452.0,93.5,True,1959.0,511-Single Family Detached,1293.0,,998100.0,368300.0,3363.0,8407.5,35,7114.5,15.379125780553077,underdeveloped,estimated_from_improvement_value,464530.5200713649,633450.7091882247,284.82,178.57,391.07,5
03003052,"4019 N Randolph St, Arlington VA 22207",Arlingwood,R-20,False,42078.0,97.7,False,,510-Res - Vacant(SF & Twnhse),,,,,4480.0,11200.0,35,,,near-capacity,,,,284.82,178.57,391.07,5
