parcel_id,quality_tier,anomaly_flags,anomaly_count
19011015,clean,,0
19011023,clean,,0
19012005,clean,,0
19012004,clean,,0
19012003,clean,,0
19011012,clean,,0
19015026,clean,,0
19016011,clean,,0
19015020,clean,,0
19015027,clean,,0
19015028,clean,,0
19016013,clean,,0
19016003,clean,,0
19015017,flag-for-review,statistical_outlier:est_value_high_z=-2.5_low_value=64676,1
19016002,clean,,0
19015031,clean,,0
19015032,clean,,0
19015015,clean,,0
19015033,clean,,0
19015014,clean,,0
19015013,clean,,0
19015034,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.1_low_value=-2184,1
19015012,clean,,0
19015021,clean,,0
19016001,clean,,0
19015035,clean,,0
19015049,clean,,0
19011027,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=49375,1
19012013,clean,,0
19011010,clean,,0
19011029,clean,,0
19011009,clean,,0
19011030,clean,,0
19011008,clean,,0
19013014,clean,,0
19013013,clean,,0
19011032,clean,,0
19011033,clean,,0
19013012,clean,,0
19011034,clean,,0
19013022,flag-for-review,low_improvement_value:$10500<$30000_makes_gfa_estimate_unreliable,1
19011039,clean,,0
19013010,clean,,0
19013023,clean,,0
19013009,clean,,0
19013024,clean,,0
19011038,clean,,0
19013008,clean,,0
19013007,clean,,0
19013005,clean,,0
19011001,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
19015010,clean,,0
19015009,flag-for-review,statistical_outlier:est_value_high_z=-2.9_low_value=5491,1
19015008,clean,,0
19015006,clean,,0
19015005,clean,,0
19015004,clean,,0
20008012,clean,,0
19022008,clean,,0
20008014,clean,,0
19022009,clean,,0
20008015,clean,,0
19022010,clean,,0
19022004,clean,,0
19022003,clean,,0
19022011,clean,,0
20008016,clean,,0
20008017,clean,,0
20009015,clean,,0
20008007,clean,,0
20008018,clean,,0
20009016,clean,,0
20008006,clean,,0
20008019,clean,,0
20008005,clean,,0
19015002,clean,,0
20008013,clean,,0
20008011,clean,,0
19022006,clean,,0
20008010,clean,,0
20009013,clean,,0
19022001,clean,,0
19034008,clean,,0
19034007,clean,,0
19013004,clean,,0
19013030,clean,,0
19013002,clean,,0
19015039,clean,,0
19013031,clean,,0
19015040,clean,,0
19026013,clean,,0
