parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
19011015,"920 N Irving St, Arlington VA 22201",Ashton Heights,R-6,False,7500.0,59.3,False,1920.0,511-Single Family Detached,615.0,,996300.0,160200.0,2250.0,5625.0,35,5010.0,10.933333333333334,underdeveloped,estimated_from_improvement_value,488054.1600000001,665528.4,260.55,178.8,342.29,35
19011023,"917 N Ivy St, Arlington VA 22201",Ashton Heights,R-6,False,7985.0,63.8,True,1919.0,511-Single Family Detached,1123.0,,1009900.0,292500.0,2395.5,5988.75,35,4865.75,18.751826341056148,underdeveloped,estimated_from_improvement_value,451288.91817992076,615393.9793362555,260.55,178.8,342.29,35
19012005,"914 N Ivy St, Arlington VA 22201",Ashton Heights,R-6,True,6238.0,50.3,False,1924.0,511-Single Family Detached,1449.0,,961000.0,377500.0,1871.3999999999999,4678.5,35,3229.5,30.97146521320936,underdeveloped,estimated_from_improvement_value,364850.320615582,497523.1644757936,260.55,178.8,342.29,35
19012004,"910 N Ivy St, Arlington VA 22201",Ashton Heights,R-6,True,6084.1,49.0,False,1929.0,511-Single Family Detached,1408.0,,961000.0,366900.0,1825.23,4563.075,35,3155.075,30.856385222684267,underdeveloped,estimated_from_improvement_value,365458.5759055024,498352.6035075032,260.55,178.8,342.29,35
19012003,"904 N Ivy St, Arlington VA 22201",Ashton Heights,R-6,True,9356.0,75.4,True,1949.0,515-Duplex,1684.0,,1048300.0,438700.0,2520.0,6300.0,35,4616.0,26.73015873015873,underdeveloped,estimated_from_improvement_value,422448.26031746034,576065.8095238095,260.55,178.8,342.29,35
19011012,"904 N Irving St, Arlington VA 22201",Ashton Heights,R-6,True,9375.0,73.4,True,2022.0,511-Single Family Detached,6553.0,,1048800.0,1707500.0,2520.0,6300.0,35,-253.0,104.01587301587301,overdeveloped,estimated_from_improvement_value,,,260.55,178.8,342.29,35
19015026,"812 N Kenmore St, Arlington VA 22201",Ashton Heights,R-6,False,6250.0,50.4,False,1939.0,511-Single Family Detached,689.0,,961300.0,179600.0,1875.0,4687.5,35,3998.5,14.698666666666666,underdeveloped,estimated_from_improvement_value,451000.94453333336,615001.288,260.55,178.8,342.29,35
19016011,"N Lincoln St, Arlington VA 22201",Ashton Heights,R-6,True,9399.0,45.4,False,,510-Res - Vacant(SF & Twnhse),,,997000.0,0.0,2520.0,6300.0,35,6300.0,0.0,vacant,not_available,548350.0,747750.0,260.55,178.8,342.29,35
19015020,"823 N Lincoln St, Arlington VA 22201",Ashton Heights,R-6,False,10041.0,80.1,True,1924.0,511-Single Family Detached,1643.0,,1067500.0,428100.0,2520.0,6300.0,35,4657.0,26.07936507936508,underdeveloped,estimated_from_improvement_value,434006.52777777787,591827.0833333334,260.55,178.8,342.29,35
19015027,"808 N Kenmore St, Arlington VA 22201",Ashton Heights,R-6,False,6250.0,50.3,False,1929.0,511-Single Family Detached,3233.0,,961300.0,842400.0,1875.0,4687.5,35,1454.5,68.97066666666667,underdeveloped,estimated_from_improvement_value,164056.73973333335,223713.73600000003,260.55,178.8,342.29,35
19015028,"804 N Kenmore St, Arlington VA 22201",Ashton Heights,R-6,False,6250.0,50.3,False,1944.0,511-Single Family Detached,1250.0,,961300.0,325800.0,1875.0,4687.5,35,3437.5,26.666666666666668,underdeveloped,estimated_from_improvement_value,387724.3333333334,528715.0,260.55,178.8,342.29,35
19016013,"812 N Lincoln St, Arlington VA 22201",Ashton Heights,R-6,True,8583.0,48.2,False,1918.0,511-Single Family Detached,363.0,,1026700.0,94600.0,2520.0,6300.0,35,5937.0,5.761904761904762,underdeveloped,estimated_from_improvement_value,532148.3880952382,725656.892857143,260.55,178.8,342.29,35
19016003,"3509 8Th St N, Arlington VA 22201",Ashton Heights,R-6,True,10844.0,50.9,False,1924.0,511-Single Family Detached,4393.0,,1090000.0,1144600.0,2520.0,6300.0,35,1907.0,69.73015873015873,underdeveloped,estimated_from_improvement_value,181467.69841269843,247455.95238095237,260.55,178.8,342.29,35
19015017,"807 N Lincoln St, Arlington VA 22201",Ashton Heights,R-6,False,6250.0,49.8,False,1904.0,511-Single Family Detached,4267.0,,961300.0,1111800.0,1875.0,4687.5,35,420.5,91.02933333333333,near-capacity,estimated_from_improvement_value,47429.26026666667,64676.264,260.55,178.8,342.29,35
19016002,"3505 8Th St N, Arlington VA 22201",Ashton Heights,R-6,False,6485.0,46.8,False,1924.0,511-Single Family Detached,351.0,,967900.0,91500.0,1945.5,4863.75,35,4512.75,7.216653816499615,underdeveloped,estimated_from_improvement_value,493927.50424055516,673537.5057825752,260.55,178.8,342.29,35
