parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
15038007,"1704 Kirkwood Rd, Arlington VA 22201",Ballston - Virginia Square,R-6,True,8870.0,72.8,True,1965.0,511-Single Family Detached,2015.0,,906200.0,439800.0,2520.0,6300.0,35,4285.0,31.98412698412698,underdeveloped,estimated_from_improvement_value,338997.9126984127,462269.88095238095,218.27,170.03,266.51,23
15038005,"3305 17Th St N, Arlington VA 22201",Ballston - Virginia Square,R-6,True,6909.0,69.1,True,1920.0,515-Duplex,1238.0,,883800.0,270300.0,2072.7,5181.75,35,3943.75,23.891542432575868,underdeveloped,estimated_from_improvement_value,369955.601389492,504484.91098567087,218.27,170.03,266.51,23
15038006,"1700 Kirkwood Rd, Arlington VA 22201",Ballston - Virginia Square,R-6,False,6721.0,62.7,True,1965.0,511-Single Family Detached,1840.0,,881700.0,401600.0,2016.3,5040.75,35,3200.75,36.50250458761097,underdeveloped,estimated_from_improvement_value,307921.57937806874,419893.06278827554,218.27,170.03,266.51,23
14002012,"1310 N Stafford St, Arlington VA 22201",Ballston - Virginia Square,R-5,False,7586.0,49.6,False,2014.0,511-Single Family Detached,5338.0,,875600.0,1165200.0,2380.0,5950.0,35,612.0,89.71428571428571,near-capacity,estimated_from_improvement_value,49533.94285714286,67546.28571428571,218.27,170.03,266.51,23
14005004,"1313 N Taylor St, Arlington VA 22201",Ballston - Virginia Square,R-5,False,4280.0,40.2,False,1939.0,511-Single Family Detached,429.0,,835900.0,93600.0,1455.2,3638.0,35,3209.0,11.792193512919185,underdeveloped,estimated_from_improvement_value,405530.97993402975,552996.7908191314,218.27,170.03,266.51,23
14002003,"1309 N Stuart St, Arlington VA 22201",Ballston - Virginia Square,R-5,False,6000.0,39.9,False,1939.0,511-Single Family Detached,1030.0,,856500.0,224800.0,2040.0000000000002,5100.000000000001,35,4070.000000000001,20.19607843137255,underdeveloped,estimated_from_improvement_value,375936.3235294118,512640.4411764706,218.27,170.03,266.51,23
14002002,"1305 N Stuart St, Arlington VA 22201",Ballston - Virginia Square,R-5,False,6179.5,41.1,False,1939.0,511-Single Family Detached,380.0,,856500.0,82900.0,2101.03,5252.575000000001,35,4872.575000000001,7.234546865109016,underdeveloped,estimated_from_improvement_value,436994.85835518775,595902.079575256,218.27,170.03,266.51,23
14006002,"1307 N Utah St, Arlington VA 22201",Ballston - Virginia Square,R-5,False,6350.0,49.4,False,2013.0,511-Single Family Detached,4464.0,,860700.0,974300.0,2159.0,5397.5,35,933.5,82.70495599814728,near-capacity,estimated_from_improvement_value,81872.14404817046,111643.83279295971,218.27,170.03,266.51,23
14003013,"1240 N Stafford St, Arlington VA 22201",Ballston - Virginia Square,R-5,False,7521.0,48.7,False,1985.0,511-Single Family Detached,1420.0,,874800.0,310000.0,2380.0,5950.0,35,4530.0,23.865546218487395,underdeveloped,estimated_from_improvement_value,366313.3109243698,499518.15126050415,218.27,170.03,266.51,23
14004040,"1240 N Stuart St, Arlington VA 22201",Ballston - Virginia Square,R-5,False,4280.0,40.6,False,2004.0,511-Single Family Detached,2689.0,,835900.0,586900.0,1455.2,3638.0,35,949.0,73.91423859263332,underdeveloped,estimated_from_improvement_value,119927.98378229798,163538.1597031336,218.27,170.03,266.51,23
