parcel_id,quality_tier,anomaly_flags,anomaly_count
21008067,clean,,0
23003043,clean,,0
23003005,clean,,0
23003044,auto-exclude,nonresidential_property_type:215-Gen Comm - other|statistical_outlier:est_value_high_z=3.0_high_value=697364,2
23003047,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=27975,1
23003038,clean,,0
23003011,clean,,0
23003009,clean,,0
23003013,clean,,0
23003014,clean,,0
23003010,clean,,0
23003024,clean,,0
23003022,clean,,0
23003020,clean,,0
23003018,clean,,0
23003007,clean,,0
23003037,clean,,0
23003039,clean,,0
23003040,clean,,0
23003034,clean,,0
23003041,clean,,0
23003033,clean,,0
23003026,clean,,0
23003025,clean,,0
23003019,clean,,0
23003027,clean,,0
23006102,clean,,0
23006159,clean,,0
23006101,clean,,0
23006098,clean,,0
23006092,clean,,0
23006091,clean,,0
23006097,clean,,0
23003028,clean,,0
23003029,clean,,0
23043008,clean,,0
23043009,clean,,0
23043006,clean,,0
23043002,clean,,0
23043003,clean,,0
23042027,clean,,0
23042005,clean,,0
23042011,clean,,0
23043004,clean,,0
23042015,clean,,0
23042017,clean,,0
23042026,clean,,0
23042010,clean,,0
23042008,clean,,0
23042012,clean,,0
23042016,clean,,0
23003030,clean,,0
23043001,clean,,0
23042004,clean,,0
23043005,clean,,0
23042055,clean,,0
23044002,clean,,0
23044003,clean,,0
23044005,clean,,0
23044007,clean,,0
23006055,clean,,0
23012001,clean,,0
23006054,clean,,0
23012021,clean,,0
23012005,clean,,0
23012010,clean,,0
23022009,clean,,0
23021006,clean,,0
23022008,clean,,0
23012018,clean,,0
23012013,clean,,0
23022006,clean,,0
23022005,clean,,0
23012016,clean,,0
23012022,clean,,0
23022032,clean,,0
23023009,clean,,0
23022017,clean,,0
23023008,clean,,0
23023012,clean,,0
23022018,clean,,0
23022019,clean,,0
23023019,clean,,0
23023018,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=28875,1
23022024,clean,,0
23022023,clean,,0
23022025,clean,,0
23023024,clean,,0
23023025,clean,,0
23022026,clean,,0
23023022,clean,,0
23012007,clean,,0
23012015,clean,,0
23012006,clean,,0
23021021,clean,,0
23021009,clean,,0
23022013,clean,,0
23012024,clean,,0
23023010,clean,,0
23023030,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=29844,1
23023007,clean,,0
23023028,flag-for-review,statistical_outlier:est_value_high_z=-2.8_low_value=24045,1
23023023,clean,,0
23021007,clean,,0
23023034,clean,,0
23023033,clean,,0
23020018,clean,,0
23020019,clean,,0
23020020,clean,,0
23021011,clean,,0
23020021,clean,,0
23020022,clean,,0
23021013,clean,,0
23020023,clean,,0
23021005,clean,,0
23020011,clean,,0
23020024,clean,,0
23021004,clean,,0
23021015,clean,,0
23020010,clean,,0
23020025,clean,,0
23021003,clean,,0
23021016,clean,,0
23020026,clean,,0
23021002,clean,,0
23021018,clean,,0
23021019,clean,,0
23020030,clean,,0
23020031,clean,,0
23020002,clean,,0
23020001,clean,,0
23020017,clean,,0
23020016,clean,,0
23020015,clean,,0
23021020,clean,,0
23020009,clean,,0
23021001,clean,,0
23020007,clean,,0
23020006,clean,,0
23020004,clean,,0
23020032,clean,,0
23020008,clean,,0
23020028,clean,,0
23006053,clean,,0
23006052,clean,,0
23006051,clean,,0
23006292,clean,,0
23006044,clean,,0
23006043,clean,,0
23006040,clean,,0
23006029,clean,,0
23006028,clean,,0
23006025,clean,,0
23006166,clean,,0
23006026,clean,,0
23006027,clean,,0
23006050,clean,,0
23006031,clean,,0
23006030,clean,,0
23006014,clean,,0
23023026,clean,,0
23022033,clean,,0
23024007,clean,,0
23024006,clean,,0
23024005,clean,,0
23024019,clean,,0
23024013,clean,,0
23024010,clean,,0
23024004,clean,,0
23024011,clean,,0
23024014,clean,,0
23024017,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=29958,1
23024015,clean,,0
23024016,clean,,0
23036007,clean,,0
23024012,clean,,0
23036005,clean,,0
23036011,clean,,0
23036012,clean,,0
23036014,clean,,0
23045010,clean,,0
23045008,clean,,0
23045012,clean,,0
23045013,clean,,0
23045002,clean,,0
23006023,clean,,0
23045014,clean,,0
23045015,clean,,0
23045016,clean,,0
23006291,auto-exclude,lot_width_remnant:14.6ft<15ft_threshold,1
23006017,clean,,0
23006018,clean,,0
23006015,clean,,0
23006163,clean,,0
23006008,clean,,0
23024008,clean,,0
23022001,clean,,0
23024009,clean,,0
23006293,clean,,0
23024002,clean,,0
23036008,clean,,0
23024001,clean,,0
23036015,clean,,0
23045011,clean,,0
23045009,clean,,0
23006020,clean,,0
23045001,clean,,0
23006024,clean,,0
23006019,clean,,0
23006010,clean,,0
23023027,clean,,0
23023032,clean,,0
23045019,clean,,0
23045018,clean,,0
23006012,clean,,0
23006006,clean,,0
23006309,clean,,0
23006311,clean,,0
23012020,clean,,0
23012026,clean,,0
23012011,clean,,0
23006045,clean,,0
23006047,clean,,0
23006039,clean,,0
23006038,clean,,0
23006037,clean,,0
23006036,clean,,0
23006048,clean,,0
23006167,auto-exclude,nonresidential_property_type:215-Gen Comm - other|statistical_outlier:est_value_high_z=4.1_high_value=828635,2
23022040,clean,,0
23022036,clean,,0
23022043,clean,,0
23022042,clean,,0
23036017,clean,,0
23036018,clean,,0
23036003,clean,,0
23003004,auto-exclude,nonresidential_property_type:215-Gen Comm - other|statistical_outlier:available_gfa_sf_z=-16.2_low_value=-32115,2
23036019,clean,,0
23013002,clean,,0
23013031,clean,,0
23013037,clean,,0
23013005,clean,,0
23013006,clean,,0
23013007,clean,,0
23013038,clean,,0
23013052,clean,,0
23013036,clean,,0
23013008,clean,,0
23013035,clean,,0
23013009,clean,,0
23013024,clean,,0
23013023,clean,,0
23013025,clean,,0
23013010,clean,,0
23013011,clean,,0
23013022,clean,,0
