parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
21008067,"4720 Arlington Blvd, Arlington VA 22204",Barcroft,R-6,True,10017.0,64.1,True,1976.0,511-Single Family Detached,1660.0,,633800.0,281600.0,2520.0,6300.0,35,4640.0,26.34920634920635,underdeveloped,estimated_from_improvement_value,256739.30158730163,350099.04761904763,169.63,110.89,228.37,10
23003043,"4441 1St Pl S, Arlington VA 22204",Barcroft,R-6,False,19023.0,77.0,True,1958.0,511-Single Family Detached,756.0,,866300.0,128300.0,2520.0,6300.0,35,5544.0,12.0,underdeveloped,estimated_from_improvement_value,419289.2,571758.0,169.63,110.89,228.37,10
23003005,"4433 1St Pl S, Arlington VA 22204",Barcroft,R-6,False,22379.0,79.8,True,1952.0,511-Single Family Detached,994.0,,926700.0,168600.0,2520.0,6300.0,35,5306.0,15.777777777777777,underdeveloped,estimated_from_improvement_value,429268.0333333334,585365.5,169.63,110.89,228.37,10
23003044,"4400 Arlington Blvd, Arlington VA 22204",Barcroft,R-6,False,46596.0,171.5,True,,215-Gen Comm - other,3526.0,,2111700.0,598100.0,2520.0,6300.0,35,2774.0,55.96825396825397,underdeveloped,estimated_from_improvement_value,511400.1095238096,697363.7857142857,169.63,110.89,228.37,10
23003047,"1St Pl S, Arlington VA 22204",Barcroft,R-6,False,5326.0,19.6,False,,510-Res - Vacant(SF & Twnhse),,,37300.0,0.0,1597.8,3994.5,35,3994.5,0.0,vacant,not_available,20515.0,27975.0,169.63,110.89,228.37,10
23003038,"4419 1St Pl S, Arlington VA 22204",Barcroft,R-6,False,6091.0,76.1,True,1975.0,511-Single Family Detached,1995.0,,633500.0,338400.0,1827.3,4568.25,35,2573.25,43.670989985224104,underdeveloped,estimated_from_improvement_value,196264.35314398297,267633.208832704,169.63,110.89,228.37,10
23003011,"4464 1St Pl S, Arlington VA 22204",Barcroft,R-6,False,11920.0,61.1,True,1952.0,511-Single Family Detached,1598.0,,738400.0,271100.0,2520.0,6300.0,35,4702.0,25.365079365079364,underdeveloped,estimated_from_improvement_value,303107.3396825397,413328.1904761905,169.63,110.89,228.37,10
23003009,"15 S Pershing Dr, Arlington VA 22204",Barcroft,R-6,False,17117.0,81.9,True,1949.0,511-Single Family Detached,1425.0,,832000.0,241800.0,2520.0,6300.0,35,4875.0,22.61904761904762,underdeveloped,estimated_from_improvement_value,354095.23809523816,482857.14285714296,169.63,110.89,228.37,10
23003013,"4452 1St Pl S, Arlington VA 22204",Barcroft,R-6,False,10157.0,72.5,True,1952.0,511-Single Family Detached,1103.0,,706700.0,187100.0,2520.0,6300.0,35,5197.0,17.50793650793651,underdeveloped,estimated_from_improvement_value,320634.276984127,437228.55952380947,169.63,110.89,228.37,10
23003014,"4446 1St Pl S, Arlington VA 22204",Barcroft,R-6,False,6265.0,55.7,False,2004.0,511-Single Family Detached,2324.0,,636600.0,394200.0,1879.5,4698.75,35,2374.75,49.45996275605214,underdeveloped,estimated_from_improvement_value,176955.83240223464,241303.40782122905,169.63,110.89,228.37,10
23003010,"21 S Pershing Dr, Arlington VA 22204",Barcroft,R-6,False,15561.0,77.6,True,1960.0,511-Single Family Detached,4309.0,,804000.0,731000.0,2520.0,6300.0,35,1991.0,68.3968253968254,underdeveloped,estimated_from_improvement_value,139749.2380952381,190567.14285714287,169.63,110.89,228.37,10
23003024,"4409 1St St S, Arlington VA 22204",Barcroft,R-6,False,6000.0,59.2,False,1950.0,511-Single Family Detached,2048.0,,631900.0,347400.0,1800.0,4500.0,35,2452.0,45.51111111111111,underdeveloped,estimated_from_improvement_value,189373.40888888892,258236.46666666667,169.63,110.89,228.37,10
23003022,"4417 1St St S, Arlington VA 22204",Barcroft,R-6,False,6000.0,58.8,False,1950.0,511-Single Family Detached,673.0,,631900.0,114200.0,1800.0,4500.0,35,3827.0,14.955555555555556,underdeveloped,estimated_from_improvement_value,295567.71444444446,403046.8833333333,169.63,110.89,228.37,10
23003020,"4425 1St St S, Arlington VA 22204",Barcroft,R-6,False,6335.0,62.0,True,1950.0,511-Single Family Detached,982.0,,637900.0,166500.0,1900.5,4751.25,35,3769.25,20.668245198631936,underdeveloped,estimated_from_improvement_value,278331.49513285974,379542.9479084451,169.63,110.89,228.37,10
23003018,"4433 1St St S, Arlington VA 22204",Barcroft,R-6,False,6000.0,59.7,False,1950.0,511-Single Family Detached,1684.0,,631900.0,285700.0,1800.0,4500.0,35,2816.0,37.422222222222224,underdeveloped,estimated_from_improvement_value,217485.93777777778,296571.73333333334,169.63,110.89,228.37,10
23003007,"4466 Arlington Blvd, Arlington VA 22204",Barcroft,R-6,True,23608.0,100.3,True,1932.0,511-Single Family Detached,1208.0,,948800.0,204900.0,2520.0,6300.0,35,5092.0,19.174603174603174,underdeveloped,estimated_from_improvement_value,421779.2507936508,575153.5238095238,169.63,110.89,228.37,10
23003037,"4421 1St Pl S, Arlington VA 22204",Barcroft,R-6,False,9836.0,37.3,False,1975.0,511-Single Family Detached,865.0,,700900.0,146700.0,2520.0,6300.0,35,5435.0,13.730158730158731,underdeveloped,estimated_from_improvement_value,332565.9246031746,453498.98809523805,169.63,110.89,228.37,10
23003039,"4417 1St Pl S, Arlington VA 22204",Barcroft,R-6,False,6179.0,59.9,False,1975.0,511-Single Family Detached,805.0,,635100.0,136600.0,1853.6999999999998,4634.25,35,3829.25,17.370664077250904,underdeveloped,estimated_from_improvement_value,288628.4018449588,393584.1843340347,169.63,110.89,228.37,10
