parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
09060010,"1208 N Inglewood St, Arlington VA 22205",Bluemont,R-6,True,5982.0,53.2,False,1941.0,511-Single Family Detached,2342.0,,813700.0,507300.0,1794.6,4486.5,35,2144.5,52.20104758720606,underdeveloped,estimated_from_improvement_value,213917.04168059735,291705.0568371782,216.65,169.65,263.65,72
09060011,"1204 N Inglewood St, Arlington VA 22205",Bluemont,R-6,False,5982.0,53.6,False,1940.0,511-Single Family Detached,1620.0,,813700.0,351000.0,1794.6,4486.5,35,2866.5,36.10832497492478,underdeveloped,estimated_from_improvement_value,285937.60782347043,389914.91975927784,216.65,169.65,263.65,72
09060009,"1212 N Inglewood St, Arlington VA 22205",Bluemont,R-8,True,8164.0,74.9,True,1951.0,511-Single Family Detached,1412.0,,755900.0,306000.0,2041.0,5102.5,35,3690.5,27.672709456148947,underdeveloped,estimated_from_improvement_value,300697.0940715336,410041.49191572756,216.65,169.65,263.65,72
09060008,"5530 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,7428.0,67.7,False,1951.0,511-Single Family Detached,1086.0,,789500.0,235300.0,1857.0,4642.5,35,3556.5,23.392568659127626,underdeveloped,estimated_from_improvement_value,332648.6187399031,453611.75282714056,216.65,169.65,263.65,72
09060007,"5538 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,8950.0,70.8,True,1987.0,511-Single Family Detached,2415.0,,806800.0,523300.0,2237.5,5593.75,35,3178.75,43.1731843575419,underdeveloped,estimated_from_improvement_value,252163.31173184363,343859.061452514,216.65,169.65,263.65,72
09060006,"1163 N Ivanhoe St, Arlington VA 22205",Bluemont,R-6,True,6450.0,48.2,False,2008.0,511-Single Family Detached,4985.0,,819300.0,1079900.0,1935.0,4837.5,35,-147.5,103.04909560723515,overdeveloped,estimated_from_improvement_value,,,216.65,169.65,263.65,72
09060019,"1155 N Ivanhoe St, Arlington VA 22205",Bluemont,R-6,False,6585.0,57.7,False,2008.0,511-Single Family Detached,4622.0,,820900.0,1001300.0,1975.5,4938.75,35,316.75,93.58643381422425,near-capacity,estimated_from_improvement_value,28956.93065046824,39486.723614274866,216.65,169.65,263.65,72
09052010,"5208 Washington Blvd, Arlington VA 22205",Bluemont,R-8,False,6533.3,66.5,False,2023.0,511-Single Family Detached,4108.0,,778900.0,889900.0,1633.325,4083.3125,35,-24.6875,100.60459492140265,overdeveloped,estimated_from_improvement_value,,,216.65,169.65,263.65,72
09052009,"5212 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,6875.0,50.3,False,1935.0,511-Single Family Detached,460.0,,783200.0,99600.0,1718.75,4296.875,35,3836.875,10.705454545454545,underdeveloped,estimated_from_improvement_value,384645.184,524516.16,216.65,169.65,263.65,72
09052008,"5216 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,6875.0,50.1,False,1935.0,511-Single Family Detached,2223.0,,783200.0,481600.0,1718.75,4296.875,35,2073.875,51.73527272727273,underdeveloped,estimated_from_improvement_value,207905.1392,283507.008,216.65,169.65,263.65,72
09052007,"5220 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,6875.0,50.0,False,1935.0,511-Single Family Detached,774.0,,783200.0,167700.0,1718.75,4296.875,35,3522.875,18.01309090909091,underdeveloped,estimated_from_improvement_value,353166.8096,481591.10399999993,216.65,169.65,263.65,72
09052006,"5302 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,7562.0,55.1,False,1937.0,511-Single Family Detached,682.0,,791100.0,147700.0,1890.5,4726.25,35,4044.25,14.430044961650356,underdeveloped,estimated_from_improvement_value,372319.1528696112,507707.93573128793,216.65,169.65,263.65,72
09052005,"5306 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,7562.0,54.8,False,1935.0,511-Single Family Detached,763.0,,791100.0,165300.0,1890.5,4726.25,35,3963.25,16.143877281142554,underdeveloped,estimated_from_improvement_value,364862.1827558847,497539.34012166096,216.65,169.65,263.65,72
09052012,"1210 N Frederick St, Arlington VA 22205",Bluemont,R-8,True,9900.0,73.4,True,1939.0,511-Single Family Detached,1884.0,,860700.0,408200.0,2475.0,6187.5,35,4303.5,30.448484848484846,underdeveloped,estimated_from_improvement_value,329246.44,448972.41818181815,216.65,169.65,263.65,72
09056011,"5408 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,7788.0,70.5,False,1935.0,511-Single Family Detached,640.0,,793600.0,138600.0,1947.0,4867.5,35,4227.5,13.148433487416538,underdeveloped,estimated_from_improvement_value,379089.7175141243,516940.5238828967,216.65,169.65,263.65,72
09052013,"1206 N Frederick St, Arlington VA 22205",Bluemont,R-6,True,6600.0,49.4,False,1940.0,511-Single Family Detached,523.0,,821100.0,113200.0,1980.0,4950.0,35,4427.0,10.565656565656566,underdeveloped,estimated_from_improvement_value,403889.9666666667,550759.0454545454,216.65,169.65,263.65,72
09052015,"5213 12Th St N, Arlington VA 22205",Bluemont,R-6,True,10312.0,74.5,True,2006.0,511-Single Family Detached,4698.0,,865700.0,1017900.0,2520.0,6300.0,35,1602.0,74.57142857142857,underdeveloped,estimated_from_improvement_value,121074.32857142857,165101.35714285713,216.65,169.65,263.65,72
09052016,"5217 12Th St N, Arlington VA 22205",Bluemont,R-6,True,10278.8,75.0,True,2015.0,511-Single Family Detached,5483.0,,865700.0,1187900.0,2520.0,6300.0,35,817.0,87.03174603174602,near-capacity,estimated_from_improvement_value,61746.39603174604,84199.63095238095,216.65,169.65,263.65,72
09052017,"5219 12Th St N, Arlington VA 22205",Bluemont,R-6,True,7562.0,54.8,False,2017.0,511-Single Family Detached,6911.0,,832700.0,1497300.0,2268.6,5671.5,35,-1239.5,121.8548884774751,overdeveloped,estimated_from_improvement_value,,,216.65,169.65,263.65,72
09052003,"1211 N Harrison St, Arlington VA 22205",Bluemont,R-6,True,5720.0,54.9,False,1935.0,511-Single Family Detached,1938.0,,810600.0,419900.0,1716.0,4290.0,35,2352.0,45.17482517482517,underdeveloped,estimated_from_improvement_value,244427.07692307697,333309.65034965036,216.65,169.65,263.65,72
09052018,"5223 12Th St N, Arlington VA 22205",Bluemont,R-6,True,7562.0,54.7,False,1936.0,511-Single Family Detached,620.0,,832700.0,134400.0,2268.6,5671.5,35,5051.5,10.931852243674513,underdeveloped,estimated_from_improvement_value,407918.7565018073,556252.8497751917,216.65,169.65,263.65,72
09057010,"5506 Washington Blvd, Arlington VA 22205",Bluemont,R-8,True,7428.0,67.0,False,1954.0,511-Single Family Detached,1901.0,,789500.0,411800.0,1857.0,4642.5,35,2741.5,40.94776521270867,underdeveloped,estimated_from_improvement_value,256419.56650511583,349663.0452342488,216.65,169.65,263.65,72
09056013,"1210 N Harrison St, Arlington VA 22205",Bluemont,R-6,True,6484.0,54.5,False,1935.0,511-Single Family Detached,1267.0,,819700.0,274400.0,1945.1999999999998,4863.0,35,3596.0,26.053876208101993,underdeveloped,estimated_from_improvement_value,333375.0071972034,454602.282541641,216.65,169.65,263.65,72
09052002,"1207 N Harrison St, Arlington VA 22205",Bluemont,R-6,False,5720.0,54.7,False,1936.0,511-Single Family Detached,1357.0,,810600.0,294000.0,1716.0,4290.0,35,2933.0,31.63170163170163,underdeveloped,estimated_from_improvement_value,304806.3846153846,415645.06993006996,216.65,169.65,263.65,72
09056009,"1211 N Illinois St, Arlington VA 22205",Bluemont,R-6,True,6484.0,55.1,False,1939.0,511-Single Family Detached,767.0,,819700.0,166100.0,1945.1999999999998,4863.0,35,4096.0,15.7721571046679,underdeveloped,estimated_from_improvement_value,379728.59551717056,517811.72115977795,216.65,169.65,263.65,72
09056014,"1206 N Harrison St, Arlington VA 22205",Bluemont,R-6,False,6484.0,54.5,False,2019.0,511-Single Family Detached,4662.0,,819700.0,1010000.0,1945.1999999999998,4863.0,35,201.0,95.8667489204195,near-capacity,estimated_from_improvement_value,18634.142504626776,25410.194324491058,216.65,169.65,263.65,72
09053018,"5206 12Th St N, Arlington VA 22205",Bluemont,R-6,False,6100.0,60.4,True,2025.0,511-Single Family Detached,3945.0,,815100.0,854700.0,1830.0,4575.0,35,630.0,86.22950819672131,near-capacity,estimated_from_improvement_value,61733.80327868853,84182.45901639343,216.65,169.65,263.65,72
09057012,"1208 N Illinois St, Arlington VA 22205",Bluemont,R-6,True,5982.0,54.7,False,1939.0,511-Single Family Detached,1441.0,,813700.0,312200.0,1794.6,4486.5,35,3045.5,32.11857795609049,underdeveloped,estimated_from_improvement_value,303793.1221442104,414263.34837846865,216.65,169.65,263.65,72
09056008,"1205 N Illinois St, Arlington VA 22205",Bluemont,R-6,False,6484.0,54.9,False,1938.0,511-Single Family Detached,1526.0,,819700.0,330600.0,1945.1999999999998,4863.0,35,3337.0,31.379806703680856,underdeveloped,estimated_from_improvement_value,309363.84844746045,421859.79333744606,216.65,169.65,263.65,72
09053009,"5212 12Th St N, Arlington VA 22205",Bluemont,R-6,False,10312.0,74.2,True,2006.0,511-Single Family Detached,5407.0,,865700.0,1171400.0,2520.0,6300.0,35,893.0,85.82539682539682,near-capacity,estimated_from_improvement_value,67490.24682539683,92032.15476190476,216.65,169.65,263.65,72
09056015,"1200 N Harrison St, Arlington VA 22205",Bluemont,R-6,False,6484.0,54.6,False,1939.0,511-Single Family Detached,1628.0,,819700.0,352800.0,1945.1999999999998,4863.0,35,3235.0,33.47727740078141,underdeveloped,estimated_from_improvement_value,299907.71643018717,408965.0678593461,216.65,169.65,263.65,72
09057008,"1209 N Inglewood St, Arlington VA 22205",Bluemont,R-6,True,5982.0,55.1,False,1940.0,511-Single Family Detached,1333.0,,813700.0,288700.0,1794.6,4486.5,35,3153.5,29.71135629109551,underdeveloped,estimated_from_improvement_value,314566.28162264574,428954.0203945169,216.65,169.65,263.65,72
09053008,"5214 12Th St N, Arlington VA 22205",Bluemont,R-6,False,8937.0,64.4,True,2017.0,511-Single Family Detached,4674.0,,849200.0,1012600.0,2520.0,6300.0,35,1626.0,74.19047619047619,underdeveloped,estimated_from_improvement_value,120545.9619047619,164380.85714285713,216.65,169.65,263.65,72
09057013,"1204 N Illinois St, Arlington VA 22205",Bluemont,R-6,False,5982.0,54.6,False,1938.0,511-Single Family Detached,904.0,,813700.0,195800.0,1794.6,4486.5,35,3582.5,20.149336899587652,underdeveloped,estimated_from_improvement_value,357359.66510643036,487308.6342360414,216.65,169.65,263.65,72
09053007,"5218 12Th St N, Arlington VA 22205",Bluemont,R-6,False,8172.2,59.2,False,2014.0,511-Single Family Detached,3382.0,,840900.0,732700.0,2451.66,6129.15,35,2747.1499999999996,55.17893998352137,underdeveloped,estimated_from_improvement_value,207295.16152321285,282675.2202589266,216.65,169.65,263.65,72
09056007,"1201 N Illinois St, Arlington VA 22205",Bluemont,R-6,False,6484.0,54.4,False,1939.0,511-Single Family Detached,809.0,,819700.0,175200.0,1945.1999999999998,4863.0,35,4054.0,16.63582150935636,underdeveloped,estimated_from_improvement_value,375834.89409829327,512502.1283158544,216.65,169.65,263.65,72
09053011,"1136 N Frederick St, Arlington VA 22205",Bluemont,R-6,False,9900.0,74.8,True,1930.0,511-Single Family Detached,400.0,,860700.0,86700.0,2520.0,6300.0,35,5900.0,6.349206349206349,underdeveloped,estimated_from_improvement_value,443328.8095238096,604539.2857142857,216.65,169.65,263.65,72
09056016,"1142 N Harrison St, Arlington VA 22205",Bluemont,R-6,False,5895.0,49.5,False,2018.0,511-Single Family Detached,4755.0,,812700.0,1030200.0,1768.5,4421.25,35,-333.75,107.54877014419,overdeveloped,estimated_from_improvement_value,,,216.65,169.65,263.65,72
09057007,"1205 N Inglewood St, Arlington VA 22205",Bluemont,R-6,False,5982.0,54.0,False,1940.0,511-Single Family Detached,682.0,,813700.0,147800.0,1794.6,4486.5,35,3804.5,15.201159032653516,underdeveloped,estimated_from_improvement_value,379504.4929232141,517506.12671347376,216.65,169.65,263.65,72
09057014,"1200 N Illinois St, Arlington VA 22205",Bluemont,R-6,False,5982.0,54.4,False,1939.0,511-Single Family Detached,2722.0,,813700.0,589700.0,1794.6,4486.5,35,1764.5,60.6709015936699,underdeveloped,estimated_from_improvement_value,176011.48055276944,240015.65529923103,216.65,169.65,263.65,72
