parcel_id,quality_tier,anomaly_flags,anomaly_count
12041034,clean,,0
12041038,clean,,0
12041037,clean,,0
12041036,clean,,0
12041035,clean,,0
12041040,clean,,0
12041041,clean,,0
12041042,clean,,0
12041039,clean,,0
12041044,flag-for-review,unknown_property_type:218-Health care Facilities|statistical_outlier:available_gfa_sf_z=-21.1_low_value=-147590,2
12029012,clean,,0
12029011,clean,,0
12029010,clean,,0
12029009,clean,,0
12029008,clean,,0
12029016,clean,,0
12029017,clean,,0
12029018,clean,,0
12040045,clean,,0
12040047,clean,,0
12029019,clean,,0
12029020,clean,,0
12029006,clean,,0
12040048,clean,,0
12040043,clean,,0
12040040,clean,,0
12040031,clean,,0
12029022,clean,,0
12029003,clean,,0
12040028,clean,,0
12040032,clean,,0
12029023,clean,,0
12029002,clean,,0
12040027,clean,,0
12040033,clean,,0
12040038,clean,,0
12040026,clean,,0
12040034,clean,,0
12040036,clean,,0
12042038,clean,,0
12040035,clean,,0
12040025,clean,,0
12042057,clean,,0
12040154,clean,,0
12042037,clean,,0
12042031,clean,,0
12042045,clean,,0
12040020,clean,,0
12042032,clean,,0
12029014,clean,,0
12029013,clean,,0
12029015,clean,,0
12040046,clean,,0
12029007,clean,,0
12040044,clean,,0
12029005,clean,,0
12029021,clean,,0
12040030,clean,,0
12040041,clean,,0
12029004,clean,,0
12040029,clean,,0
12040042,clean,,0
12040037,clean,,0
12029024,clean,,0
12029001,clean,,0
12040155,clean,,0
12040019,clean,,0
12040018,clean,,0
12042056,clean,,0
12042036,clean,,0
12040017,clean,,0
12040051,clean,,0
12040039,clean,,0
12040049,clean,,0
12040050,clean,,0
12040123,clean,,0
12040124,clean,,0
12040132,flag-for-review,unknown_property_type:528-SFD/Apt Zone no site plan,1
12040125,clean,,0
12040156,clean,,0
12040157,clean,,0
12040131,clean,,0
12040126,clean,,0
12040130,clean,,0
12040112,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A)|statistical_outlier:est_value_high_z=-2.5_low_value=75,2
12040127,clean,,0
12040158,clean,,0
12040119,clean,,0
12040128,clean,,0
12040118,clean,,0
