parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
03003137,"4118 Round Hill Rd, Arlington VA 22207",Chain Bridge Forest,R-10,False,14267.0,91.7,True,1973.0,511-Single Family Detached,1647.0,,679500.0,530300.0,3500.0,8750.0,35,7103.0,18.822857142857146,underdeveloped,estimated_from_improvement_value,303379.27714285714,413699.01428571425,322.04,292.96,351.11,7
03003128,"4107 Round Hill Rd, Arlington VA 22207",Chain Bridge Forest,R-10,False,13281.0,87.9,True,1973.0,511-Single Family Detached,1332.0,,906400.0,429100.0,3320.25,8300.625,35,6968.625,16.046984413824262,underdeveloped,estimated_from_improvement_value,418522.5733002033,570712.5999548227,322.04,292.96,351.11,7
03003132,"4133 Round Hill Rd, Arlington VA 22207",Chain Bridge Forest,R-10,False,12674.0,86.9,True,1975.0,511-Single Family Detached,2504.0,,899100.0,806400.0,3168.5,7921.25,35,5417.25,31.611172479091053,underdeveloped,estimated_from_improvement_value,338186.17153227085,461162.96118036925,322.04,292.96,351.11,7
03003131,"4127 Round Hill Rd, Arlington VA 22207",Chain Bridge Forest,R-10,False,14790.0,92.6,True,1974.0,511-Single Family Detached,2299.0,,924500.0,740500.0,3500.0,8750.0,35,6451.0,26.274285714285718,underdeveloped,estimated_from_improvement_value,374876.8257142857,511195.67142857146,322.04,292.96,351.11,7
03003130,"4121 Round Hill Rd, Arlington VA 22207",Chain Bridge Forest,R-10,False,15525.0,91.8,True,1974.0,511-Single Family Detached,1187.0,,933300.0,382400.0,3500.0,8750.0,35,7563.0,13.565714285714286,underdeveloped,estimated_from_improvement_value,443680.1537142858,605018.3914285714,322.04,292.96,351.11,7
03003111,"41St St N, Arlington VA 22207",Chain Bridge Forest,R-10,False,3656.0,27.8,False,,511-Single Family Detached,,,276800.0,0.0,914.0,2285.0,35,2285.0,0.0,vacant,not_available,152240.0,207600.0,322.04,292.96,351.11,7
03003125,"38Th Pl N, Arlington VA 22207",Chain Bridge Forest,R-10,False,13015.0,93.8,True,,510-Res - Vacant(SF & Twnhse),,,,,3253.75,8134.375,35,,,near-capacity,,,,322.04,292.96,351.11,7
03003106,"4020 41St St N, Arlington VA 22207",Chain Bridge Forest,R-10,False,13528.0,102.5,True,1969.0,511-Single Family Detached,2191.0,,909400.0,705700.0,3382.0,8455.0,35,6264.0,25.913660555884093,underdeveloped,estimated_from_improvement_value,370557.6439976346,505305.87817859254,322.04,292.96,351.11,7
03003109,"4033 41St St N, Arlington VA 22207",Chain Bridge Forest,R-10,False,10716.0,83.7,True,1974.0,511-Single Family Detached,1632.0,,875600.0,525500.0,2679.0,6697.5,35,5065.5,24.367301231802912,underdeveloped,estimated_from_improvement_value,364231.95072788355,496679.93281075027,322.04,292.96,351.11,7
03003108,"4100 N Ridgeview Rd, Arlington VA 22207",Chain Bridge Forest,R-10,False,10010.0,86.9,True,1971.0,511-Single Family Detached,2106.0,,867100.0,678300.0,2502.5,6256.25,35,4150.25,33.66233766233766,underdeveloped,estimated_from_improvement_value,316367.6285714286,431410.4025974026,322.04,292.96,351.11,7
03003124,"38Th Pl N, Arlington VA 22207",Chain Bridge Forest,R-10,False,11336.0,90.4,True,,510-Res - Vacant(SF & Twnhse),,,794700.0,0.0,2834.0,7085.0,35,7085.0,0.0,vacant,not_available,437085.00000000006,596025.0,322.04,292.96,351.11,7
03003152,"38Th Pl N, Arlington VA 22207",Chain Bridge Forest,R-10,False,14654.0,99.8,True,,510-Res - Vacant(SF & Twnhse),,,738300.0,0.0,3500.0,8750.0,35,8750.0,0.0,vacant,not_available,406065.00000000006,553725.0,322.04,292.96,351.11,7
03003154,"4141 Round Hill Rd, Arlington VA 22207",Chain Bridge Forest,R-10,True,19349.0,105.8,True,1977.0,511-Single Family Detached,2102.0,,979200.0,677000.0,3500.0,8750.0,35,6648.0,24.02285714285714,underdeveloped,estimated_from_improvement_value,409182.5005714286,557976.1371428572,322.04,292.96,351.11,7
03003099,"3901 N Ridgeview Rd, Arlington VA 22207",Chain Bridge Forest,R-10,False,11368.4,90.0,True,1980.0,511-Single Family Detached,3644.0,,885600.0,1173500.0,2842.1,7105.25,35,3461.25,51.28602090003871,underdeveloped,estimated_from_improvement_value,237276.0494000915,323558.2491819429,322.04,292.96,351.11,7
03003080,"4033 40Th St N, Arlington VA 22207",Chain Bridge Forest,R-10,False,17327.0,91.5,True,1968.0,511-Single Family Detached,2404.0,,945400.0,774200.0,3500.0,8750.0,35,6346.0,27.474285714285713,underdeveloped,estimated_from_improvement_value,377111.9565714286,514243.57714285713,322.04,292.96,351.11,7
03003082,"4017 40Th St N, Arlington VA 22207",Chain Bridge Forest,R-10,False,13295.0,102.2,True,1968.0,511-Single Family Detached,1559.0,,904500.0,502000.0,3323.75,8309.375,35,6750.375,18.7619405791651,underdeveloped,estimated_from_improvement_value,404139.0361037985,551098.6855960888,322.04,292.96,351.11,7
03003079,"4009 N River St, Arlington VA 22207",Chain Bridge Forest,R-10,False,10287.0,68.1,False,1967.0,511-Single Family Detached,1437.0,,870500.0,462700.0,2571.75,6429.375,35,4992.375,22.350539515893846,underdeveloped,estimated_from_improvement_value,371766.2044327792,506953.91513560805,322.04,292.96,351.11,7
03005010,"4010 N River St, Arlington VA 22207",Chain Bridge Forest,R-10,False,20410.0,84.4,True,1967.0,511-Single Family Detached,1490.0,,962100.0,479900.0,3500.0,8750.0,35,7260.0,17.02857142857143,underdeveloped,estimated_from_improvement_value,439047.4628571429,598701.0857142857,322.04,292.96,351.11,7
03005004,"4013 N Stuart St, Arlington VA 22207",Chain Bridge Forest,R-10,False,10506.0,83.6,True,1959.0,511-Single Family Detached,970.0,,896100.0,312300.0,2626.5,6566.25,35,5596.25,14.772510946126024,underdeveloped,estimated_from_improvement_value,420047.9411764706,572792.6470588235,322.04,292.96,351.11,7
03005032,"4179 39Th St N, Arlington VA 22207",Chain Bridge Forest,R-10,False,11750.0,93.1,True,1968.0,511-Single Family Detached,1354.0,,817000.0,435900.0,2937.5,7343.75,35,5989.75,18.43744680851064,underdeveloped,estimated_from_improvement_value,366501.33276595746,499774.54468085105,322.04,292.96,351.11,7
03067058,"3862 N River St, Arlington VA 22207",Chain Bridge Forest,R-10,False,12355.0,88.8,True,1967.0,511-Single Family Detached,1321.0,,895300.0,425500.0,3088.75,7721.875,35,6400.875,17.107244030756778,underdeveloped,estimated_from_improvement_value,408176.3643059491,556604.133144476,322.04,292.96,351.11,7
03067027,"4178 39Th St N, Arlington VA 22207",Chain Bridge Forest,R-10,False,11414.0,95.2,True,1966.0,511-Single Family Detached,1977.0,,885200.0,636600.0,2853.5,7133.75,35,5156.75,27.7133345014894,underdeveloped,estimated_from_improvement_value,351934.85964604875,479911.1722446119,322.04,292.96,351.11,7
03067057,"3858 N River St, Arlington VA 22207",Chain Bridge Forest,R-10,False,10082.0,76.2,False,1974.0,511-Single Family Detached,2300.0,,868000.0,740700.0,2520.5,6301.25,35,4001.25,36.50069430668518,underdeveloped,estimated_from_improvement_value,303145.685379885,413380.4800634795,322.04,292.96,351.11,7
03067059,"3851 N Rixey St, Arlington VA 22207",Chain Bridge Forest,R-10,False,11571.0,92.1,True,1969.0,511-Single Family Detached,2085.0,,885900.0,671400.0,2892.75,7231.875,35,5146.875,28.830697433238267,underdeveloped,estimated_from_improvement_value,346768.8682914182,472866.6385792066,322.04,292.96,351.11,7
03003081,"4025 40Th St N, Arlington VA 22207",Chain Bridge Forest,R-10,False,16099.0,101.0,True,1968.0,511-Single Family Detached,1766.0,,940200.0,568800.0,3500.0,8750.0,35,6984.0,20.182857142857145,underdeveloped,estimated_from_improvement_value,412742.42742857145,562830.5828571428,322.04,292.96,351.11,7
03003097,"3861 N Ridgeview Rd, Arlington VA 22207",Chain Bridge Forest,R-10,False,15414.0,108.1,True,1970.0,511-Single Family Detached,2839.0,,932000.0,914200.0,3500.0,8750.0,35,5911.0,32.44571428571428,underdeveloped,estimated_from_improvement_value,346283.2685714286,472204.45714285714,322.04,292.96,351.11,7
