parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
05049010,"2240 N Pollard St, Arlington VA 22207",Cherrydale,R-6,False,8008.5,74.0,True,1950.0,511-Single Family Detached,847.0,,913900.0,203200.0,2402.5499999999997,6006.374999999999,35,5159.374999999999,14.101683627812116,underdeveloped,estimated_from_improvement_value,431763.5923289838,588768.5349940688,239.9,168.43,311.38,42
05049007,"2245 N Quincy St, Arlington VA 22207",Cherrydale,R-6,False,6586.0,58.7,False,1947.0,511-Single Family Detached,2210.0,,886800.0,530100.0,1975.8,4939.5,35,2729.5,44.74137058406721,underdeveloped,estimated_from_improvement_value,269518.4391132706,367525.14424536895,239.9,168.43,311.38,42
05049006,"2239 N Quincy St, Arlington VA 22207",Cherrydale,R-6,False,6288.0,59.1,False,1940.0,511-Single Family Detached,995.0,,883200.0,238800.0,1886.3999999999999,4716.0,35,3721.0,21.09838846480068,underdeveloped,estimated_from_improvement_value,383272.46819338424,522644.27480916027,239.9,168.43,311.38,42
05049011,"2234 N Pollard St, Arlington VA 22207",Cherrydale,R-6,False,7257.0,68.3,True,1953.0,511-Single Family Detached,2845.0,,894800.0,682500.0,2177.1,5442.75,35,2597.75,52.27137017132883,underdeveloped,estimated_from_improvement_value,234891.67883882232,320306.83478021226,239.9,168.43,311.38,42
05049005,"2235 N Quincy St, Arlington VA 22207",Cherrydale,R-6,False,5903.0,58.8,False,1945.0,511-Single Family Detached,1630.0,,878600.0,391100.0,1770.8999999999999,4427.25,35,2797.25,36.81743746117793,underdeveloped,estimated_from_improvement_value,305317.0969563499,416341.49584956805,239.9,168.43,311.38,42
05049012,"2228 N Pollard St, Arlington VA 22207",Cherrydale,R-6,False,7758.0,77.6,True,1952.0,511-Single Family Detached,205.0,,900900.0,49100.0,2327.4,5818.5,35,5613.5,3.523244822548767,underdeveloped,estimated_from_improvement_value,478037.498066512,651869.3155452436,239.9,168.43,311.38,42
05049013,"2224 N Pollard St, Arlington VA 22207",Cherrydale,R-6,False,6024.0,64.8,True,1945.0,511-Single Family Detached,780.0,,880000.0,187100.0,1807.2,4518.0,35,3738.0,17.264276228419657,underdeveloped,estimated_from_improvement_value,400440.90305444895,546055.7768924304,239.9,168.43,311.38,42
05049014,"2218 N Pollard St, Arlington VA 22207",Cherrydale,R-6,False,5690.0,65.1,False,1945.0,511-Single Family Detached,1603.0,,876000.0,384600.0,1707.0,4267.5,35,2664.5,37.56297598125366,underdeveloped,estimated_from_improvement_value,300821.5817223199,410211.2478031635,239.9,168.43,311.38,42
05049008,"2251 N Quincy St, Arlington VA 22207",Cherrydale,R-6,False,11840.0,93.0,True,1951.0,511-Single Family Detached,1039.0,,949800.0,249300.0,2520.0,6300.0,35,5261.0,16.49206349206349,underdeveloped,estimated_from_improvement_value,436237.1095238096,594868.7857142857,239.9,168.43,311.38,42
05049009,"2246 N Pollard St, Arlington VA 22207",Cherrydale,R-6,False,9341.0,77.0,True,1945.0,511-Single Family Detached,2054.0,,919800.0,492700.0,2520.0,6300.0,35,4246.0,32.6031746031746,underdeveloped,estimated_from_improvement_value,340953.80000000005,464937.0,239.9,168.43,311.38,42
05049002,"2217 N Quincy St, Arlington VA 22207",Cherrydale,R-6,False,7346.0,56.8,False,2023.0,511-Single Family Detached,5256.0,,895900.0,1261000.0,2203.7999999999997,5509.499999999999,35,253.4999999999991,95.39885652055543,near-capacity,estimated_from_improvement_value,22671.9044377892,30916.233324257995,239.9,168.43,311.38,42
05051022,"3630 Vacation Ln, Arlington VA 22207",Cherrydale,R-6,False,9236.0,55.8,False,1950.0,511-Single Family Detached,1542.0,,918600.0,370000.0,2520.0,6300.0,35,4758.0,24.476190476190478,underdeveloped,estimated_from_improvement_value,381568.9428571428,520321.2857142857,239.9,168.43,311.38,42
05051020,"3638 Vacation Ln, Arlington VA 22207",Cherrydale,R-6,False,8803.0,46.7,False,1948.0,511-Single Family Detached,2659.0,,913400.0,637800.0,2520.0,6300.0,35,3641.0,42.20634920634921,underdeveloped,estimated_from_improvement_value,290337.9634920635,395915.4047619048,239.9,168.43,311.38,42
06001009,"2158 N Stafford St, Arlington VA 22207",Cherrydale,R-5,True,6766.0,50.7,True,1910.0,511-Single Family Detached,442.0,,720300.0,106100.0,2300.44,5751.1,35,5309.1,7.685486254803428,underdeveloped,estimated_from_improvement_value,365717.79337865807,498706.0818799882,239.9,168.43,311.38,42
06011014,"4145 21St Rd N, Arlington VA 22207",Cherrydale,R-5,False,5636.0,38.0,False,1955.0,515-Duplex,1766.0,,667100.0,423700.0,1916.2400000000002,4790.6,35,3024.6000000000004,36.8638583893458,underdeveloped,estimated_from_improvement_value,231649.6603765708,315885.9005135056,239.9,168.43,311.38,42
06011013,"4141 21St Rd N, Arlington VA 22207",Cherrydale,R-5,False,5714.7,45.6,False,1955.0,515-Duplex,1285.0,,666200.0,308300.0,1942.998,4857.495,35,3572.495,26.45396444051924,underdeveloped,estimated_from_improvement_value,269480.02889349347,367472.7666729456,239.9,168.43,311.38,42
06011011,"4133 21St Rd N, Arlington VA 22207",Cherrydale,R-5,False,5205.0,35.9,False,1955.0,515-Duplex,1366.0,,663000.0,327700.0,1769.7,4424.25,35,3058.25,30.875289597106853,underdeveloped,estimated_from_improvement_value,252063.2564841499,343722.62247838615,239.9,168.43,311.38,42
06001012,"2150 N Stafford St, Arlington VA 22207",Cherrydale,R-5,False,10806.0,51.8,True,2024.0,511-Single Family Detached,7364.0,,762400.0,1766700.0,2380.0,5950.0,35,-1414.0,123.76470588235293,overdeveloped,estimated_from_improvement_value,,,239.9,168.43,311.38,42
06001013,"2146 N Stafford St, Arlington VA 22207",Cherrydale,R-5,True,10733.0,51.3,True,1905.0,511-Single Family Detached,571.0,,760800.0,136900.0,2380.0,5950.0,35,5379.0,9.596638655462185,underdeveloped,estimated_from_improvement_value,378283.8252100841,515841.5798319328,239.9,168.43,311.38,42
06001021,"2145 N Taylor St, Arlington VA 22207",Cherrydale,R-5,True,6126.0,47.5,False,2003.0,511-Single Family Detached,2271.0,,688600.0,544700.0,2082.84,5207.1,35,2936.1000000000004,43.613527683355414,underdeveloped,estimated_from_improvement_value,213552.48660482807,291207.93627931096,239.9,168.43,311.38,42
06001015,"2134 N Stafford St, Arlington VA 22207",Cherrydale,R-5,True,10872.0,51.8,True,2022.0,511-Single Family Detached,7217.0,,762200.0,1731300.0,2380.0,5950.0,35,-1267.0,121.29411764705881,overdeveloped,estimated_from_improvement_value,,,239.9,168.43,311.38,42
06001016,"2128 N Stafford St, Arlington VA 22207",Cherrydale,R-5,True,4904.0,31.6,False,1910.0,511-Single Family Detached,655.0,,660100.0,157100.0,1667.3600000000001,4168.400000000001,35,3513.4000000000005,15.713463199309086,underdeveloped,estimated_from_improvement_value,306006.48618174845,417281.57206602057,239.9,168.43,311.38,42
06001008,"2162 N Stafford St, Arlington VA 22207",Cherrydale,R-5,True,11190.0,81.9,True,1910.0,511-Single Family Detached,358.0,,720400.0,85900.0,2380.0,5950.0,35,5592.0,6.016806722689076,underdeveloped,estimated_from_improvement_value,372380.2084033614,507791.19327731093,239.9,168.43,311.38,42
06001023,"2153 N Taylor St, Arlington VA 22207",Cherrydale,R-5,True,7540.0,48.9,False,1938.0,511-Single Family Detached,481.0,,728200.0,115300.0,2380.0,5950.0,35,5469.0,8.084033613445378,underdeveloped,estimated_from_improvement_value,368132.63697478996,501999.0504201681,239.9,168.43,311.38,42
06012013,"4132 21St Rd N, Arlington VA 22207",Cherrydale,R-5,False,4017.0,57.6,False,1937.0,511-Single Family Detached,1909.0,,692200.0,458000.0,1365.7800000000002,3414.4500000000007,35,1505.4500000000007,55.90944368785601,underdeveloped,estimated_from_improvement_value,167857.15693596337,228896.1230944955,239.9,168.43,311.38,42
06012014,"4124 21St Rd N, Arlington VA 22207",Cherrydale,R-5,True,5222.0,47.3,False,1925.0,511-Single Family Detached,1930.0,,704600.0,462900.0,1775.48,4438.7,35,2508.7,43.481199450289495,underdeveloped,estimated_from_improvement_value,219027.30777029312,298673.60150494514,239.9,168.43,311.38,42
05047020,"2162 N Quebec St, Arlington VA 22207",Cherrydale,R-6,False,5000.0,50.0,False,1996.0,511-Single Family Detached,2057.0,,837300.0,493500.0,1500.0,3750.0,35,1693.0,54.85333333333333,underdeveloped,estimated_from_improvement_value,207907.172,283509.77999999997,239.9,168.43,311.38,42
05047011,"2158 N Quebec St, Arlington VA 22207",Cherrydale,R-6,False,5000.0,50.4,False,1923.0,511-Single Family Detached,1695.0,,837300.0,406600.0,1500.0,3750.0,35,2055.0,45.2,underdeveloped,estimated_from_improvement_value,252362.22000000003,344130.30000000005,239.9,168.43,311.38,42
05046010,"2159 N Quebec St, Arlington VA 22207",Cherrydale,R-6,True,9375.0,73.8,True,1924.0,511-Single Family Detached,1724.0,,889800.0,413500.0,2520.0,6300.0,35,4576.0,27.365079365079364,underdeveloped,estimated_from_improvement_value,355468.0380952381,484729.14285714284,239.9,168.43,311.38,42
05051011,"2157 N Pollard St, Arlington VA 22207",Cherrydale,R-6,False,5459.0,56.2,False,1945.0,511-Single Family Detached,2090.0,,873300.0,501400.0,1637.7,4094.25,35,2004.25,51.04720034194297,underdeveloped,estimated_from_improvement_value,235127.63967759666,320628.599560359,239.9,168.43,311.38,42
05051010,"2153 N Pollard St, Arlington VA 22207",Cherrydale,R-6,False,5437.0,55.9,False,1945.0,511-Single Family Detached,652.0,,873000.0,156400.0,1631.1,4077.75,35,3425.75,15.989209735761142,underdeveloped,estimated_from_improvement_value,403377.8094537429,550060.649255104,239.9,168.43,311.38,42
