parcel_id,quality_tier,anomaly_flags,anomaly_count
28017009,clean,,0
28017058,clean,,0
28018041,clean,,0
28018013,clean,,0
28023014,clean,,0
28023015,clean,,0
28023009,clean,,0
28023017,clean,,0
28022016,clean,,0
28022018,clean,,0
28023002,clean,,0
28022019,clean,,0
28022013,clean,,0
28023019,clean,,0
28022014,clean,,0
28023004,clean,,0
28022023,clean,,0
28024009,clean,,0
28025020,clean,,0
28027011,clean,,0
28027001,clean,,0
28033010,clean,,0
28025038,clean,,0
28025004,clean,,0
28025030,clean,,0
28025019,clean,,0
28025009,clean,,0
28025040,clean,,0
28025028,clean,,0
28025031,clean,,0
28025010,clean,,0
28025012,clean,,0
28025014,clean,,0
28027006,clean,,0
28002374,clean,,0
28018029,clean,,0
28018051,flag-for-review,statistical_outlier:est_value_high_z=-2.5_low_value=55901,1
28018048,clean,,0
28018055,flag-for-review,statistical_outlier:est_value_high_z=-3.0_low_value=3651,1
28018056,clean,,0
28018054,clean,,0
28026018,clean,,0
28026019,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=-935,1
28026010,clean,,0
28026009,clean,,0
28026004,clean,,0
