parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
28017009,"4966 14Th St S, Arlington VA 22204",Claremont,R-6,False,13645.0,57.5,False,,510-Res - Vacant(SF & Twnhse),,,,,2520.0,6300.0,35,,,near-capacity,,,,175.62,138.48,212.76,5
28017058,"14Th St S, Arlington VA 22204",Claremont,R-6,False,16839.0,59.8,False,,510-Res - Vacant(SF & Twnhse),,,,,2520.0,6300.0,35,,,near-capacity,,,,175.62,138.48,212.76,5
28018041,"S Dinwiddie St, Arlington VA 22206",Claremont,R-6,False,6293.8,76.9,True,,510-Res - Vacant(SF & Twnhse),,,,,1888.1399999999999,4720.349999999999,35,,,near-capacity,,,,175.62,138.48,212.76,5
28018013,"S Greenbrier St, Arlington VA 22206",Claremont,R-6,False,4031.0,31.5,False,,511-Single Family Detached,,,,,1209.3,3023.25,35,,,near-capacity,,,,175.62,138.48,212.76,5
28023014,"2112 S Buchanan St, Arlington VA 22206",Claremont,R-6,False,6999.0,71.6,True,1948.0,511-Single Family Detached,598.0,,587000.0,105000.0,2099.7,5249.25,35,4651.25,11.392103633852454,underdeveloped,estimated_from_improvement_value,286070.59341810737,390096.26375196455,175.62,138.48,212.76,5
28023015,"2116 S Buchanan St, Arlington VA 22206",Claremont,R-6,False,6055.0,62.0,True,1948.0,511-Single Family Detached,439.0,,575600.0,77100.0,1816.5,4541.25,35,4102.25,9.666941921277182,underdeveloped,estimated_from_improvement_value,285976.3952656207,389967.8117258464,175.62,138.48,212.76,5
28023009,"2113 S Columbus St, Arlington VA 22206",Claremont,R-6,False,6018.0,57.9,False,1948.0,511-Single Family Detached,877.0,,575200.0,154000.0,1805.3999999999999,4513.5,35,3636.5,19.4305970975961,underdeveloped,estimated_from_improvement_value,254889.36302204497,347576.4041209704,175.62,138.48,212.76,5
28023017,"2124 S Buchanan St, Arlington VA 22206",Claremont,R-6,False,6000.0,61.8,True,1948.0,511-Single Family Detached,941.0,,575000.0,165300.0,1800.0,4500.0,35,3559.0,20.91111111111111,underdeveloped,estimated_from_improvement_value,250118.6111111111,341070.8333333333,175.62,138.48,212.76,5
28022016,"2120 S Columbus St, Arlington VA 22206",Claremont,R-6,False,6000.0,61.9,True,1948.0,511-Single Family Detached,1068.0,,575000.0,187500.0,1800.0,4500.0,35,3432.0,23.733333333333334,underdeveloped,estimated_from_improvement_value,241193.33333333334,328900.0,175.62,138.48,212.76,5
28022018,"2128 S Columbus St, Arlington VA 22206",Claremont,R-6,False,5852.6,60.1,False,2012.0,511-Single Family Detached,2526.0,,575000.0,443600.0,1755.78,4389.45,35,1863.4499999999998,57.54707309571815,underdeveloped,estimated_from_improvement_value,134257.38133479137,183078.2472747155,175.62,138.48,212.76,5
28023002,"2209 S Columbus St, Arlington VA 22206",Claremont,R-6,False,6000.0,58.4,False,1948.0,511-Single Family Detached,900.0,,575000.0,158000.0,1800.0,4500.0,35,3600.0,20.0,underdeveloped,estimated_from_improvement_value,253000.00000000003,345000.0,175.62,138.48,212.76,5
28022019,"2200 S Columbus St, Arlington VA 22206",Claremont,R-6,False,6000.0,60.6,True,1948.0,511-Single Family Detached,1502.0,,575000.0,263800.0,1800.0,4500.0,35,2998.0,33.37777777777778,underdeveloped,estimated_from_improvement_value,210692.77777777778,287308.3333333333,175.62,138.48,212.76,5
28022013,"4900 Chesterfield Rd, Arlington VA 22206",Claremont,R-6,False,6894.0,61.0,True,1948.0,511-Single Family Detached,692.0,,574000.0,121500.0,2068.2,5170.5,35,4478.5,13.383618605550721,underdeveloped,estimated_from_improvement_value,273447.9160622764,372883.52190310415,175.62,138.48,212.76,5
28023019,"2200 S Buchanan St, Arlington VA 22206",Claremont,R-6,False,6000.0,61.2,True,1948.0,511-Single Family Detached,1155.0,,575000.0,202900.0,1800.0,4500.0,35,3345.0,25.666666666666664,underdeveloped,estimated_from_improvement_value,235079.16666666666,320562.5,175.62,138.48,212.76,5
28022014,"2112 S Columbus St, Arlington VA 22206",Claremont,R-6,False,6326.0,51.3,False,1948.0,511-Single Family Detached,602.0,,578900.0,105700.0,1897.8,4744.5,35,4142.5,12.688376014332384,underdeveloped,estimated_from_improvement_value,277995.84518916643,379085.24343977234,175.62,138.48,212.76,5
28023004,"2201 S Columbus St, Arlington VA 22206",Claremont,R-6,False,6000.0,57.4,False,1948.0,511-Single Family Detached,2331.0,,575000.0,409300.0,1800.0,4500.0,35,2169.0,51.800000000000004,underdeveloped,estimated_from_improvement_value,152432.5,207862.5,175.62,138.48,212.76,5
28022023,"2216 S Columbus St, Arlington VA 22206",Claremont,R-6,False,7901.0,79.2,True,1948.0,511-Single Family Detached,1360.0,,597800.0,238800.0,2370.2999999999997,5925.749999999999,35,4565.749999999999,22.950681348352532,underdeveloped,estimated_from_improvement_value,253330.4547947517,345450.6201746614,175.62,138.48,212.76,5
28024009,"2310 S Buchanan St, Arlington VA 22206",Claremont,R-6,False,6000.0,59.7,False,1947.0,511-Single Family Detached,1145.0,,575000.0,201000.0,1800.0,4500.0,35,3355.0,25.444444444444443,underdeveloped,estimated_from_improvement_value,235781.94444444447,321520.8333333333,175.62,138.48,212.76,5
28025020,"2311 S Dinwiddie St, Arlington VA 22206",Claremont,R-6,False,6300.0,59.8,False,1947.0,511-Single Family Detached,920.0,,578600.0,161600.0,1890.0,4725.0,35,3805.0,19.47089947089947,underdeveloped,estimated_from_improvement_value,256267.75661375662,349456.0317460317,175.62,138.48,212.76,5
28027011,"5012 24Th St S, Arlington VA 22206",Claremont,R-6,False,9228.0,56.3,False,1947.0,511-Single Family Detached,804.0,,613700.0,141200.0,2520.0,6300.0,35,5496.0,12.761904761904763,underdeveloped,estimated_from_improvement_value,294459.1047619048,401535.1428571429,175.62,138.48,212.76,5
28027001,"5027 25Th St S, Arlington VA 22206",Claremont,R-6,False,7539.0,68.7,True,1947.0,511-Single Family Detached,1650.0,,593400.0,289800.0,2261.7,5654.25,35,4004.25,29.181589070168457,underdeveloped,estimated_from_improvement_value,231130.04775169122,315177.33784321527,175.62,138.48,212.76,5
28033010,"5036 25Th St S, Arlington VA 22206",Claremont,R-6,False,6001.0,59.5,False,1947.0,511-Single Family Detached,944.0,,575000.0,165800.0,1800.3,4500.75,35,3556.75,20.97428206410043,underdeveloped,estimated_from_improvement_value,249918.8329722824,340798.4085985669,175.62,138.48,212.76,5
28025038,"2444 S Culpeper St, Arlington VA 22206",Claremont,R-6,False,6083.0,62.4,True,1954.0,511-Single Family Detached,821.0,,576000.0,144200.0,1824.8999999999999,4562.25,35,3741.25,17.99550660310154,underdeveloped,estimated_from_improvement_value,259790.23508137433,354259.41147460137,175.62,138.48,212.76,5
28025004,"4919 25Th St S, Arlington VA 22206",Claremont,R-6,False,6000.0,59.7,False,1954.0,511-Single Family Detached,1254.0,,575000.0,220200.0,1800.0,4500.0,35,3246.0,27.866666666666667,underdeveloped,estimated_from_improvement_value,228121.66666666666,311075.0,175.62,138.48,212.76,5
