parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,property_type,land_value,improvement_value,development_status
16025008,"1900 N Quinn St, Arlington VA 22209",Colonial Village,C-O-1.5,True,410-Hotel Residence Suites,8400000.0,33486300.0,unknown
16025009,"1820 N Quinn St, Arlington VA 22209",Colonial Village,RA6-15,True,312-Apartment - Mid-rise,3510000.0,15439800.0,unknown
16027009,"2132 Langston Blvd, Arlington VA 22201",Colonial Village,RA8-18,False,512-Townhouse (fee simple own),625000.0,310900.0,unknown
16027008,"2134 Langston Blvd, Arlington VA 22201",Colonial Village,RA8-18,False,512-Townhouse (fee simple own),625000.0,316300.0,unknown
16027007,"2136 Langston Blvd, Arlington VA 22201",Colonial Village,RA8-18,False,512-Townhouse (fee simple own),625000.0,323600.0,unknown
16027006,"1904 N Uhle St, Arlington VA 22201",Colonial Village,RA8-18,False,511-Single Family Detached,1126300.0,482100.0,unknown
16027002,"2121 19Th St N, Arlington VA 22201",Colonial Village,RA8-18,False,511-Single Family Detached,1158600.0,78100.0,unknown
16026PLF,,Colonial Village,RA7-16,False,,,,unknown
16027010,"2130 Langston Blvd, Arlington VA 22201",Colonial Village,RA8-18,False,512-Townhouse (fee simple own),625000.0,348100.0,unknown
16027003,"2133 19Th St N, Arlington VA 22201",Colonial Village,RA8-18,False,614-Condo Co-op,2836100.0,4175600.0,unknown
16026PCC,,Colonial Village,RA7-16,True,,,,unknown
16027001,"1900 N Uhle St, Arlington VA 22201",Colonial Village,RA8-18,False,511-Single Family Detached,1140300.0,571800.0,unknown
16026002,"1811 N Veitch St, Arlington VA 22201",Colonial Village,RA8-18,True,311-Apartment - Garden,671900.0,1150800.0,unknown
16026PCE,,Colonial Village,RA7-16,False,,,,unknown
16026505,"2101 18Th St N, Arlington VA 22201",Colonial Village,RA7-16,True,311-Apartment - Garden,3619100.0,2941800.0,unknown
16026003,"2132 19Th St N, Arlington VA 22201",Colonial Village,RA8-18,True,311-Apartment - Garden,638400.0,821600.0,unknown
16026006,"19Th St N, Arlington VA 22201",Colonial Village,RA8-18,True,300-MultiFam-VacLand-no s.plan,392700.0,0.0,unknown
16026007,"2114 19Th St N, Arlington VA 22201",Colonial Village,RA8-18,True,215-Gen Comm - other,502100.0,60600.0,unknown
16025075,"N Rhodes St, Arlington VA 22201",Colonial Village,RA7-16,True,640-Not Valued Condo (H.O.A.),100.0,0.0,unknown
16025074,"1851 N Scott St, Arlington VA 22209",Colonial Village,RA7-16,True,312-Apartment - Mid-rise,2252000.0,12343600.0,unknown
16026PCG,,Colonial Village,RA7-16,True,,,,unknown
16026PCA,,Colonial Village,RA7-16,True,,,,unknown
16025PCA,,Colonial Village,RA7-16,True,,,,unknown
16025072,"1804 N Quinn St, Arlington VA 22209",Colonial Village,RA7-16,True,312-Apartment - Mid-rise,13361700.0,72518600.0,unknown
16025PCC,,Colonial Village,RA7-16,True,,,,unknown
16025PCB,,Colonial Village,RA7-16,False,,,,unknown
16026PCB,,Colonial Village,RA7-16,False,,,,unknown
16026PCD,,Colonial Village,RA7-16,False,,,,unknown
16031PCA,,Colonial Village,RA7-16,False,,,,unknown
16031PCD,,Colonial Village,RA7-16,False,,,,unknown
