parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
32004011,"2610 11Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,50.9,True,1922.0,511-Single Family Detached,1376.0,,642300.0,254600.0,1785.0000000000002,4462.500000000001,35,3086.500000000001,30.834733893557413,underdeveloped,estimated_from_improvement_value,244336.67731092442,333186.37815126055,185,185,185,1
32004004,"2701 12Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,49.0,False,2017.0,511-Single Family Detached,5384.0,,642300.0,996100.0,1785.0000000000002,4462.500000000001,35,-921.4999999999991,120.64985994397756,overdeveloped,estimated_from_improvement_value,,,185,185,185,1
32004005,"2709 12Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5278.0,50.7,True,1965.0,511-Single Family Detached,1677.0,,642300.0,310300.0,1794.5200000000002,4486.3,35,2809.3,37.38046942915097,underdeveloped,estimated_from_improvement_value,221212.88467110982,301653.93364242243,185,185,185,1
32004017,"11Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5475.0,50.2,True,,510-Res - Vacant(SF & Twnhse),,,580500.0,0.0,1861.5000000000002,4653.750000000001,35,4653.750000000001,0.0,vacant,not_available,319275.0,435375.0,185,185,185,1
32003013,"2701 11Th St S, Arlington VA 22204",Columbia Heights,R-5,True,5161.0,43.2,False,1935.0,511-Single Family Detached,404.0,,641200.0,74700.0,1754.7400000000002,4386.85,35,3982.8500000000004,9.209341554874225,underdeveloped,estimated_from_improvement_value,320182.3360725806,436612.2764626099,185,185,185,1
32011010,"1204 S Cleveland St, Arlington VA 22204",Columbia Heights,R-5,False,6118.0,49.8,False,,510-Res - Vacant(SF & Twnhse),,,654800.0,0.0,2080.1200000000003,5200.300000000001,35,5200.300000000001,0.0,vacant,not_available,360140.0,491100.0,185,185,185,1
32012010,"2708 13Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,49.6,False,1900.0,511-Single Family Detached,824.0,,642300.0,152500.0,1785.0000000000002,4462.500000000001,35,3638.500000000001,18.464985994397757,underdeveloped,estimated_from_improvement_value,288034.6672268908,392774.54621848743,185,185,185,1
32012004,"2701 13Th Rd S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,49.8,False,1954.0,515-Duplex,1033.0,,642300.0,191100.0,1785.0000000000002,4462.500000000001,35,3429.500000000001,23.148459383753497,underdeveloped,estimated_from_improvement_value,271489.59495798324,370213.0840336135,185,185,185,1
32012006,"2709 13Th Rd S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,49.6,False,1954.0,515-Duplex,1742.0,,642300.0,322200.0,1785.0000000000002,4462.500000000001,35,2720.500000000001,39.03641456582632,underdeveloped,estimated_from_improvement_value,215363.01008403365,293676.8319327732,185,185,185,1
32011001,"1215 S Edgewood St, Arlington VA 22204",Columbia Heights,R-5,False,6022.0,55.1,True,1950.0,511-Single Family Detached,499.0,,651500.0,92400.0,2047.4800000000002,5118.700000000001,35,4619.700000000001,9.748568972590697,underdeveloped,estimated_from_improvement_value,323393.44022896443,440991.0548576787,185,185,185,1
32012015,"1301 S Edgewood St, Arlington VA 22204",Columbia Heights,R-5,False,6325.0,54.8,True,1942.0,511-Single Family Detached,794.0,,655200.0,146800.0,2150.5,5376.25,35,4582.25,14.768658451522901,underdeveloped,estimated_from_improvement_value,307139.6624040921,418826.81236921647,185,185,185,1
32012003,"2615 13Th Rd S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,49.7,False,1954.0,515-Duplex,1519.0,,642300.0,281100.0,1785.0000000000002,4462.500000000001,35,2943.500000000001,34.0392156862745,underdeveloped,estimated_from_improvement_value,233016.36470588238,317749.58823529416,185,185,185,1
32011011,"1208 S Cleveland St, Arlington VA 22204",Columbia Heights,R-5,False,8885.0,80.1,True,1955.0,511-Single Family Detached,1655.0,,685900.0,306100.0,2380.0,5950.0,35,4295.0,27.81512605042017,underdeveloped,estimated_from_improvement_value,272313.82773109246,371337.037815126,185,185,185,1
32014003,"16Th St S, Arlington VA 22204",Columbia Heights,R-5,True,20625.0,98.3,True,,510-Res - Vacant(SF & Twnhse),,,,,2380.0,5950.0,35,,,near-capacity,,,,185,185,185,1
32014012,"16Th St S, Arlington VA 22204",Columbia Heights,R-5,True,10510.0,49.9,False,,510-Res - Vacant(SF & Twnhse),,,564300.0,0.0,2380.0,5950.0,35,5950.0,0.0,vacant,not_available,310365.0,423225.0,185,185,185,1
32010016,"2827 13Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,50.0,True,2007.0,511-Single Family Detached,2614.0,,642300.0,483500.0,1785.0000000000002,4462.500000000001,35,1848.500000000001,58.577030812324914,underdeveloped,estimated_from_improvement_value,146332.8521008404,199544.7983193278,185,185,185,1
32010015,"2823 13Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,50.0,True,2007.0,511-Single Family Detached,2795.0,,642300.0,517000.0,1785.0000000000002,4462.500000000001,35,1667.500000000001,62.633053221288506,underdeveloped,estimated_from_improvement_value,132004.34453781517,180005.92436974795,185,185,185,1
32010013,"2815 13Th St S, Arlington VA 22204",Columbia Heights,R-5,False,6923.0,65.9,True,1959.0,515-Duplex,1397.0,,662400.0,258400.0,2353.82,5884.55,35,4487.55,23.740133060301975,underdeveloped,estimated_from_improvement_value,277829.9472347079,378859.0189564198,185,185,185,1
32010014,"2811 13Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5677.0,54.1,True,1905.0,511-Single Family Detached,765.0,,647400.0,141500.0,1930.18,4825.45,35,4060.45,15.853443720274793,underdeveloped,estimated_from_improvement_value,299620.64294521755,408573.6040162057,185,185,185,1
32010007,"2803 13Th St S, Arlington VA 22204",Columbia Heights,R-5,False,9765.0,87.1,True,1908.0,511-Single Family Detached,2598.0,,696500.0,480600.0,2380.0,5950.0,35,3352.0,43.66386554621849,underdeveloped,estimated_from_improvement_value,215809.64705882355,294285.8823529412,185,185,185,1
32010002,"2822 12Th St S, Arlington VA 22204",Columbia Heights,R-5,False,5250.0,50.0,True,2008.0,511-Single Family Detached,3640.0,,642300.0,673400.0,1785.0000000000002,4462.500000000001,35,822.5000000000009,81.56862745098039,near-capacity,estimated_from_improvement_value,65111.588235294184,88788.52941176479,185,185,185,1
32010005,"1202 S Edgewood St, Arlington VA 22204",Columbia Heights,R-5,False,10616.0,101.1,True,1937.0,511-Single Family Detached,502.0,,706700.0,92900.0,2380.0,5950.0,35,5448.0,8.436974789915967,underdeveloped,estimated_from_improvement_value,355891.7445378151,485306.92436974787,185,185,185,1
32005001,"2819 12Th St S, Arlington VA 22204",Columbia Heights,R-5,True,5442.0,43.9,False,1938.0,511-Single Family Detached,1578.0,,612400.0,291900.0,1850.2800000000002,4625.700000000001,35,3047.7000000000007,34.11375575588559,underdeveloped,estimated_from_improvement_value,221918.04786302618,302615.51981321746,185,185,185,1
