parcel_id,quality_tier,anomaly_flags,anomaly_count
34024011,clean,,0
34024008,clean,,0
34024007,clean,,0
35001019,clean,,0
35001PCB,clean,,0
34024268,clean,,0
34024PCB,clean,,0
34024PCA,clean,,0
35001029,clean,,0
34024266,clean,,0
34024PAD,clean,,0
34024033,clean,,0
34024023,clean,,0
34024009,clean,,0
34024017,clean,,0
34024270,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
34024269,clean,,0
35009008,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
36017005,clean,,0
36017006,clean,,0
36042012,clean,,0
36042010,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
36042009,flag-for-review,unknown_property_type:212-Restaurant/eating facility,1
36042008,clean,,0
36042007,clean,,0
36042013,flag-for-review,unknown_property_type:212-Restaurant/eating facility,1
36042011,clean,,0
36042006,clean,,0
36042016,clean,,0
36017004,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
36042015,clean,,0
36042014,clean,,0
36042005,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
36017002,flag-for-review,unknown_property_type:217-Bank,1
36042004,flag-for-review,unknown_property_type:253-Service station,1
36042003,flag-for-review,unknown_property_type:216-Fast food,1
36042002,clean,,0
36042001,clean,,0
35009009,clean,,0
35009007,clean,,0
35001376,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
35001375,clean,,0
35001374,clean,,0
34027016,clean,,0
34027028,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
34027026,clean,,0
34027034,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
34020239,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
34024460,clean,,0
37026010,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
37026007,flag-for-review,unknown_property_type:253-Service station,1
37026001,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
34020030,clean,,0
34020022,clean,,0
34020014,clean,,0
34020PAE,clean,,0
34020003,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
34020012,clean,,0
34020PAC,clean,,0
34020013,clean,,0
36016005,flag-for-review,unknown_property_type:111-Off bldg < 7 stories,1
35001PCA,clean,,0
35001008,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
35001023,flag-for-review,unknown_property_type:414-Hotel - land/other,1
35001164,flag-for-review,unknown_property_type:414-Hotel - land/other,1
35002002,clean,,0
34027018,auto-exclude,nonresidential_property_type:201-GenCom VacLand-siteplan,1
34027017,flag-for-review,unknown_property_type:411-Hotel - Full service,1
34027027,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
34027002,clean,,0
34027036,clean,,0
34027035,clean,,0
34027005,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
34020PEF,clean,,0
34020243,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
34020245,clean,,0
34020236,clean,,0
34026033,auto-exclude,nonresidential_property_type:310-Apartment Parking,1
34020237,clean,,0
34020PEE,clean,,0
34020PED,clean,,0
34020PEG,clean,,0
34020240,flag-for-review,unknown_property_type:100-Off Bldg-VacLand-no s.plan,1
34024457,clean,,0
34020233,clean,,0
34020235,clean,,0
34020234,clean,,0
34020029,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
34020031,clean,,0
34020002,clean,,0
34020035,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
34020287,clean,,0
34020286,clean,,0
34020270,flag-for-review,unknown_property_type:411-Hotel - Full service,1
34020PAD,clean,,0
36016003,flag-for-review,unknown_property_type:111-Off bldg < 7 stories,1
36016004,clean,,0
34024462,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
34024463,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
34025007,clean,,0
35003845,clean,,0
35001010,flag-for-review,unknown_property_type:414-Hotel - land/other,1
35001009,clean,,0
35001027,clean,,0
35001012,clean,,0
35002PCA,clean,,0
34027033,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
34020271,flag-for-review,unknown_property_type:414-Hotel - land/other,1
34020018,clean,,0
34020017,clean,,0
34020265,clean,,0
34020232,clean,,0
34020PCA,clean,,0
34026035,flag-for-review,unknown_property_type:411-Hotel - Full service,1
34026PAA,clean,,0
34020251,clean,,0
34020037,clean,,0
34020PAB,clean,,0
34020PAF,clean,,0
34020238,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
35003844,flag-for-review,unknown_property_type:100-Off Bldg-VacLand-no s.plan,1
35001028,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
36042018,clean,,0
