parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
12001010,"6010 N Four Mile Run Dr, Arlington VA 22205",Dominion Hills,R-6,True,8914.0,74.2,True,1958.0,511-Single Family Detached,647.0,,764200.0,134600.0,2520.0,6300.0,35,5653.0,10.269841269841269,underdeveloped,estimated_from_improvement_value,377144.8301587302,514288.40476190473,207.89,159.72,256.07,26
12001012,"1080 N Montana St, Arlington VA 22205",Dominion Hills,R-6,False,5500.0,54.5,False,1945.0,511-Single Family Detached,1625.0,,702700.0,337900.0,1650.0,4125.0,35,2500.0,39.39393939393939,underdeveloped,estimated_from_improvement_value,234233.33333333334,319409.0909090909,207.89,159.72,256.07,26
12001009,"6016 N Four Mile Run Dr, Arlington VA 22205",Dominion Hills,R-6,True,11055.0,82.8,True,1958.0,511-Single Family Detached,535.0,,802700.0,111300.0,2520.0,6300.0,35,5765.0,8.492063492063492,underdeveloped,estimated_from_improvement_value,403993.81349206355,550900.6547619049,207.89,159.72,256.07,26
12002008,"1083 N Montana St, Arlington VA 22205",Dominion Hills,R-6,True,5365.0,58.3,False,1945.0,511-Single Family Detached,786.0,,700300.0,163300.0,1609.5,4023.75,35,3237.75,19.534016775396086,underdeveloped,estimated_from_improvement_value,309926.80428704567,422627.4603914259,207.89,159.72,256.07,26
12002017,"1084 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,6770.0,69.6,True,1994.0,511-Single Family Detached,3049.0,,725600.0,633900.0,2031.0,5077.5,35,2028.5,60.0492368291482,underdeveloped,estimated_from_improvement_value,159435.50566223534,217412.05317577545,207.89,159.72,256.07,26
12001007,"1117 N Ohio St, Arlington VA 22205",Dominion Hills,R-6,False,14262.0,63.2,True,1958.0,511-Single Family Detached,601.0,,860400.0,125000.0,2520.0,6300.0,35,5699.0,9.53968253968254,underdeveloped,estimated_from_improvement_value,428076.31428571435,583740.4285714286,207.89,159.72,256.07,26
12001008,"1121 N Ohio St, Arlington VA 22205",Dominion Hills,R-6,True,10583.0,81.2,True,2007.0,511-Single Family Detached,6608.0,,794200.0,1373700.0,2520.0,6300.0,35,-308.0,104.8888888888889,overdeveloped,estimated_from_improvement_value,,,207.89,159.72,256.07,26
12001011,"1084 N Montana St, Arlington VA 22205",Dominion Hills,R-6,True,5366.0,53.6,False,1945.0,511-Single Family Detached,759.0,,700300.0,157800.0,1609.8,4024.5,35,3265.5,18.859485650391353,underdeveloped,estimated_from_improvement_value,312524.8620946702,426170.266492732,207.89,159.72,256.07,26
12001013,"1076 N Montana St, Arlington VA 22205",Dominion Hills,R-6,False,5500.0,55.0,False,1945.0,511-Single Family Detached,2059.0,,702700.0,428000.0,1650.0,4125.0,35,2066.0,49.915151515151514,underdeveloped,estimated_from_improvement_value,193570.42666666667,263959.67272727273,207.89,159.72,256.07,26
12002007,"1079 N Montana St, Arlington VA 22205",Dominion Hills,R-6,False,5260.0,54.4,False,1945.0,511-Single Family Detached,1176.0,,698400.0,244400.0,1578.0,3945.0,35,2769.0,29.80988593155893,underdeveloped,estimated_from_improvement_value,269614.2661596958,367655.8174904942,207.89,159.72,256.07,26
12001006,"1113 N Ohio St, Arlington VA 22205",Dominion Hills,R-6,False,12953.0,62.4,True,1958.0,511-Single Family Detached,573.0,,836900.0,119200.0,2520.0,6300.0,35,5727.0,9.095238095238095,underdeveloped,estimated_from_improvement_value,418430.0738095239,570586.4642857143,207.89,159.72,256.07,26
12002010,"1080 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,6469.0,62.8,True,1945.0,511-Single Family Detached,1442.0,,720200.0,299800.0,1940.6999999999998,4851.75,35,3409.75,29.721234606069974,underdeveloped,estimated_from_improvement_value,278381.2176018962,379610.75127531297,207.89,159.72,256.07,26
12001014,"1072 N Montana St, Arlington VA 22205",Dominion Hills,R-6,False,5500.0,54.8,False,1945.0,511-Single Family Detached,1316.0,,702700.0,273500.0,1650.0,4125.0,35,2809.0,31.903030303030306,underdeveloped,estimated_from_improvement_value,263184.57333333336,358888.05454545456,207.89,159.72,256.07,26
12002006,"1075 N Montana St, Arlington VA 22205",Dominion Hills,R-6,False,5524.0,54.4,False,1945.0,511-Single Family Detached,1946.0,,703100.0,404500.0,1657.2,4143.0,35,2197.0,46.970794110547914,underdeveloped,estimated_from_improvement_value,205066.5906348057,279636.25995655323,207.89,159.72,256.07,26
12003006,"1081 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,5500.0,54.9,False,1945.0,511-Single Family Detached,584.0,,702700.0,121500.0,1650.0,4125.0,35,3541.0,14.157575757575758,underdeveloped,estimated_from_improvement_value,331768.0933333333,452411.0363636363,207.89,159.72,256.07,26
12001015,"1068 N Montana St, Arlington VA 22205",Dominion Hills,R-6,False,5314.0,53.7,False,1945.0,511-Single Family Detached,2514.0,,699400.0,522600.0,1594.2,3985.5,35,1471.5,63.07866014301844,underdeveloped,estimated_from_improvement_value,142025.31802785097,193670.88821979676,207.89,159.72,256.07,26
12002011,"1076 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,5732.0,53.6,False,1945.0,511-Single Family Detached,761.0,,706900.0,158200.0,1719.6,4299.0,35,3538.0,17.701791114212607,underdeveloped,estimated_from_improvement_value,319971.3212374971,436324.5289602233,207.89,159.72,256.07,26
12002005,"1071 N Montana St, Arlington VA 22205",Dominion Hills,R-6,False,5788.0,54.5,False,1945.0,511-Single Family Detached,586.0,,707900.0,121800.0,1736.3999999999999,4341.0,35,3755.0,13.499193734162635,underdeveloped,estimated_from_improvement_value,336786.56415572454,459254.4056668971,207.89,159.72,256.07,26
12001005,"1109 N Ohio St, Arlington VA 22205",Dominion Hills,R-6,False,12499.0,59.8,False,1958.0,511-Single Family Detached,599.0,,787300.0,124600.0,2520.0,6300.0,35,5701.0,9.507936507936508,underdeveloped,estimated_from_improvement_value,391844.20873015875,534333.0119047619,207.89,159.72,256.07,26
12003009,"1030 N Madison St, Arlington VA 22205",Dominion Hills,R-6,False,6000.0,60.7,True,1947.0,511-Single Family Detached,1115.0,,711700.0,231700.0,1800.0,4500.0,35,3385.0,24.77777777777778,underdeveloped,estimated_from_improvement_value,294446.1055555556,401517.41666666674,207.89,159.72,256.07,26
12003005,"1077 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,5500.0,54.3,False,1945.0,511-Single Family Detached,2308.0,,702700.0,479900.0,1650.0,4125.0,35,1817.0,55.95151515151515,underdeveloped,estimated_from_improvement_value,170240.78666666665,232146.52727272725,207.89,159.72,256.07,26
12002012,"1072 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,5969.0,53.9,False,1945.0,511-Single Family Detached,602.0,,711200.0,125200.0,1790.7,4476.75,35,3874.75,13.447255263304852,underdeveloped,estimated_from_improvement_value,338559.7163120567,461672.34042553185,207.89,159.72,256.07,26
12003010,"1026 N Madison St, Arlington VA 22205",Dominion Hills,R-6,False,6000.0,60.3,True,1947.0,511-Single Family Detached,593.0,,711700.0,123300.0,1800.0,4500.0,35,3907.0,13.177777777777777,underdeveloped,estimated_from_improvement_value,339852.5655555556,463435.31666666665,207.89,159.72,256.07,26
12014006,"N Four Mile Run Dr, Arlington VA 22205",Dominion Hills,R-6,True,6611.0,55.9,False,,510-Res - Vacant(SF & Twnhse),,,650400.0,0.0,1983.3,4958.25,35,4958.25,0.0,vacant,not_available,357720.0,487800.0,207.89,159.72,256.07,26
12003004,"1073 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,5500.0,54.7,False,1945.0,511-Single Family Detached,766.0,,702700.0,159200.0,1650.0,4125.0,35,3359.0,18.56969696969697,underdeveloped,estimated_from_improvement_value,314715.9066666667,429158.05454545456,207.89,159.72,256.07,26
12014003,"1023 N Madison St, Arlington VA 22205",Dominion Hills,R-6,False,7000.0,69.5,True,1947.0,511-Single Family Detached,876.0,,729700.0,182200.0,2100.0,5250.0,35,4374.0,16.685714285714287,underdeveloped,estimated_from_improvement_value,334369.38857142854,455958.25714285707,207.89,159.72,256.07,26
12001017,"1060 N Montana St, Arlington VA 22205",Dominion Hills,R-6,False,6833.0,56.7,False,1945.0,511-Single Family Detached,1265.0,,726700.0,262900.0,2049.9,5124.75,35,3859.75,24.684130933216256,underdeveloped,estimated_from_improvement_value,301026.2312795747,410490.3153812381,207.89,159.72,256.07,26
12003011,"1022 N Madison St, Arlington VA 22205",Dominion Hills,R-6,False,6000.0,59.9,False,1947.0,511-Single Family Detached,551.0,,711700.0,114500.0,1800.0,4500.0,35,3949.0,12.244444444444444,underdeveloped,estimated_from_improvement_value,343505.95888888894,468417.2166666667,207.89,159.72,256.07,26
12001003,"1101 N Ohio St, Arlington VA 22205",Dominion Hills,R-6,False,13005.0,62.3,True,1958.0,511-Single Family Detached,1106.0,,837800.0,230000.0,2520.0,6300.0,35,5194.0,17.555555555555554,underdeveloped,estimated_from_improvement_value,379895.75555555563,518039.66666666674,207.89,159.72,256.07,26
12003003,"1069 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,5500.0,55.3,False,1945.0,511-Single Family Detached,1368.0,,702700.0,284400.0,1650.0,4125.0,35,2757.0,33.163636363636364,underdeveloped,estimated_from_improvement_value,258312.52000000002,352244.34545454546,207.89,159.72,256.07,26
12002014,"1064 N Manchester St, Arlington VA 22205",Dominion Hills,R-6,False,6296.0,56.4,False,1945.0,511-Single Family Detached,2119.0,,717000.0,440500.0,1888.8,4722.0,35,2603.0,44.87505294366794,underdeveloped,estimated_from_improvement_value,217385.2287166455,296434.4027954257,207.89,159.72,256.07,26
