field,label,description,source,example
parcel_id,Parcel ID (RPC),The county's Real Property Code — a unique identifier for each parcel in Arlington's tax and property records.,Arlington County GIS parcels,23001033
street_address,Street Address,"The property's mailing address, formatted as street number and name, city, and ZIP code. Useful for looking up the property on a map or in county records.",Arlington Open Data — Real Estate Property API,"3715 1st Rd S, Arlington VA 22204"
neighborhood,Civic Association / Neighborhood,The civic association area the parcel falls within. Arlington uses civic associations as its primary neighborhood unit.,Arlington County GIS — Civic Association Polygons,Alcova Heights
zoning_district,Zoning District,"The official zoning code assigned to this parcel. Determines what can be built by-right (without special permits). Residential districts include R-5, R-6, R-8, R-10, R2-7, R15-30T, etc.",Arlington County GIS — Zoning Polygons,R-6
is_split_zoned,Split Zoning?,True if the parcel straddles two or more zoning districts. Analysis uses the primary (centroid) zone; results should be treated with extra caution for split-zoned parcels.,Calculated from spatial join,False
lot_area_sf,Lot Area (sq ft),"The total area of the parcel in square feet, calculated from the GIS parcel boundary. This is the authoritative geometric area, which may differ slightly from the county's recorded lot size.",Calculated from GIS parcel geometry (EPSG:2283),6000
lot_width_ft,Lot Width (ft),"The estimated width of the parcel in feet, calculated using the minimum bounding rectangle of the parcel shape. For irregular lots this is an approximation.",Calculated from GIS parcel geometry,60
is_conforming,Meets Zoning Minimums?,True if the lot meets the minimum area and width requirements for its zoning district. Non-conforming lots may have limited by-right development options.,Calculated from lot metrics vs. zoning rules,True
year_built,Year Built,"The year the current structure was built, according to county property records. Blank for vacant parcels.",Arlington Open Data — Real Estate Property API,1952
property_type,Property Type,"The county's classification of the existing use of the property (e.g. Single Family Detached, Townhouse, Vacant Residential).",Arlington Open Data — Real Estate Property API,511-Single Family Detached
current_gfa_sf,Current Building Size (sq ft),"The gross floor area of the building currently on the parcel, in square feet, from county records. This is total finished floor area across all stories. Blank for vacant parcels.",Arlington Open Data — Real Estate Property API,2400
current_stories,Current Stories,Number of stories in the existing building. Used to estimate the building footprint when combined with gross floor area.,Arlington Open Data — Real Estate Property API,2
land_value,Assessed Land Value ($),The county's most recent assessed value of the land only (not the building). Used as a key input to the valuation estimates.,Arlington Open Data — Real Estate Assessment API (2025–2026),475700
improvement_value,Assessed Building Value ($),The county's most recent assessed value of the building (improvements) on the parcel. A low or zero improvement value often indicates a vacant lot or a teardown candidate.,Arlington Open Data — Real Estate Assessment API (2025–2026),312400
