parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
32007032,"3129 12Th St S, Arlington VA 22204",Douglas Park,R-5,False,6329.0,49.4,False,1941.0,511-Single Family Detached,1170.0,,655200.0,144700.0,2151.86,5379.650000000001,35,4209.650000000001,21.748626769399493,underdeveloped,estimated_from_improvement_value,281986.648573792,384527.2480551709,123.67,68.14,179.19,7
32007039,"3225 12Th St S, Arlington VA 22204",Douglas Park,R-5,True,6900.0,49.3,False,1950.0,511-Single Family Detached,1031.0,,662100.0,127500.0,2346.0,5865.0,35,4834.0,17.578857630008528,underdeveloped,estimated_from_improvement_value,300140.7109974425,409282.78772378515,123.67,68.14,179.19,7
32017031,"3208 13Th St S, Arlington VA 22204",Douglas Park,R-5,True,5035.0,54.0,True,1942.0,511-Single Family Detached,717.0,,639700.0,88700.0,1711.9,4279.75,35,3562.75,16.75331503008353,underdeveloped,estimated_from_improvement_value,292890.9740639056,399396.7828144167,123.67,68.14,179.19,7
32017030,"3214 13Th St S, Arlington VA 22204",Douglas Park,R-5,True,5035.0,54.3,True,1935.0,511-Single Family Detached,690.0,,639700.0,85300.0,1711.9,4279.75,35,3589.75,16.122437058239385,underdeveloped,estimated_from_improvement_value,295110.62357614347,402423.577603832,123.67,68.14,179.19,7
32007050,"11Th St S, Arlington VA 22204",Douglas Park,R-5,False,6514.0,59.9,True,,510-Res - Vacant(SF & Twnhse),,,,,2214.76,5536.900000000001,35,,,near-capacity,,,,123.67,68.14,179.19,7
32007001,"12Th St S, Arlington VA 22204",Douglas Park,R-5,True,11675.0,82.1,True,,510-Res - Vacant(SF & Twnhse),,,647500.0,0.0,2380.0,5950.0,35,5950.0,0.0,vacant,not_available,356125.0,485625.0,123.67,68.14,179.19,7
32017025,"3232 13Th St S, Arlington VA 22204",Douglas Park,R-5,True,5785.0,63.0,True,1942.0,511-Single Family Detached,8760.0,,583800.0,1083300.0,1966.9,4917.25,35,-3842.75,178.14835527988205,overdeveloped,estimated_from_improvement_value,,,123.67,68.14,179.19,7
26002010,"1102 S Monroe St, Arlington VA 22204",Douglas Park,R-6,True,6764.0,79.8,True,2003.0,511-Single Family Detached,7565.0,,632500.0,935600.0,2029.1999999999998,5073.0,35,-2492.0,149.12280701754386,overdeveloped,estimated_from_improvement_value,,,123.67,68.14,179.19,7
32009007,"3112 12Th St S, Arlington VA 22204",Douglas Park,R-5,False,6134.0,49.4,False,1938.0,511-Single Family Detached,785.0,,652900.0,97100.0,2085.56,5213.9,35,4428.9,15.05590824526746,underdeveloped,estimated_from_improvement_value,305029.9862866568,415949.9812999865,123.67,68.14,179.19,7
32009003,"3126 12Th St S, Arlington VA 22204",Douglas Park,R-5,False,6134.0,49.4,False,1939.0,511-Single Family Detached,560.0,,652900.0,69300.0,2085.56,5213.9,35,4653.9,10.740520531655767,underdeveloped,estimated_from_improvement_value,320526.3277968507,437081.35608661454,123.67,68.14,179.19,7
32009011,"3105 13Th St S, Arlington VA 22204",Douglas Park,R-5,False,6150.0,49.9,False,1934.0,511-Single Family Detached,1595.0,,653100.0,197200.0,2091.0,5227.5,35,3632.5,30.5117168818747,underdeveloped,estimated_from_improvement_value,249605.38737446198,340370.98278335726,123.67,68.14,179.19,7
32009012,"3109 13Th St S, Arlington VA 22204",Douglas Park,R-5,False,6150.0,49.9,False,1939.0,511-Single Family Detached,1427.0,,653100.0,176500.0,2091.0,5227.5,35,3800.5,27.29794356767097,underdeveloped,estimated_from_improvement_value,261149.4218077475,356112.8479196557,123.67,68.14,179.19,7
32009013,"3115 13Th St S, Arlington VA 22204",Douglas Park,R-5,False,9856.0,76.9,True,1920.0,511-Single Family Detached,888.0,,697600.0,109800.0,2380.0,5950.0,35,5062.0,14.92436974789916,underdeveloped,estimated_from_improvement_value,326418.1781512605,445115.6974789916,123.67,68.14,179.19,7
32009001,"3127 13Th St S, Arlington VA 22204",Douglas Park,R-5,False,9484.0,76.8,True,2013.0,511-Single Family Detached,9015.0,,693100.0,1114900.0,2380.0,5950.0,35,-3065.0,151.5126050420168,overdeveloped,estimated_from_improvement_value,,,123.67,68.14,179.19,7
26025009,"3729 13Th St S, Arlington VA 22204",Douglas Park,R-6,True,6027.0,49.6,False,1940.0,511-Single Family Detached,1145.0,,623700.0,141600.0,1808.1,4520.25,35,3375.25,25.33045738620652,underdeveloped,estimated_from_improvement_value,256142.66550522653,349285.4529616725,123.67,68.14,179.19,7
26025017,"3825 13Th St S, Arlington VA 22204",Douglas Park,R-6,True,6027.0,49.7,False,1950.0,511-Single Family Detached,3144.0,,623700.0,388800.0,1808.1,4520.25,35,1376.25,69.55367512858803,underdeveloped,estimated_from_improvement_value,104441.55052264809,142420.2961672474,123.67,68.14,179.19,7
26004035,"3726 13Th St S, Arlington VA 22204",Douglas Park,R-6,False,5784.0,49.8,False,1948.0,511-Single Family Detached,2936.0,,620700.0,363100.0,1735.2,4338.0,35,1402.0,67.68095896726602,underdeveloped,estimated_from_improvement_value,110332.3582295989,150453.21576763486,123.67,68.14,179.19,7
26025022,"3917 13Th St S, Arlington VA 22204",Douglas Park,R-6,True,6027.0,50.1,False,1953.0,511-Single Family Detached,3999.0,,623700.0,494500.0,1808.1,4520.25,35,521.25,88.4685581549693,near-capacity,estimated_from_improvement_value,39556.88153310105,53941.202090592335,123.67,68.14,179.19,7
26025023,"3921 13Th St S, Arlington VA 22204",Douglas Park,R-6,True,6027.0,50.1,False,1954.0,511-Single Family Detached,1619.0,,623700.0,200200.0,1808.1,4520.25,35,2901.25,35.816603063989824,underdeveloped,estimated_from_improvement_value,220171.51567944253,300233.8850174216,123.67,68.14,179.19,7
26004010,"3808 13Th St S, Arlington VA 22204",Douglas Park,R-6,False,5800.0,50.4,False,1942.0,511-Single Family Detached,1747.0,,620900.0,216000.0,1740.0,4350.0,35,2603.0,40.160919540229884,underdeveloped,estimated_from_improvement_value,204347.467816092,278655.6379310345,123.67,68.14,179.19,7
