parcel_id,quality_tier,anomaly_flags,anomaly_count
04011438,clean,,0
04011122,clean,,0
04011123,clean,,0
04011124,clean,,0
04011439,clean,,0
04011440,clean,,0
04011119,clean,,0
04011121,clean,,0
04011120,clean,,0
04011118,clean,,0
04011125,clean,,0
04011116,clean,,0
04011463,clean,,0
04011441,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan|statistical_outlier:est_value_high_z=-3.2_low_value=40050,2
04011462,clean,,0
04011142,clean,,0
04011143,clean,,0
04011144,clean,,0
04011115,clean,,0
04011114,clean,,0
04011112,clean,,0
04011113,clean,,0
04011095,clean,,0
04011096,clean,,0
04011093,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.3_low_value=-4127,1
04011094,clean,,0
04011090,clean,,0
04011145,clean,,0
04011420,clean,,0
04011400,clean,,0
04011417,clean,,0
04011148,clean,,0
04011402,clean,,0
04011416,clean,,0
04011403,clean,,0
04017019,clean,,0
04011415,clean,,0
04011150,clean,,0
04011405,clean,,0
04017015,clean,,0
04017009,clean,,0
04011407,clean,,0
04011151,clean,,0
04017014,clean,,0
04017011,clean,,0
04011411,clean,,0
04011408,clean,,0
04011153,clean,,0
04017007,clean,,0
04011409,clean,,0
04017005,clean,,0
04017028,clean,,0
04017003,clean,,0
04011146,clean,,0
04011419,clean,,0
04011418,clean,,0
04011147,clean,,0
04011401,clean,,0
04017017,clean,,0
04017018,clean,,0
04011149,clean,,0
04017016,clean,,0
04011406,clean,,0
04011404,clean,,0
04017010,clean,,0
04011414,clean,,0
04011413,clean,,0
04011412,clean,,0
04011152,clean,,0
04017013,clean,,0
04011410,clean,,0
04017012,clean,,0
04017006,clean,,0
04011154,clean,,0
04017004,clean,,0
04017002,clean,,0
04011079,clean,,0
04011086,clean,,0
04018011,clean,,0
04017020,clean,,0
04011085,clean,,0
04017021,clean,,0
04018007,clean,,0
04017008,clean,,0
04018013,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.9_low_value=-193,1
04017025,clean,,0
04019013,clean,,0
04018005,clean,,0
04017026,clean,,0
04019012,clean,,0
04018004,clean,,0
04018016,clean,,0
04011091,clean,,0
04011092,clean,,0
04011089,clean,,0
04011384,clean,,0
04011077,clean,,0
04011383,clean,,0
04011078,clean,,0
04011087,clean,,0
04018010,clean,,0
04018009,clean,,0
04011080,clean,,0
04018008,clean,,0
04018012,clean,,0
04017022,clean,,0
04011084,clean,,0
04011081,clean,,0
04011082,clean,,0
04017023,clean,,0
04011083,clean,,0
04018006,clean,,0
04019014,clean,,0
04018014,clean,,0
04018015,clean,,0
04019011,clean,,0
04017027,clean,,0
04018003,clean,,0
04018017,clean,,0
04019010,clean,,0
04011158,clean,,0
04011171,clean,,0
04011159,clean,,0
04011160,clean,,0
04016006,clean,,0
04016010,clean,,0
04016011,clean,,0
04016004,clean,,0
04016012,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.8_low_value=-1666,1
04016002,clean,,0
04020009,clean,,0
04011157,clean,,0
04017001,clean,,0
04011170,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.8_low_value=0,1
04011461,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan|lot_area_marginal:1835sf<2000sf_threshold|statistical_outlier:est_value_high_z=-3.6_low_value=11925,3
04016007,clean,,0
04016008,clean,,0
04016009,clean,,0
04011172,clean,,0
04011161,clean,,0
04016005,clean,,0
04011164,clean,,0
04011165,clean,,0
04020022,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=118597,1
04011163,clean,,0
04011162,clean,,0
04016003,clean,,0
04020011,clean,,0
04016001,clean,,0
04020010,clean,,0
04018019,clean,,0
04018020,clean,,0
04019008,clean,,0
04020024,clean,,0
04020025,clean,,0
04020027,clean,,0
04020020,clean,,0
04020019,clean,,0
04020029,clean,,0
04020030,clean,,0
04020013,clean,,0
04020014,clean,,0
04020031,clean,,0
04020017,clean,,0
04020008,clean,,0
04020016,clean,,0
04020006,clean,,0
04020005,clean,,0
04020034,clean,,0
04020003,clean,,0
04020002,clean,,0
04023004,clean,,0
04023008,clean,,0
04023003,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=496|statistical_outlier:est_value_high_z=-3.2_low_value=56450,2
04018002,clean,,0
04018018,clean,,0
04019009,clean,,0
04018001,clean,,0
04019006,clean,,0
04020023,clean,,0
04019005,flag-for-review,statistical_outlier:est_value_high_z=-3.2_low_value=58360,1
04020026,clean,,0
04019004,clean,,0
04020021,clean,,0
04019003,flag-for-review,statistical_outlier:est_value_high_z=-2.9_low_value=93231,1
04020028,clean,,0
04019002,clean,,0
04020018,clean,,0
04019001,clean,,0
04020012,clean,,0
04011029,clean,,0
04020015,clean,,0
04011028,clean,,0
04020032,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.4_low_value=-934,1
04011027,clean,,0
04020007,clean,,0
04020033,clean,,0
04023006,clean,,0
04020004,clean,,0
04023007,clean,,0
04023005,clean,,0
04020001,clean,,0
04011014,clean,,0
04011013,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.3_low_value=-805,1
04023009,clean,,0
04011504,clean,,0
04011503,clean,,0
04024003,clean,,0
04024004,clean,,0
04011022,clean,,0
04023010,clean,,0
04011006,clean,,0
04023002,clean,,0
04023001,clean,,0
04024001,clean,,0
04024008,clean,,0
04011003,clean,,0
04011005,clean,,0
04011002,clean,,0
04011007,clean,,0
