parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
04011438,"2768 N Randolph St, Arlington VA 22207",Dover Crystal,R-20,False,20869.0,100.9,True,1964.0,511-Single Family Detached,2428.0,,1013200.0,637300.0,3339.04,8347.6,35,5919.6,29.08620441803632,underdeveloped,estimated_from_improvement_value,395174.2172600509,538873.9326273421,262.48,184.36,340.6,13
04011122,"2827 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,20206.0,119.6,True,1965.0,511-Single Family Detached,2293.0,,1005200.0,601900.0,3232.96,8082.4,35,5789.4,28.37028605364743,underdeveloped,estimated_from_improvement_value,396012.0365238048,540016.413441552,262.48,184.36,340.6,13
04011123,"2824 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,26583.0,80.1,False,1999.0,511-Single Family Detached,3575.0,,1081800.0,938400.0,4253.28,10633.199999999999,35,7058.199999999999,33.62111123650454,underdeveloped,estimated_from_improvement_value,394947.75025392167,538565.1139826204,262.48,184.36,340.6,13
04011124,"2810 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,False,21082.0,94.1,False,1966.0,511-Single Family Detached,2453.0,,1015800.0,643900.0,3373.12,8432.8,35,5979.799999999999,29.08879612939949,underdeveloped,estimated_from_improvement_value,396173.804904658,540237.00668817,262.48,184.36,340.6,13
04011439,"2762 N Randolph St, Arlington VA 22207",Dover Crystal,R-20,False,22239.0,96.4,False,1969.0,511-Single Family Detached,3224.0,,1029600.0,846200.0,3558.2400000000002,8895.6,35,5671.6,36.242636809209046,underdeveloped,estimated_from_improvement_value,361045.19627681107,492334.35855928774,262.48,184.36,340.6,13
04011440,"2756 N Randolph St, Arlington VA 22207",Dover Crystal,R-20,True,20433.0,87.1,False,1969.0,511-Single Family Detached,2570.0,,1008000.0,674700.0,3269.28,8173.200000000001,35,5603.200000000001,31.44423236920667,underdeveloped,estimated_from_improvement_value,380073.17574511823,518281.60328879755,262.48,184.36,340.6,13
04011119,"2807 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,21290.0,92.7,False,1967.0,511-Single Family Detached,2174.0,,1018200.0,570700.0,3406.4,8516.0,35,6342.0,25.528417097228743,underdeveloped,estimated_from_improvement_value,417048.31141380937,568702.2428370127,262.48,184.36,340.6,13
04011121,"2821 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,20153.0,109.0,True,1978.0,511-Single Family Detached,3148.0,,1004600.0,826400.0,3224.48,8061.2,35,4913.2,39.051257877239124,underdeveloped,estimated_from_improvement_value,336760.08485089074,459218.29752394184,262.48,184.36,340.6,13
04011120,"2815 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,20308.0,101.8,True,1974.0,511-Single Family Detached,1751.0,,956200.0,459500.0,3249.28,8123.200000000001,35,6372.200000000001,21.55554461296041,underdeveloped,estimated_from_improvement_value,412547.23532597994,562564.4118081544,262.48,184.36,340.6,13
04011118,"2803 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,21454.0,92.9,False,1979.0,511-Single Family Detached,1996.0,,1020200.0,524000.0,3432.64,8581.6,35,6585.6,23.259065908455298,underdeveloped,estimated_from_improvement_value,430601.0552810665,587183.2572014543,262.48,184.36,340.6,13
04011125,"2800 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,False,20435.0,120.0,True,1967.0,511-Single Family Detached,3654.0,,1008000.0,959000.0,3269.6,8174.0,35,4520.0,44.70271592855395,underdeveloped,estimated_from_improvement_value,306568.1428920969,418047.46758013207,262.48,184.36,340.6,13
04011116,"2799 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,20000.0,111.5,True,1979.0,511-Single Family Detached,1999.0,,952700.0,524700.0,3200.0,8000.0,35,6001.0,24.9875,underdeveloped,estimated_from_improvement_value,393054.24812500004,535983.065625,262.48,184.36,340.6,13
04011463,"2736 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,True,10022.0,82.1,True,1969.0,511-Single Family Detached,1807.0,,883000.0,474400.0,2505.5,6263.75,35,4456.75,28.84853322690082,underdeveloped,estimated_from_improvement_value,345547.0983835562,471200.5887048493,262.48,184.36,340.6,13
04011441,"N Randolph St, Arlington VA 22207",Dover Crystal,R-20,True,3524.0,35.1,False,,200-GenCom VacLand-no siteplan,,,53400.0,0.0,563.84,1409.6000000000001,35,1409.6000000000001,0.0,vacant,not_available,29370.000000000004,40050.0,262.48,184.36,340.6,13
04011462,"2730 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,11911.0,101.8,True,1969.0,511-Single Family Detached,1428.0,,905700.0,374700.0,2977.75,7444.375,35,6016.375,19.182268491310552,underdeveloped,estimated_from_improvement_value,402581.4068508102,548974.6457056503,262.48,184.36,340.6,13
04011142,"2724 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,10778.0,88.2,True,1966.0,511-Single Family Detached,1750.0,,892100.0,459400.0,2694.5,6736.25,35,4986.25,25.978845796993877,underdeveloped,estimated_from_improvement_value,363188.49415475974,495257.0374837632,262.48,184.36,340.6,13
04011143,"2718 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,12307.0,84.3,True,1966.0,511-Single Family Detached,1514.0,,910500.0,397500.0,3076.75,7691.875,35,6177.875,19.68310717477858,underdeveloped,estimated_from_improvement_value,402206.9200455026,548463.9818802308,262.48,184.36,340.6,13
04011144,"2712 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,12716.0,91.3,True,1966.0,511-Single Family Detached,1782.0,,915400.0,467700.0,3179.0,7947.5,35,6165.5,22.422145328719722,underdeveloped,estimated_from_improvement_value,390581.22491349484,532610.7612456747,262.48,184.36,340.6,13
04011115,"2795 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,20004.0,99.7,False,1967.0,511-Single Family Detached,2900.0,,1002800.0,761200.0,3200.64,8001.599999999999,35,5101.599999999999,36.242751449710056,underdeveloped,estimated_from_improvement_value,351646.7286542692,479518.26634673064,262.48,184.36,340.6,13
04011114,"2791 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,22524.6,131.3,True,1967.0,511-Single Family Detached,2838.0,,1030700.0,745000.0,3603.9359999999997,9009.84,35,6171.84,31.49889454196745,underdeveloped,estimated_from_improvement_value,388322.4916757679,529530.6704669562,262.48,184.36,340.6,13
04011112,"2785 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,True,22544.0,109.6,True,1980.0,511-Single Family Detached,2995.0,,1033300.0,786200.0,3607.04,9017.6,35,6022.6,33.212828246983676,underdeveloped,estimated_from_improvement_value,379561.5151481547,517583.88429293816,262.48,184.36,340.6,13
04011113,"2787 N Quebec St, Arlington VA 22207",Dover Crystal,R-20,False,20032.0,84.1,False,1966.0,511-Single Family Detached,2180.0,,1003200.0,572300.0,3205.12,8012.799999999999,35,5832.799999999999,27.206469648562305,underdeveloped,estimated_from_improvement_value,401645.5830670927,547698.5223642173,262.48,184.36,340.6,13
04011095,"2767 N Quincy St, Arlington VA 22207",Dover Crystal,R-20,True,31005.0,62.8,False,1953.0,511-Single Family Detached,1344.0,,907800.0,352900.0,4480.0,11200.0,35,9856.0,12.0,underdeveloped,estimated_from_improvement_value,439375.2,599148.0,262.48,184.36,340.6,13
04011096,"2765 N Quincy St, Arlington VA 22207",Dover Crystal,R-20,False,21683.5,187.7,True,1956.0,511-Single Family Detached,1672.0,,910900.0,438800.0,3469.36,8673.4,35,7001.4,19.27733068923375,underdeveloped,estimated_from_improvement_value,404416.5371134734,551477.0960638273,262.48,184.36,340.6,13
04011093,"2775 N Quincy St, Arlington VA 22207",Dover Crystal,R-20,True,78243.0,183.3,True,2017.0,511-Single Family Detached,15327.0,,2132100.0,4023100.0,4480.0,11200.0,35,-4127.0,136.84821428571428,overdeveloped,estimated_from_improvement_value,,,262.48,184.36,340.6,13
04011094,"2771 N Quincy St, Arlington VA 22207",Dover Crystal,R-20,False,29934.0,116.6,True,1953.0,511-Single Family Detached,1381.0,,1122000.0,362600.0,4480.0,11200.0,35,9819.0,12.330357142857142,underdeveloped,estimated_from_improvement_value,541009.3660714286,737740.0446428572,262.48,184.36,340.6,13
04011090,"2760 N Quincy St, Arlington VA 22207",Dover Crystal,R-20,True,21196.0,115.3,True,1954.0,511-Single Family Detached,1318.0,,1017100.0,346000.0,3391.36,8478.4,35,7160.4,15.545385921872052,underdeveloped,estimated_from_improvement_value,472443.3338837517,644240.9098414795,262.48,184.36,340.6,13
04011145,"2706 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,13593.0,86.0,True,1966.0,511-Single Family Detached,1721.0,,925900.0,451700.0,3398.25,8495.625,35,6774.625,20.25748547046274,underdeveloped,estimated_from_improvement_value,406084.768115942,553751.9565217391,262.48,184.36,340.6,13
04011420,"4105 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,13505.0,103.5,True,1966.0,511-Single Family Detached,2070.0,,924800.0,543400.0,3376.25,8440.625,35,6370.625,24.524250277674938,underdeveloped,estimated_from_improvement_value,383899.85338763427,523499.80007404665,262.48,184.36,340.6,13
04011400,"4106 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,15222.0,91.6,True,1966.0,511-Single Family Detached,1590.0,,945400.0,417300.0,3500.0,8750.0,35,7160.0,18.17142857142857,underdeveloped,estimated_from_improvement_value,425484.0228571429,580205.4857142858,262.48,184.36,340.6,13
04011417,"4123 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,12232.0,88.4,True,1966.0,511-Single Family Detached,1885.0,,909600.0,494900.0,3058.0,7645.0,35,5760.0,24.656638325703074,underdeveloped,estimated_from_improvement_value,376927.7697841727,513992.41334205365,262.48,184.36,340.6,13
04011148,"2540 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,14066.0,97.6,True,1965.0,511-Single Family Detached,1678.0,,931600.0,440500.0,3500.0,8750.0,35,7072.0,19.177142857142858,underdeveloped,estimated_from_improvement_value,414120.1554285714,564709.3028571428,262.48,184.36,340.6,13
04011402,"4118 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,15220.0,79.1,False,1966.0,511-Single Family Detached,1561.0,,945400.0,409800.0,3500.0,8750.0,35,7189.0,17.84,underdeveloped,estimated_from_improvement_value,427207.352,582555.48,262.48,184.36,340.6,13
04011416,"4127 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,10550.0,92.7,True,1966.0,511-Single Family Detached,2619.0,,889400.0,687400.0,2637.5,6593.75,35,3974.75,39.719431279620856,underdeveloped,estimated_from_improvement_value,294874.45800947875,402101.53364928917,262.48,184.36,340.6,13
04011403,"4124 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,11301.0,92.0,True,1966.0,511-Single Family Detached,2155.0,,898400.0,565600.0,2825.25,7063.125,35,4908.125,30.510574285461463,underdeveloped,estimated_from_improvement_value,343361.1503406778,468219.7504645606,262.48,184.36,340.6,13
04017019,"3818 26Th St N, Arlington VA 22207",Dover Crystal,R-10,False,10000.0,80.7,True,2012.0,511-Single Family Detached,4785.0,,882800.0,1256000.0,2500.0,6250.0,35,1465.0,76.55999999999999,underdeveloped,estimated_from_improvement_value,113810.576,155196.24,262.48,184.36,340.6,13
04011415,"4131 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,10167.0,92.4,True,1966.0,511-Single Family Detached,1965.0,,884800.0,515900.0,2541.75,6354.375,35,4389.375,30.923576276187664,underdeveloped,estimated_from_improvement_value,336153.50840956037,458391.14783121867,262.48,184.36,340.6,13
04011150,"2524 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,18920.0,74.7,False,1966.0,511-Single Family Detached,1467.0,,989800.0,385100.0,3500.0,8750.0,35,7283.0,16.765714285714285,underdeveloped,estimated_from_improvement_value,453119.1280000001,617889.7200000001,262.48,184.36,340.6,13
04011405,"4140 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,13407.0,77.9,False,1966.0,511-Single Family Detached,3961.0,,923700.0,1039600.0,3351.75,8379.375,35,4418.375,47.27082867158946,underdeveloped,estimated_from_improvement_value,267882.6455582905,365294.5166703961,262.48,184.36,340.6,13
04017015,"2519 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,13962.0,72.1,False,1956.0,511-Single Family Detached,970.0,,930300.0,254500.0,3490.5,8726.25,35,7756.25,11.115885976221172,underdeveloped,estimated_from_improvement_value,454788.90201976796,620166.6845724108,262.48,184.36,340.6,13
04017009,"2520 N Quebec St, Arlington VA 22207",Dover Crystal,R-10,False,15307.0,70.5,False,2010.0,511-Single Family Detached,5485.0,,946500.0,1439700.0,3500.0,8750.0,35,3265.0,62.68571428571429,underdeveloped,estimated_from_improvement_value,194248.84285714288,264884.78571428574,262.48,184.36,340.6,13
04011407,"4152 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,17350.0,102.8,True,1966.0,511-Single Family Detached,1631.0,,971000.0,428200.0,3500.0,8750.0,35,7119.0,18.64,underdeveloped,estimated_from_improvement_value,434503.08,592504.2,262.48,184.36,340.6,13
04011151,"2518 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,10984.0,84.7,True,1964.0,511-Single Family Detached,1660.0,,894600.0,435800.0,2746.0,6865.0,35,5205.0,24.18062636562272,underdeveloped,estimated_from_improvement_value,373054.0640932265,508710.08739985427,262.48,184.36,340.6,13
04017014,"2515 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,10894.0,70.1,False,1956.0,511-Single Family Detached,980.0,,893500.0,257200.0,2723.5,6808.75,35,5828.75,14.393243987516064,underdeveloped,estimated_from_improvement_value,420693.0007343492,573672.273728658,262.48,184.36,340.6,13
04017011,"2508 N Quebec St, Arlington VA 22207",Dover Crystal,R-10,False,10752.0,74.6,False,1955.0,511-Single Family Detached,857.0,,891800.0,225000.0,2688.0,6720.0,35,5863.0,12.75297619047619,underdeveloped,estimated_from_improvement_value,427937.9270833334,583551.71875,262.48,184.36,340.6,13
04011411,"4147 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,10625.0,85.8,True,1966.0,511-Single Family Detached,2978.0,,890300.0,781700.0,2656.25,6640.625,35,3662.625,44.845176470588235,underdeveloped,estimated_from_improvement_value,270073.8666352941,368282.5454117647,262.48,184.36,340.6,13
04011408,"4159 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,14799.0,87.5,True,1966.0,511-Single Family Detached,1516.0,,940400.0,397800.0,3500.0,8750.0,35,7234.0,17.325714285714287,underdeveloped,estimated_from_improvement_value,427607.94057142857,583101.7371428572,262.48,184.36,340.6,13
04011153,"2506 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,10578.0,81.9,True,1964.0,511-Single Family Detached,1929.0,,889700.0,506400.0,2644.5,6611.25,35,4682.25,29.17753828701078,underdeveloped,estimated_from_improvement_value,346559.0930232559,472580.5813953489,262.48,184.36,340.6,13
04017007,"2515 N Quebec St, Arlington VA 22207",Dover Crystal,R-10,False,12112.0,71.5,False,1956.0,511-Single Family Detached,1384.0,,908100.0,363300.0,3028.0,7570.0,35,6186.0,18.282694848084542,underdeveloped,estimated_from_improvement_value,408141.1664464994,556556.1360634082,262.48,184.36,340.6,13
04011409,"4155 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,15818.0,90.3,True,1966.0,511-Single Family Detached,1456.0,,952600.0,382300.0,3500.0,8750.0,35,7294.0,16.64,underdeveloped,estimated_from_improvement_value,436748.048,595565.52,262.48,184.36,340.6,13
04017005,"2507 N Quebec St, Arlington VA 22207",Dover Crystal,R-10,False,10242.0,68.6,False,1956.0,511-Single Family Detached,1378.0,,885700.0,361800.0,2560.5,6401.25,35,5023.25,21.527045498925993,underdeveloped,estimated_from_improvement_value,382269.22690880694,521276.2185120094,262.48,184.36,340.6,13
04017028,"2506 N Quincy St, Arlington VA 22207",Dover Crystal,R-10,False,12312.0,70.9,False,2022.0,511-Single Family Detached,4704.0,,910500.0,1234800.0,3078.0,7695.0,35,2991.0,61.13060428849902,underdeveloped,estimated_from_improvement_value,194648.21637426902,265429.38596491225,262.48,184.36,340.6,13
04017003,"3825 25Th St N, Arlington VA 22207",Dover Crystal,R-10,False,10000.0,89.8,True,1955.0,511-Single Family Detached,1173.0,,882800.0,307800.0,2500.0,6250.0,35,5077.0,18.768,underdeveloped,estimated_from_improvement_value,394413.8528,537837.0719999999,262.48,184.36,340.6,13
04011146,"2700 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,12132.0,105.3,True,1966.0,511-Single Family Detached,3651.0,,908400.0,958400.0,3033.0,7582.5,35,3931.5,48.15034619188922,underdeveloped,estimated_from_improvement_value,259051.24035608312,353251.69139465876,262.48,184.36,340.6,13
04011419,"4111 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,13857.0,93.5,True,1966.0,511-Single Family Detached,1452.0,,929100.0,381100.0,3464.25,8660.625,35,7208.625,16.765533665295518,underdeveloped,estimated_from_improvement_value,425332.28469365666,579998.5700368045,262.48,184.36,340.6,13
04011418,"4117 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,14970.0,93.3,True,1966.0,511-Single Family Detached,2256.0,,942400.0,592100.0,3500.0,8750.0,35,6494.0,25.78285714285714,underdeveloped,estimated_from_improvement_value,384682.29485714284,524566.7657142857,262.48,184.36,340.6,13
04011147,"2620 N Randolph St, Arlington VA 22207",Dover Crystal,R-10,False,12990.0,106.9,True,1965.0,511-Single Family Detached,2574.0,,918600.0,675600.0,3247.5,8118.75,35,5544.75,31.70438799076212,underdeveloped,estimated_from_improvement_value,345049.9205542726,470522.6189376444,262.48,184.36,340.6,13
04011401,"4112 27Th St N, Arlington VA 22207",Dover Crystal,R-10,False,15182.0,88.9,True,1966.0,511-Single Family Detached,1709.0,,945000.0,448600.0,3500.0,8750.0,35,7041.0,19.53142857142857,underdeveloped,estimated_from_improvement_value,418235.4,570321.0,262.48,184.36,340.6,13
04017017,"3830 26Th St N, Arlington VA 22207",Dover Crystal,R-10,False,18322.0,83.4,True,2012.0,511-Single Family Detached,5408.0,,982600.0,1419600.0,3500.0,8750.0,35,3342.0,61.80571428571429,underdeveloped,estimated_from_improvement_value,206413.3782857143,281472.7885714286,262.48,184.36,340.6,13
