parcel_id,quality_tier,anomaly_flags,anomaly_count
29004456,flag-for-review,unknown_property_type:640-Not Valued Condo (H.O.A.),1
29005PCA,clean,,0
29004PCA,clean,,0
29005PCB,clean,,0
29003PCE,clean,,0
29010PCA,clean,,0
29009PCA,clean,,0
29006PCA,clean,,0
29018003,flag-for-review,unknown_property_type:311-Apartment - Garden,1
29018PCA,clean,,0
29003019,clean,,0
30006PCA,clean,,0
30005PCA,clean,,0
30012001,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
30017PCA,clean,,0
30003PCB,clean,,0
30020PCA,clean,,0
29008PCA,clean,,0
29007PCA,clean,,0
29012PCA,clean,,0
29011PCA,clean,,0
30004PCA,clean,,0
30016PCA,clean,,0
30008001,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
30021PCA,clean,,0
30013PCA,clean,,0
30015PCA,clean,,0
30019PCA,clean,,0
30014PCA,clean,,0
30018PCA,clean,,0
30003PCA,clean,,0
29003010,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
29015008,clean,,0
29015016,clean,,0
29013PCA,clean,,0
29003009,clean,,0
29015017,clean,,0
29015020,clean,,0
29015002,clean,,0
29015018,clean,,0
29015029,clean,,0
29015028,clean,,0
29015030,clean,,0
29015027,clean,,0
29015026,clean,,0
29015025,clean,,0
29015024,clean,,0
29015023,clean,,0
29015022,clean,,0
29015021,clean,,0
29015031,clean,,0
29015007,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
