parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
22001070,"652 S Illinois St, Arlington VA 22204",Forest Glen,R-6,True,6600.0,59.6,False,1958,511-Single Family Detached,1029.0,,594800.0,190300.0,1980.0,4950.0,35,3921.0,20.78787878787879,underdeveloped,estimated_from_improvement_value,259134.53333333335,353365.2727272727,185,185,185,0
22001071,"656 S Illinois St, Arlington VA 22204",Forest Glen,R-6,True,7678.0,64.4,True,1959,511-Single Family Detached,1329.0,,614200.0,245900.0,2303.4,5758.5,35,4429.5,23.078926803855172,underdeveloped,estimated_from_improvement_value,259847.07736389685,354336.9236780411,185,185,185,0
22002006,"660 S Harrison St, Arlington VA 22204",Forest Glen,R-6,False,6000.0,65.2,True,1958,511-Single Family Detached,1074.0,,584000.0,198700.0,1800.0,4500.0,35,3426.0,23.866666666666667,underdeveloped,estimated_from_improvement_value,244540.26666666666,333464.0,185,185,185,0
22001080,"660 S Jefferson St, Arlington VA 22204",Forest Glen,R-6,True,7614.0,66.9,True,1958,511-Single Family Detached,1458.0,,613000.0,269800.0,2284.2,5710.5,35,4252.5,25.53191489361702,underdeveloped,estimated_from_improvement_value,251069.1489361702,342367.0212765957,185,185,185,0
22002003,"661 S Illinois St, Arlington VA 22204",Forest Glen,R-6,False,6000.0,66.8,True,1958,511-Single Family Detached,1037.0,,584000.0,191900.0,1800.0,4500.0,35,3463.0,23.044444444444444,underdeveloped,estimated_from_improvement_value,247181.24444444446,337065.3333333333,185,185,185,0
22002007,"664 S Harrison St, Arlington VA 22204",Forest Glen,R-6,False,6000.0,65.8,True,1958,511-Single Family Detached,1138.0,,584000.0,210500.0,1800.0,4500.0,35,3362.0,25.288888888888888,underdeveloped,estimated_from_improvement_value,239972.0888888889,327234.6666666666,185,185,185,0
22001078,"665 S Jefferson St, Arlington VA 22204",Forest Glen,R-6,False,6521.0,63.1,True,1959,511-Single Family Detached,944.0,,593300.0,174600.0,1956.3,4890.75,35,3946.75,19.301743086438687,underdeveloped,estimated_from_improvement_value,263330.5170474876,359087.06870111945,185,185,185,0
22001067,"644 S Illinois St, Arlington VA 22204",Forest Glen,R-6,True,9060.0,55.8,False,1958,511-Single Family Detached,1692.0,,639000.0,313100.0,2520.0,6300.0,35,4608.0,26.857142857142858,underdeveloped,estimated_from_improvement_value,257060.57142857145,350537.14285714284,185,185,185,0
22002004,"655 S Illinois St, Arlington VA 22204",Forest Glen,R-6,False,7505.0,66.3,True,1958,511-Single Family Detached,989.0,,611100.0,183000.0,2251.5,5628.75,35,4639.75,17.570508549855653,underdeveloped,estimated_from_improvement_value,277049.6422385077,377794.96668887406,185,185,185,0
22001073,"664 S Illinois St, Arlington VA 22204",Forest Glen,R-6,True,8569.0,58.5,False,1959,511-Single Family Detached,1032.0,,630200.0,190900.0,2520.0,6300.0,35,5268.0,16.380952380952383,underdeveloped,estimated_from_improvement_value,289831.980952381,395225.4285714286,185,185,185,0
22001075,"672 S Illinois St, Arlington VA 22204",Forest Glen,R-6,False,6534.5,62.4,True,1959,511-Single Family Detached,877.0,,598500.0,162200.0,1960.35,4900.875,35,4023.875,17.89476369015737,underdeveloped,estimated_from_improvement_value,270269.9116229245,368549.8794858061,185,185,185,0
22002002,"665 S Illinois St, Arlington VA 22204",Forest Glen,R-6,False,6000.0,65.8,True,1958,511-Single Family Detached,1139.0,,584000.0,210700.0,1800.0,4500.0,35,3361.0,25.311111111111114,underdeveloped,estimated_from_improvement_value,239900.7111111111,327137.3333333333,185,185,185,0
22002008,"668 S Harrison St, Arlington VA 22204",Forest Glen,R-6,False,6000.0,66.1,True,1958,511-Single Family Detached,1058.0,,584000.0,195800.0,1800.0,4500.0,35,3442.0,23.51111111111111,underdeveloped,estimated_from_improvement_value,245682.3111111111,335021.3333333333,185,185,185,0
22001084,"5607 7Th St S, Arlington VA 22204",Forest Glen,R-6,True,6003.0,68.1,True,1959,511-Single Family Detached,958.0,,584000.0,177200.0,1800.8999999999999,4502.25,35,3544.25,21.278249764006883,underdeveloped,estimated_from_improvement_value,252854.2617580099,344801.26603364985,185,185,185,0
22001083,"5601 7Th St S, Arlington VA 22204",Forest Glen,R-6,False,6071.0,68.1,True,1959,511-Single Family Detached,1225.0,,585200.0,226600.0,1821.3,4553.25,35,3328.25,26.903859880305276,underdeveloped,estimated_from_improvement_value,235267.23658924943,320818.9589853401,185,185,185,0
22001077,"5511 7Th St S, Arlington VA 22204",Forest Glen,R-6,False,7871.0,62.9,True,1959,511-Single Family Detached,1089.0,,617600.0,201400.0,2361.2999999999997,5903.249999999999,35,4814.249999999999,18.447465379240253,underdeveloped,estimated_from_improvement_value,277017.6495997967,377751.3403633591,185,185,185,0
22001036,"645 S Florida St, Arlington VA 22204",Forest Glen,R-6,True,12437.0,61.8,True,1961,511-Single Family Detached,1203.0,,699800.0,222600.0,2520.0,6300.0,35,5097.0,19.095238095238095,underdeveloped,estimated_from_improvement_value,311394.3380952381,424628.64285714284,185,185,185,0
22001035,"649 S Florida St, Arlington VA 22204",Forest Glen,R-6,True,9049.0,49.6,False,1961,511-Single Family Detached,954.0,,638800.0,176500.0,2520.0,6300.0,35,5346.0,15.142857142857144,underdeveloped,estimated_from_improvement_value,298137.0857142857,406550.57142857136,185,185,185,0
22001039,"5209 6Th Pl S, Arlington VA 22204",Forest Glen,R-6,True,7260.0,59.5,False,1961,511-Single Family Detached,1249.0,,606600.0,231100.0,2178.0,5445.0,35,4196.0,22.938475665748392,underdeveloped,estimated_from_improvement_value,257100.36363636368,350591.4049586777,185,185,185,0
22001064,"645 S Harrison St, Arlington VA 22204",Forest Glen,R-6,False,6000.0,66.3,True,1958,511-Single Family Detached,994.0,,584000.0,183800.0,1800.0,4500.0,35,3506.0,22.08888888888889,underdeveloped,estimated_from_improvement_value,250250.4888888889,341250.6666666666,185,185,185,0
22001051,"648 S Greenbrier St, Arlington VA 22204",Forest Glen,R-6,False,6000.0,67.4,True,1960,511-Single Family Detached,1234.0,,584000.0,228200.0,1800.0,4500.0,35,3266.0,27.42222222222222,underdeveloped,estimated_from_improvement_value,233119.82222222222,317890.6666666666,185,185,185,0
22001063,"649 S Harrison St, Arlington VA 22204",Forest Glen,R-6,False,6000.0,66.2,True,1958,511-Single Family Detached,992.0,,584000.0,183600.0,1800.0,4500.0,35,3508.0,22.044444444444444,underdeveloped,estimated_from_improvement_value,250393.24444444446,341445.3333333333,185,185,185,0
