parcel_id,quality_tier,anomaly_flags,anomaly_count
07006344,flag-for-review,unknown_property_type:218-Health care Facilities|statistical_outlier:available_gfa_sf_z=-3.5_low_value=-19443,2
07006149,clean,,0
07006148,clean,,0
07006145,clean,,0
07006157,clean,,0
07006144,clean,,0
07006158,clean,,0
07006159,clean,,0
07006141,clean,,0
07006154,clean,,0
07006155,clean,,0
07006160,clean,,0
07006161,clean,,0
07006164,clean,,0
07006345,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan|lot_area_remnant:995sf<1000sf_threshold|lot_width_remnant:11.7ft<15ft_threshold|statistical_outlier:est_value_high_z=-3.0_low_value=37875,4
