parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
07006344,"2000 N Glebe Rd, Arlington VA 22207",Glebewood,R-6,True,42515.0,168.0,True,1988.0,218-Health care Facilities,25743.0,3.0,2156800.0,2798900.0,2520.0,6300.0,35,-19443.0,408.61904761904765,overdeveloped,property_api,,,185,185,185,0
07006149,"4729 20Th St N, Arlington VA 22207",Glebewood,R-6,True,7345.0,49.5,False,1938.0,511-Single Family Detached,933.0,,722600.0,172600.0,2203.5,5508.75,35,4575.75,16.936691626957113,underdeveloped,estimated_from_improvement_value,330118.5064669844,450161.59972770594,185,185,185,0
07006148,"4733 20Th St N, Arlington VA 22207",Glebewood,R-6,False,8012.0,54.4,False,1938.0,511-Single Family Detached,517.0,,730600.0,95700.0,2403.6,6009.0,35,5492.0,8.603761025128973,underdeveloped,estimated_from_improvement_value,367257.5070727242,500805.6914628057,185,185,185,0
07006145,"4801 20Th St N, Arlington VA 22207",Glebewood,R-6,True,6385.0,44.5,False,1938.0,511-Single Family Detached,557.0,,711000.0,103000.0,1915.5,4788.75,35,4231.75,11.631427825632993,underdeveloped,estimated_from_improvement_value,345565.30148786225,471225.4111198121,185,185,185,0
07006157,"4726 20Th St N, Arlington VA 22207",Glebewood,R-6,True,6775.0,49.9,False,1936.0,511-Single Family Detached,1517.0,,715700.0,280600.0,2032.5,5081.25,35,3564.25,29.854858548585483,underdeveloped,estimated_from_improvement_value,276115.8275522755,376521.5830258302,185,185,185,0
07006144,"4805 20Th St N, Arlington VA 22207",Glebewood,R-6,True,6336.0,44.6,False,1938.0,511-Single Family Detached,2277.0,,710500.0,421300.0,1900.8,4752.0,35,2475.0,47.91666666666667,underdeveloped,estimated_from_improvement_value,203528.64583333337,277539.0625,185,185,185,0
07006158,"4730 20Th St N, Arlington VA 22207",Glebewood,R-6,True,6835.0,49.8,False,1936.0,511-Single Family Detached,465.0,,716400.0,86000.0,2050.5,5126.25,35,4661.25,9.070958302852963,underdeveloped,estimated_from_improvement_value,358278.61009509873,488561.741038771,185,185,185,0
07006159,"4734 20Th St N, Arlington VA 22207",Glebewood,R-6,True,8274.0,59.4,False,1936.0,511-Single Family Detached,2231.0,,733700.0,412700.0,2482.2,6205.5,35,3974.5,35.95197808395778,underdeveloped,estimated_from_improvement_value,258456.185238901,352440.25259850133,185,185,185,0
07006141,"4817 20Th St N, Arlington VA 22207",Glebewood,R-6,True,6790.0,49.5,False,1938.0,511-Single Family Detached,806.0,,715900.0,149100.0,2037.0,5092.5,35,4286.5,15.827196858124692,underdeveloped,estimated_from_improvement_value,331426.20373097697,451944.823269514,185,185,185,0
07006154,"4714 20Th St N, Arlington VA 22207",Glebewood,R-6,True,5660.0,55.0,False,1936.0,511-Single Family Detached,910.0,,702300.0,168400.0,1698.0,4245.0,35,3335.0,21.43698468786808,underdeveloped,estimated_from_improvement_value,303461.4310954064,413811.04240282695,185,185,185,0
07006155,"4716 20Th St N, Arlington VA 22207",Glebewood,R-6,True,5880.0,46.2,False,1935.0,511-Single Family Detached,382.0,,705000.0,70700.0,1764.0,4410.0,35,4028.0,8.662131519274377,underdeveloped,estimated_from_improvement_value,354162.5850340136,482948.9795918367,185,185,185,0
07006160,"4740 20Th St N, Arlington VA 22207",Glebewood,R-6,True,9035.0,64.4,True,1938.0,511-Single Family Detached,375.0,,742800.0,69400.0,2520.0,6300.0,35,5925.0,5.952380952380952,underdeveloped,estimated_from_improvement_value,384222.14285714284,523939.2857142857,185,185,185,0
07006161,"4800 20Th St N, Arlington VA 22207",Glebewood,R-6,True,7191.0,50.9,False,1938.0,511-Single Family Detached,1111.0,,720700.0,205600.0,2157.2999999999997,5393.249999999999,35,4282.249999999999,20.59982385389144,underdeveloped,estimated_from_improvement_value,314730.38821675244,429177.8021137533,185,185,185,0
07006164,"4812 20Th St N, Arlington VA 22207",Glebewood,R-6,True,8208.0,55.6,False,1938.0,511-Single Family Detached,1181.0,,732900.0,218500.0,2462.4,6156.0,35,4975.0,19.184535412605587,underdeveloped,estimated_from_improvement_value,325763.0969785576,444222.4049707603,185,185,185,0
07006345,"20Th St N, Arlington VA 22207",Glebewood,R-6,False,995.0,11.7,False,,200-GenCom VacLand-no siteplan,,,50500.0,0.0,298.5,746.25,35,746.25,0.0,vacant,not_available,27775.000000000004,37875.0,185,185,185,0
