parcel_id,quality_tier,anomaly_flags,anomaly_count
31001003,clean,,0
31001001,clean,,0
31007017,clean,,0
31001009,clean,,0
31001011,clean,,0
31001014,clean,,0
31001015,clean,,0
31001012,clean,,0
31001016,clean,,0
31001017,clean,,0
31002010,clean,,0
31002012,clean,,0
31002017,clean,,0
31002018,clean,,0
31005021,clean,,0
31005001,clean,,0
31005018,clean,,0
31005004,clean,,0
31005010,clean,,0
31009021,clean,,0
31009014,clean,,0
31009003,clean,,0
31009024,clean,,0
31002005,clean,,0
31001018,clean,,0
31001013,clean,,0
31005027,clean,,0
31005036,clean,,0
31005022,clean,,0
31007013,clean,,0
31007011,clean,,0
31007010,clean,,0
31007005,clean,,0
31006002,clean,,0
31008044,clean,,0
31008042,clean,,0
31008040,clean,,0
31002016,clean,,0
31007015,clean,,0
31007012,clean,,0
31007008,clean,,0
31008043,clean,,0
31008039,clean,,0
31004006,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan|lot_area_remnant:553sf<1000sf_threshold,2
31005037,clean,,0
31009029,clean,,0
31002020,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=-352,1
31008060,clean,,0
31008051,clean,,0
31004009,clean,,0
31008682,clean,,0
31008674,clean,,0
31008007,clean,,0
31008013,clean,,0
31008016,clean,,0
31008037,clean,,0
31008036,clean,,0
31008034,clean,,0
31008030,clean,,0
31008031,clean,,0
31008032,clean,,0
31008021,clean,,0
