parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
31001003,"1727 S Fillmore St, Arlington VA 22204",Green Valley,R-6,False,7412.0,51.0,False,1974.0,511-Single Family Detached,1004.0,,605000.0,185700.0,2223.6,5559.0,35,4555.0,18.060802302572405,underdeveloped,estimated_from_improvement_value,272652.68033819034,371799.1095520777,185,185,185,1
31001001,"1730 S Edgewood St, Arlington VA 22204",Green Valley,R-6,False,5200.0,50.1,False,1930.0,511-Single Family Detached,570.0,,578500.0,105500.0,1560.0,3900.0,35,3330.0,14.615384615384617,underdeveloped,estimated_from_improvement_value,271672.50000000006,370462.50000000006,185,185,185,1
31007017,"2530 18Th St S, Arlington VA 22204",Green Valley,R-6,False,6850.0,48.8,False,1977.0,511-Single Family Detached,350.0,,598300.0,64800.0,2055.0,5137.5,35,4787.5,6.81265206812652,underdeveloped,estimated_from_improvement_value,306646.9464720195,418154.92700729927,185,185,185,1
31001009,"1721 S Garfield St, Arlington VA 22204",Green Valley,R-6,False,6864.0,49.3,False,1955.0,511-Single Family Detached,551.0,,598400.0,102000.0,2059.2,5148.0,35,4597.0,10.703185703185703,underdeveloped,estimated_from_improvement_value,293893.67521367525,400764.10256410256,185,185,185,1
31001011,"1716 S Garfield St, Arlington VA 22204",Green Valley,R-6,True,7819.0,57.7,False,1961.0,511-Single Family Detached,3066.0,,609900.0,567300.0,2345.7,5864.25,35,2798.25,52.28290062667861,underdeveloped,estimated_from_improvement_value,160064.62399283797,218269.9418084154,185,185,185,1
31001014,"3011 17Th Rd S, Arlington VA 22204",Green Valley,R-6,True,8100.0,49.5,False,1954.0,511-Single Family Detached,522.0,,613300.0,96600.0,2430.0,6075.0,35,5553.0,8.592592592592592,underdeveloped,estimated_from_improvement_value,308330.8962962963,420451.22222222225,185,185,185,1
31001015,"3015 17Th Rd S, Arlington VA 22204",Green Valley,R-6,True,8132.0,49.3,False,1965.0,511-Single Family Detached,1404.0,,613700.0,259800.0,2439.6,6099.0,35,4695.0,23.020167240531233,underdeveloped,estimated_from_improvement_value,259833.87850467296,354318.9252336449,185,185,185,1
31001012,"1720 S Garfield St, Arlington VA 22204",Green Valley,R-6,False,7124.0,52.4,False,1952.0,511-Single Family Detached,497.0,,601600.0,91900.0,2137.2,5343.0,35,4846.0,9.301890323788134,underdeveloped,estimated_from_improvement_value,300101.9052966498,409229.8708590679,185,185,185,1
31001016,"3101 17Th Rd S, Arlington VA 22204",Green Valley,R-6,True,8164.0,49.3,False,1959.0,511-Single Family Detached,2911.0,,614000.0,538600.0,2449.2,6123.0,35,3212.0,47.54205454842398,underdeveloped,estimated_from_improvement_value,177150.48178997225,241568.83880450757,185,185,185,1
31001017,"3105 17Th Rd S, Arlington VA 22204",Green Valley,R-6,True,8196.0,49.2,False,1961.0,511-Single Family Detached,1617.0,,614400.0,299200.0,2458.7999999999997,6146.999999999999,35,4529.999999999999,26.30551488530991,underdeveloped,estimated_from_improvement_value,249028.40409956078,339584.18740849197,185,185,185,1
