parcel_id,quality_tier,anomaly_flags,anomaly_count
03036082,clean,,0
03036086,clean,,0
03036087,clean,,0
03036107,clean,,0
03036088,clean,,0
03036090,clean,,0
03036106,clean,,0
03047066,clean,,0
03047065,clean,,0
03036110,clean,,0
03047068,clean,,0
03036092,clean,,0
03036104,clean,,0
03036111,clean,,0
03047069,clean,,0
03047063,clean,,0
03036093,clean,,0
03047062,clean,,0
03047070,clean,,0
03036103,clean,,0
03036112,clean,,0
03036094,clean,,0
03047071,clean,,0
03036102,clean,,0
03047060,clean,,0
03036113,clean,,0
03048005,clean,,0
03047072,clean,,0
03048003,clean,,0
03047059,clean,,0
03047058,clean,,0
03036114,clean,,0
03048007,clean,,0
03036098,clean,,0
03047042,clean,,0
03036084,clean,,0
03036089,clean,,0
03036085,clean,,0
03036108,clean,,0
03036080,clean,,0
03036109,clean,,0
03036078,clean,,0
03036091,clean,,0
03047067,clean,,0
03036105,clean,,0
03047064,clean,,0
03047061,clean,,0
03048004,clean,,0
03036095,clean,,0
03048006,clean,,0
03036101,clean,,0
03036096,clean,,0
03048002,clean,,0
03036097,clean,,0
03048020,clean,,0
03047057,clean,,0
03048008,clean,,0
03048019,clean,,0
03048001,clean,,0
03036099,clean,,0
03048009,clean,,0
03047056,clean,,0
03048021,clean,,0
03048010,clean,,0
03047043,clean,,0
03048018,clean,,0
03036118,clean,,0
03048011,clean,,0
03036117,clean,,0
03036116,clean,,0
03036062,clean,,0
03036081,clean,,0
03036063,clean,,0
03036064,clean,,0
03036065,clean,,0
03036077,clean,,0
03036066,clean,,0
03036076,clean,,0
03036068,clean,,0
03036073,clean,,0
03036070,clean,,0
03047075,clean,,0
03036060,clean,,0
03036061,clean,,0
03036067,clean,,0
03036075,clean,,0
03036074,clean,,0
03036069,clean,,0
03036071,clean,,0
03036072,clean,,0
03047076,clean,,0
03036122,clean,,0
03048012,clean,,0
03047044,clean,,0
03048013,clean,,0
03047040,clean,,0
03048014,clean,,0
03047045,clean,,0
03047031,clean,,0
03049005,clean,,0
03047039,clean,,0
03047046,clean,,0
03049007,clean,,0
03049004,clean,,0
03049003,clean,,0
03047032,clean,,0
03047028,clean,,0
03049002,clean,,0
03047047,clean,,0
03049009,clean,,0
03049010,clean,,0
03047037,clean,,0
03047027,clean,,0
03049011,clean,,0
03049012,clean,,0
03047034,clean,,0
03047026,clean,,0
03047036,clean,,0
03047025,clean,,0
03047050,clean,,0
03047021,clean,,0
03047023,clean,,0
03047051,clean,,0
03047018,clean,,0
03047017,clean,,0
03047016,clean,,0
03047041,clean,,0
03048017,clean,,0
03048016,clean,,0
03036119,clean,,0
03047030,clean,,0
03036120,clean,,0
03036121,clean,,0
03049006,clean,,0
03047029,clean,,0
03048015,clean,,0
03049008,clean,,0
03047038,clean,,0
03049001,clean,,0
03047033,clean,,0
03047048,clean,,0
03049013,clean,,0
03047049,clean,,0
03047035,clean,,0
03047022,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.9_low_value=-3813,1
03047024,clean,,0
03047020,clean,,0
03047172,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
03047019,clean,,0
03047014,clean,,0
03047013,clean,,0
03047012,clean,,0
03047015,clean,,0
03047011,clean,,0
03047010,clean,,0
03047077,clean,,0
03047053,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.6_low_value=-3050,1
03047052,clean,,0
03047080,clean,,0
03047055,clean,,0
03047054,clean,,0
03047078,clean,,0
03047079,clean,,0
03047174,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
03036123,clean,,0
03047348,clean,,0
03047349,clean,,0
03074038,clean,,0
03074064,clean,,0
03074051,clean,,0
03074052,clean,,0
03074026,clean,,0
03074025,clean,,0
03074024,clean,,0
03074023,clean,,0
03036083,clean,,0
