parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
03036082,"3514 N Quebec St, Arlington VA 22207",Gulf Branch,R-10,False,11100.0,64.6,False,2023.0,511-Single Family Detached,7075.0,,936200.0,2065900.0,2775.0,6937.5,35,-137.5,101.98198198198199,overdeveloped,estimated_from_improvement_value,,,291.99,228.95,355.02,32
03036086,"4071 35Th St N, Arlington VA 22207",Gulf Branch,R-10,True,12140.0,49.2,False,2015.0,511-Single Family Detached,4742.0,,948700.0,1384500.0,3035.0,7587.5,35,2845.5,62.49752883031301,underdeveloped,estimated_from_improvement_value,195682.26919275126,266839.45799011533,291.99,228.95,355.02,32
03036087,"4075 35Th St N, Arlington VA 22207",Gulf Branch,R-10,True,10676.0,71.2,False,1952.0,511-Single Family Detached,1646.0,,931100.0,480600.0,2669.0,6672.5,35,5026.5,24.66841513675534,underdeveloped,estimated_from_improvement_value,385776.81266391906,526059.2899962532,291.99,228.95,355.02,32
03036107,"3549 N Utah St, Arlington VA 22207",Gulf Branch,R-10,True,17169.0,82.0,True,1953.0,511-Single Family Detached,2839.0,,1009000.0,829000.0,3500.0,8750.0,35,5911.0,32.44571428571428,underdeveloped,estimated_from_improvement_value,374892.5085714286,511217.0571428571,291.99,228.95,355.02,32
03036088,"4079 35Th St N, Arlington VA 22207",Gulf Branch,R-10,True,10498.0,79.0,False,2002.0,511-Single Family Detached,3055.0,,929000.0,892100.0,2624.5,6561.25,35,3506.25,46.5612497618594,underdeveloped,estimated_from_improvement_value,273045.29434177943,372334.4922842446,291.99,228.95,355.02,32
03036090,"4087 35Th St N, Arlington VA 22207",Gulf Branch,R-10,True,12056.0,68.6,False,2010.0,511-Single Family Detached,3501.0,,947600.0,1022200.0,3014.0,7535.0,35,4034.0,46.46317186463172,underdeveloped,estimated_from_improvement_value,279023.2408759125,380486.2375580624,291.99,228.95,355.02,32
03036106,"3545 N Utah St, Arlington VA 22207",Gulf Branch,R-10,True,11469.0,65.2,False,1953.0,511-Single Family Detached,2025.0,,940600.0,591200.0,2867.25,7168.125,35,5143.125,28.250065393669892,underdeveloped,estimated_from_improvement_value,371183.93669892754,506159.91368035576,291.99,228.95,355.02,32
03047066,"4074 35Th St N, Arlington VA 22207",Gulf Branch,R-10,False,10544.0,68.5,False,2018.0,511-Single Family Detached,5386.0,,929500.0,1572600.0,2636.0,6590.0,35,1204.0,81.7298937784522,near-capacity,estimated_from_improvement_value,93401.35053110773,127365.47799696508,291.99,228.95,355.02,32
03047065,"4082 35Th St N, Arlington VA 22207",Gulf Branch,R-10,False,10331.0,68.9,False,1952.0,511-Single Family Detached,2054.0,,926900.0,599700.0,2582.75,6456.875,35,4402.875,31.811054108992355,underdeveloped,estimated_from_improvement_value,347623.8367050625,474032.5045978124,291.99,228.95,355.02,32
03036110,"3536 N Utah St, Arlington VA 22207",Gulf Branch,R-10,False,10046.0,80.0,True,2013.0,511-Single Family Detached,4953.0,,923500.0,1446300.0,2511.5,6278.75,35,1325.75,78.88512840931713,underdeveloped,estimated_from_improvement_value,107247.71152697591,146246.87935496715,291.99,228.95,355.02,32
03047068,"4060 35Th St N, Arlington VA 22207",Gulf Branch,R-10,False,10000.0,80.3,True,2011.0,511-Single Family Detached,3884.0,,923000.0,1134000.0,2500.0,6250.0,35,2366.0,62.144,underdeveloped,estimated_from_improvement_value,192175.98400000003,262058.16,291.99,228.95,355.02,32
