parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
11033019,"6052 22Nd St N, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,6095.0,50.0,False,1939.0,511-Single Family Detached,1295.0,,817600.0,297200.0,1828.5,4571.25,35,3276.25,28.32923161060979,underdeveloped,estimated_from_improvement_value,322289.1112934099,439485.1517637407,229.54,159.84,299.24,31
11033005,"6106 22Nd St N, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,8625.0,57.3,False,1943.0,511-Single Family Detached,2448.0,,847900.0,561900.0,2520.0,6300.0,35,3852.0,38.857142857142854,underdeveloped,estimated_from_improvement_value,285136.6571428572,388822.7142857143,229.54,159.84,299.24,31
11033004,"6112 22Nd St N, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,8625.0,57.4,False,1943.0,511-Single Family Detached,636.0,,847900.0,146100.0,2520.0,6300.0,35,5664.0,10.095238095238095,underdeveloped,estimated_from_improvement_value,419266.3619047619,571726.8571428572,229.54,159.84,299.24,31
11033003,"6118 22Nd St N, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,12612.0,84.1,True,1950.0,511-Single Family Detached,2239.0,,895800.0,513900.0,2520.0,6300.0,35,4061.0,35.53968253968254,underdeveloped,estimated_from_improvement_value,317589.53809523815,433076.64285714296,229.54,159.84,299.24,31
11033002,"6126 22Nd St N, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,7614.0,59.1,False,2014.0,511-Single Family Detached,5894.0,,835800.0,1352800.0,2284.2,5710.5,35,-183.5,103.21337886349707,overdeveloped,estimated_from_improvement_value,,,229.54,159.84,299.24,31
11033007,"2106 N Ohio St, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,14655.0,76.5,True,1956.0,511-Single Family Detached,1923.0,,920300.0,441300.0,2520.0,6300.0,35,4377.0,30.523809523809526,underdeveloped,estimated_from_improvement_value,351664.15952380956,479542.0357142857,229.54,159.84,299.24,31
11033017,"2109 N Powhatan St, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,6021.0,57.6,False,1948.0,511-Single Family Detached,975.0,,816700.0,223900.0,1806.3,4515.75,35,3540.75,21.59109782428168,underdeveloped,estimated_from_improvement_value,352201.02723800036,480274.12805181864,229.54,159.84,299.24,31
11030009,"6212 22Nd St N, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,6475.0,44.4,False,1954.0,511-Single Family Detached,640.0,,822100.0,146800.0,1942.5,4856.25,35,4216.25,13.178893178893178,underdeveloped,estimated_from_improvement_value,392565.97554697556,535317.2393822394,229.54,159.84,299.24,31
11030008,"6216 22Nd St N, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,6184.0,42.7,False,1949.0,511-Single Family Detached,843.0,,818700.0,193600.0,1855.1999999999998,4638.0,35,3795.0,18.175937904269084,underdeveloped,estimated_from_improvement_value,368441.478007762,502420.19728331175,229.54,159.84,299.24,31
11033018,"6056 22Nd St N, Arlington VA 22205",Highland Park - Overlee Knolls,R-6,False,9518.0,76.9,True,1937.0,511-Single Family Detached,522.0,,858700.0,119900.0,2520.0,6300.0,35,5778.0,8.285714285714285,underdeveloped,estimated_from_improvement_value,433152.8142857143,590662.9285714285,229.54,159.84,299.24,31
