parcel_id,quality_tier,anomaly_flags,anomaly_count
08001101,clean,,0
08001100,clean,,0
08001099,clean,,0
08001098,clean,,0
08001097,clean,,0
08001096,clean,,0
08001134,clean,,0
08001094,clean,,0
08001093,clean,,0
08003017,clean,,0
08003018,clean,,0
08003019,clean,,0
08004004,clean,,0
08004003,clean,,0
08004002,clean,,0
08005011,clean,,0
08005010,clean,,0
08005021,clean,,0
08005007,clean,,0
08005006,clean,,0
08004001,clean,,0
08005008,clean,,0
08003004,clean,,0
08003001,clean,,0
08004013,clean,,0
08004014,clean,,0
08004016,clean,,0
08004015,clean,,0
08001092,clean,,0
08003010,clean,,0
08009016,clean,,0
08009015,clean,,0
08009014,clean,,0
08009020,clean,,0
08009021,clean,,0
08008007,clean,,0
08009012,clean,,0
08009011,clean,,0
08008011,clean,,0
08009023,clean,,0
08008005,clean,,0
08008012,clean,,0
08005014,clean,,0
08009009,clean,,0
08009024,clean,,0
08005015,clean,,0
08008016,clean,,0
08009008,clean,,0
08009025,clean,,0
08005016,clean,,0
08009007,clean,,0
08005017,clean,,0
08009026,clean,,0
08008002,clean,,0
08005005,clean,,0
08002013,clean,,0
08003015,clean,,0
08009013,clean,,0
07006126,flag-for-review,low_improvement_value:$23000<$30000_makes_gfa_estimate_unreliable,1
08008006,clean,,0
08009022,clean,,0
07006127,clean,,0
08005022,clean,,0
08009010,clean,,0
08008014,clean,,0
08008003,clean,,0
08008015,clean,,0
08008009,clean,,0
08008010,clean,,0
08008013,clean,,0
07006949,clean,,0
07006128,clean,,0
07006950,clean,,0
07006951,clean,,0
07006130,clean,,0
08011022,clean,,0
08009006,clean,,0
08005018,clean,,0
08009027,clean,,0
08011021,clean,,0
08005004,clean,,0
08005019,clean,,0
08009005,clean,,0
08009028,clean,,0
08005003,clean,,0
08009004,clean,,0
08005002,clean,,0
08009031,clean,,0
08009003,clean,,0
08009033,clean,,0
08009034,clean,,0
08009002,clean,,0
08010005,clean,,0
08010004,clean,,0
08010003,clean,,0
08010002,clean,,0
08010053,clean,,0
09077011,clean,,0
09077009,clean,,0
09077008,clean,,0
09077007,clean,,0
09077025,clean,,0
09077006,clean,,0
09077005,clean,,0
09077015,clean,,0
09077004,clean,,0
09077016,clean,,0
09077003,clean,,0
09077019,clean,,0
09077021,clean,,0
09077022,clean,,0
08008001,clean,,0
08005020,clean,,0
08005001,clean,,0
08009032,clean,,0
08009001,clean,,0
08012013,clean,,0
08012012,clean,,0
08013021,clean,,0
08012011,clean,,0
08013020,clean,,0
08012010,clean,,0
08010006,clean,,0
08013016,clean,,0
08012009,clean,,0
08013014,clean,,0
08013011,clean,,0
08012004,clean,,0
08013007,clean,,0
08012003,clean,,0
08010052,clean,,0
09077010,clean,,0
08013005,clean,,0
08012002,clean,,0
08013003,clean,,0
08012001,clean,,0
08013002,clean,,0
08012014,clean,,0
09077013,clean,,0
08013001,clean,,0
09077001,clean,,0
09077023,clean,,0
09077018,clean,,0
09077017,clean,,0
08012015,clean,,0
08013010,clean,,0
08013025,clean,,0
07006133,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
07006135,clean,,0
08010037,clean,,0
08010038,clean,,0
07006137,clean,,0
08010039,clean,,0
07006138,clean,,0
08010040,clean,,0
08018042,clean,,0
07006139,clean,,0
08018056,clean,,0
08018041,clean,,0
08018016,clean,,0
07006341,clean,,0
08018055,clean,,0
08018015,clean,,0
08018043,clean,,0
07006166,clean,,0
08018014,clean,,0
08018023,clean,,0
07006167,clean,,0
08018013,clean,,0
08018024,clean,,0
08018012,clean,,0
07006169,flag-for-review,low_improvement_value:$24200<$30000_makes_gfa_estimate_unreliable,1
08018011,clean,,0
08018025,clean,,0
07006170,clean,,0
08018026,clean,,0
08018010,clean,,0
08018009,clean,,0
08018027,clean,,0
08018028,clean,,0
08018008,clean,,0
07006175,clean,,0
08018007,clean,,0
08018029,clean,,0
08018030,clean,,0
07006176,clean,,0
08018006,clean,,0
08018031,clean,,0
08018004,clean,,0
08018005,clean,,0
08018032,clean,,0
08018020,clean,,0
08010042,clean,,0
08018018,clean,,0
07006177,clean,,0
08018053,clean,,0
08018033,clean,,0
08018002,clean,,0
07006178,clean,,0
08018048,clean,,0
08018047,clean,,0
08018034,clean,,0
08018046,clean,,0
08018054,clean,,0
07006179,clean,,0
08018045,clean,,0
08003014,clean,,0
08003024,clean,,0
08011023,clean,,0
08011025,clean,,0
08011024,clean,,0
08011027,clean,,0
08011051,clean,,0
08011029,clean,,0
08011072,clean,,0
08011031,clean,,0
08011052,clean,,0
08011033,clean,,0
08011032,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.8_low_value=95|statistical_outlier:est_value_high_z=-3.0_low_value=11056,2
08011036,clean,,0
08011034,clean,,0
08011037,clean,,0
08011035,clean,,0
08011038,clean,,0
08018035,clean,,0
08012017,clean,,0
08001065,clean,,0
08001086,clean,,0
08001087,clean,,0
08001072,clean,,0
08001122,clean,,0
08001121,clean,,0
08001075,clean,,0
08001071,clean,,0
08001120,clean,,0
08001070,clean,,0
08001073,clean,,0
08001069,clean,,0
08001062,clean,,0
08001063,clean,,0
08001324,clean,,0
08001325,clean,,0
08001067,clean,,0
08001064,flag-for-review,unknown_property_type:Public Service/Stormwater,1
08001058,clean,,0
08001059,clean,,0
08001124,clean,,0
08001125,clean,,0
08001061,clean,,0
09015024,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
09015023,clean,,0
09015022,clean,,0
09015019,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.6_low_value=-1929,1
09016204,clean,,0
09016206,clean,,0
09016092,clean,,0
