parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
08001101,"2336 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,3691.0,45.3,False,1983.0,511-Single Family Detached,1091.0,,677400.0,189500.0,1107.3,2768.25,35,1677.25,39.41118034859568,underdeveloped,estimated_from_improvement_value,225735.76537523707,307821.49823895964,173.75,128.53,218.97,34
08001100,"2330 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,3943.0,49.7,False,1981.0,511-Single Family Detached,689.0,,680400.0,119800.0,1182.8999999999999,2957.2499999999995,35,2268.2499999999995,23.29867275340266,underdeveloped,estimated_from_improvement_value,287031.70682221657,391406.87293938623,173.75,128.53,218.97,34
08001099,"2324 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,7790.0,77.3,True,1964.0,511-Single Family Detached,1396.0,,726600.0,242600.0,2337.0,5842.5,35,4446.5,23.8938810440736,underdeveloped,estimated_from_improvement_value,304142.88318356866,414740.29525032087,173.75,128.53,218.97,34
08001098,"2318 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,3840.0,50.1,False,1925.0,511-Single Family Detached,2039.0,,679200.0,354300.0,1152.0,2880.0,35,841.0,70.79861111111111,underdeveloped,estimated_from_improvement_value,109084.70833333334,148751.875,173.75,128.53,218.97,34
08001097,"2316 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,3815.0,49.9,False,1964.0,511-Single Family Detached,645.0,,678900.0,112000.0,1144.5,2861.25,35,2216.25,22.542595019659238,underdeveloped,estimated_from_improvement_value,289222.0773263434,394393.7418086501,173.75,128.53,218.97,34
08001096,"2314 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,3783.0,50.2,False,1985.0,511-Single Family Detached,1206.0,,678500.0,209600.0,1134.8999999999999,2837.2499999999995,35,1631.2499999999995,42.50594766058684,underdeveloped,estimated_from_improvement_value,214553.42981760504,292572.85884218867,173.75,128.53,218.97,34
08001134,"2302 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,4690.0,63.1,False,1988.0,511-Single Family Detached,1819.0,,689400.0,316000.0,1407.0,3517.5,35,1698.5,51.71286425017768,underdeveloped,estimated_from_improvement_value,183090.3326226013,249668.63539445633,173.75,128.53,218.97,34
08001094,"2300 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,6634.0,74.2,True,1985.0,511-Single Family Detached,2545.0,,712900.0,442200.0,1990.1999999999998,4975.5,35,2430.5,51.15063812682143,underdeveloped,estimated_from_improvement_value,191535.90543663956,261185.32559541755,173.75,128.53,218.97,34
08001093,"2232 N Dinwiddie St, Arlington VA 22207",John M Langston,R-6,False,3500.0,47.1,False,2001.0,511-Single Family Detached,587.0,,675100.0,102000.0,1050.0,2625.0,35,2038.0,22.36190476190476,underdeveloped,estimated_from_improvement_value,288274.12952380953,393101.08571428567,173.75,128.53,218.97,34
08003017,"5123 22Nd St N, Arlington VA 22207",John M Langston,R-6,True,10498.0,53.8,False,1956.0,511-Single Family Detached,393.0,,759100.0,68300.0,2520.0,6300.0,35,5907.0,6.238095238095238,underdeveloped,estimated_from_improvement_value,391460.6404761905,533809.9642857143,173.75,128.53,218.97,34
