parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
01075007,"2627 N Nottingham St, Arlington VA 22207",Leeway Overlee,R-6,False,7000.0,69.3,True,1951.0,511-Single Family Detached,366.0,,863000.0,85500.0,2100.0,5250.0,35,4884.0,6.9714285714285715,underdeveloped,estimated_from_improvement_value,441560.11428571434,602127.4285714286,233.33,189.55,277.1,53
01075009,"5826 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,9974.0,48.5,False,1950.0,511-Single Family Detached,868.0,,898700.0,202600.0,2520.0,6300.0,35,5432.0,13.777777777777779,underdeveloped,estimated_from_improvement_value,426183.51111111115,581159.3333333334,233.33,189.55,277.1,53
01075008,"2633 N Nottingham St, Arlington VA 22207",Leeway Overlee,R-6,False,7535.0,75.1,True,1950.0,511-Single Family Detached,270.0,,869500.0,63100.0,2260.5,5651.25,35,5381.25,4.777704047777041,underdeveloped,estimated_from_improvement_value,455376.82481751824,620968.3974784339,233.33,189.55,277.1,53
01054003,"6000 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,8180.0,64.1,True,2015.0,511-Single Family Detached,4740.0,,877200.0,1106100.0,2454.0,6135.0,35,1395.0,77.26161369193154,underdeveloped,estimated_from_improvement_value,109703.6185819071,149595.8435207824,233.33,189.55,277.1,53
01054001,"6012 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,7287.0,48.1,False,1951.0,511-Single Family Detached,328.0,,866500.0,76500.0,2186.1,5465.25,35,5137.25,6.001555281094186,underdeveloped,estimated_from_improvement_value,447973.0879191254,610872.3926169891,233.33,189.55,277.1,53
01054016,"2625 John Marshall Dr, Arlington VA 22207",Leeway Overlee,R-6,False,11286.0,55.2,False,1954.0,511-Single Family Detached,685.0,,868800.0,159900.0,2520.0,6300.0,35,5615.0,10.873015873015873,underdeveloped,estimated_from_improvement_value,425884.380952381,580751.4285714286,233.33,189.55,277.1,53
01054002,"6008 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,6719.0,47.8,False,2022.0,511-Single Family Detached,4545.0,,859700.0,1060600.0,2015.6999999999998,5039.25,35,494.25,90.19199285607978,near-capacity,estimated_from_improvement_value,46375.69057895521,63239.57806221164,233.33,189.55,277.1,53
01054004,"2632 N Nottingham St, Arlington VA 22207",Leeway Overlee,R-6,False,6846.0,53.6,False,1951.0,511-Single Family Detached,304.0,,861200.0,71000.0,2053.7999999999997,5134.499999999999,35,4830.499999999999,5.9207323011004,underdeveloped,estimated_from_improvement_value,445615.8593826079,607657.9900671926,233.33,189.55,277.1,53
02052013,"5612 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,8104.0,59.6,False,1952.0,511-Single Family Detached,513.0,,851300.0,119700.0,2431.2,6078.0,35,5565.0,8.440276406712735,underdeveloped,estimated_from_improvement_value,428696.35982231004,584585.9452122409,233.33,189.55,277.1,53
02052012,"5616 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,8104.0,59.9,False,1951.0,511-Single Family Detached,564.0,,851300.0,131600.0,2431.2,6078.0,35,5514.0,9.279368213228036,underdeveloped,estimated_from_improvement_value,424767.6061204344,579228.5538005923,233.33,189.55,277.1,53
02052011,"5620 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,8104.0,60.1,True,2014.0,511-Single Family Detached,5768.0,,851300.0,1345900.0,2431.2,6078.0,35,310.0,94.89963803882856,near-capacity,estimated_from_improvement_value,23880.65975649885,32564.53603158934,233.33,189.55,277.1,53
02052010,"5624 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,8104.0,60.1,True,2009.0,511-Single Family Detached,5913.0,,851300.0,1379700.0,2431.2,6078.0,35,165.0,97.28529121421519,near-capacity,estimated_from_improvement_value,12710.673741362292,17332.73692003949,233.33,189.55,277.1,53
02052009,"5628 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,8104.0,60.1,True,1951.0,511-Single Family Detached,598.0,,851300.0,139500.0,2431.2,6078.0,35,5480.0,9.838762750904904,underdeveloped,estimated_from_improvement_value,422148.4369858507,575656.95952616,233.33,189.55,277.1,53
02052008,"5632 27Th St N, Arlington VA 22207",Leeway Overlee,R-6,False,7963.0,59.1,False,1951.0,511-Single Family Detached,542.0,,849600.0,126400.0,2388.9,5972.25,35,5430.25,9.075306626480808,underdeveloped,estimated_from_improvement_value,424872.90719578054,579372.1461760644,233.33,189.55,277.1,53
