parcel_id,quality_tier,anomaly_flags,anomaly_count
38002010,clean,,0
38002004,flag-for-review,unknown_property_type:311-Apartment - Garden,1
38001014,flag-for-review,unknown_property_type:311-Apartment - Garden,1
38001001,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
38006013,clean,,0
38006011,clean,,0
38006010,clean,,0
38008025,clean,,0
38008026,clean,,0
38008042,clean,,0
38008027,clean,,0
38008043,clean,,0
38008028,clean,,0
38008023,clean,,0
38008029,clean,,0
38008022,clean,,0
38008021,clean,,0
38008018,clean,,0
38008031,clean,,0
38008017,clean,,0
38008032,clean,,0
38006074,clean,,0
38006014,clean,,0
38006012,clean,,0
38006009,clean,,0
38008024,clean,,0
38008019,clean,,0
38008030,clean,,0
38007009,clean,,0
38008020,clean,,0
38008044,clean,,0
38006007,clean,,0
38006006,clean,,0
38007011,clean,,0
38007012,clean,,0
38001050,flag-for-review,unknown_property_type:311-Apartment - Garden,1
38001038,clean,,0
38001002,clean,,0
38006008,clean,,0
38006020,clean,,0
38007010,clean,,0
38008033,clean,,0
38008034,clean,,0
38008035,clean,,0
38008036,clean,,0
38008014,clean,,0
38008037,clean,,0
38008013,clean,,0
38008038,clean,,0
38008012,clean,,0
38008011,clean,,0
38008010,clean,,0
38008009,clean,,0
38008008,clean,,0
38008007,clean,,0
38008003,clean,,0
38008004,clean,,0
38008005,clean,,0
38008016,clean,,0
38008015,clean,,0
38008006,clean,,0
38016021,clean,,0
38007015,clean,,0
38007008,clean,,0
38007016,clean,,0
38007018,clean,,0
38007001,clean,,0
38007006,clean,,0
38007002,clean,,0
38008039,clean,,0
38007003,clean,,0
38007004,clean,,0
38008040,clean,,0
38008041,clean,,0
38008002,clean,,0
38018028,clean,,0
38018027,clean,,0
38018026,clean,,0
38018025,clean,,0
38018030,clean,,0
38018031,clean,,0
38018023,clean,,0
38018032,clean,,0
38016025,clean,,0
38016024,clean,,0
38018033,clean,,0
38018022,clean,,0
38016023,clean,,0
38018048,clean,,0
38016022,clean,,0
38018021,clean,,0
38016027,clean,,0
38018034,clean,,0
38018020,clean,,0
38018035,clean,,0
38016028,clean,,0
38018019,clean,,0
38016020,clean,,0
38018049,clean,,0
38016029,clean,,0
38018018,clean,,0
38018036,clean,,0
38016019,clean,,0
38016030,clean,,0
38018017,clean,,0
38018037,clean,,0
38016018,clean,,0
38018016,clean,,0
38016031,clean,,0
38018038,clean,,0
38018015,clean,,0
38016017,clean,,0
38016032,clean,,0
38018039,clean,,0
38018014,clean,,0
38016016,clean,,0
38016033,clean,,0
38018040,clean,,0
38018013,clean,,0
38016015,clean,,0
38016034,clean,,0
38018041,clean,,0
38018047,clean,,0
38016014,clean,,0
38016035,clean,,0
38018012,clean,,0
38016013,clean,,0
