parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,property_type,land_value,improvement_value,development_status
38002010,,Long Branch Creek,R-10T,True,,,,unknown
38002004,"1601 26Th St S, Arlington VA 22206",Long Branch Creek,RA14-26,True,311-Apartment - Garden,17552200.0,40642300.0,unknown
38001014,"1543 28Th St S, Arlington VA 22202",Long Branch Creek,RA14-26,True,311-Apartment - Garden,,,unknown
38001001,"2700 S Lang St, Arlington VA 22202",Long Branch Creek,S-3A,True,215-Gen Comm - other,,,unknown
38006013,,Long Branch Creek,R2-7,True,,,,unknown
38006011,"2615 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,494000.0,126800.0,unknown
38006010,"2617 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008025,"2602 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008026,"2604 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008042,"2606 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008027,"2608 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008043,,Long Branch Creek,R2-7,True,,,,unknown
38008028,,Long Branch Creek,R2-7,True,,,,unknown
38008023,"2108 26Th St S, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,,,unknown
38008029,"2614 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008022,"2110 26Th St S, Arlington VA 22206",Long Branch Creek,RA8-18,False,514-Side by side,,,unknown
38008021,"2112 26Th St S, Arlington VA 22206",Long Branch Creek,RA8-18,False,514-Side by side,,,unknown
38008018,"2611 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,477400.0,175400.0,unknown
38008031,"2618 S Uhle St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008017,"2613 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,477100.0,81600.0,unknown
38008032,,Long Branch Creek,R2-7,True,,,,unknown
38006074,,Long Branch Creek,RA14-26,True,,1631400.0,0.0,unknown
38006014,,Long Branch Creek,R2-7,True,,,,unknown
38006012,"2613 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38006009,"2619 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,494000.0,132500.0,unknown
38008024,"2600 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008019,"2609 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,479200.0,110400.0,unknown
38008030,"2616 S Uhle St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38007009,,Long Branch Creek,R2-7,False,,,,unknown
38008020,"2114 26Th St S, Arlington VA 22206",Long Branch Creek,RA8-18,False,514-Side by side,503700.0,84300.0,unknown
38008044,"2615 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,472400.0,64500.0,unknown
38006007,,Long Branch Creek,R2-7,True,,,,unknown
38006006,"2625 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38007011,"2630 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,False,514-Side by side,493200.0,86300.0,unknown
38007012,,Long Branch Creek,R2-7,False,,,,unknown
38001050,"1417 28Th St S, Arlington VA 22206",Long Branch Creek,RA14-26,True,311-Apartment - Garden,16282900.0,41391900.0,unknown
38001038,,Long Branch Creek,RA14-26,False,,,,unknown
38001002,,Long Branch Creek,S-3A,True,,,,unknown
38006008,"2621 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38006020,,Long Branch Creek,RA8-18,True,,,,unknown
38007010,"2626 S Troy St, Arlington VA 22206",Long Branch Creek,R2-7,False,514-Side by side,,,unknown
38008033,"2622 S Uhle St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008034,"2624 S Uhle St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,492000.0,98100.0,unknown
38008035,,Long Branch Creek,R2-7,True,,,,unknown
38008036,"2628 S Uhle St, Arlington VA 22206",Long Branch Creek,R2-7,False,514-Side by side,,,unknown
38008014,,Long Branch Creek,RA8-18,True,,,,unknown
38008037,,Long Branch Creek,R2-7,True,,,,unknown
38008013,,Long Branch Creek,RA8-18,True,,,,unknown
38008038,"2632 S Uhle St, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008012,"2625 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,,,unknown
38008011,,Long Branch Creek,RA8-18,True,,,,unknown
38008010,"2629 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,467500.0,121400.0,unknown
38008009,"2631 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,467500.0,85300.0,unknown
38008008,"2633 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,,,unknown
38008007,"2635 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,,,unknown
38008003,"2105 27Th St S, Arlington VA 22206",Long Branch Creek,R2-7,True,514-Side by side,,,unknown
38008004,"2107 27Th St S, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,,,unknown
38008005,"2109 27Th St S, Arlington VA 22206",Long Branch Creek,RA8-18,False,514-Side by side,,,unknown
38008016,,Long Branch Creek,RA8-18,True,,,,unknown
38008015,"2619 S Veitch St, Arlington VA 22206",Long Branch Creek,RA8-18,True,514-Side by side,469400.0,108400.0,unknown
38008006,,Long Branch Creek,RA8-18,False,,,,unknown
