parcel_id,quality_tier,anomaly_flags,anomaly_count
15012042,clean,,0
15012043,clean,,0
15012044,clean,,0
15012045,clean,,0
15011014,clean,,0
15011015,clean,,0
15011016,clean,,0
15012046,clean,,0
15011013,clean,,0
15012037,clean,,0
15011012,clean,,0
15011003,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.9_low_value=-2705,1
15011011,clean,,0
15011004,clean,,0
15012033,clean,,0
15011005,clean,,0
15012039,clean,,0
15012062,clean,,0
15013010,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
15013009,clean,,0
15012047,clean,,0
15012038,clean,,0
15011001,clean,,0
15012036,clean,,0
15012048,clean,,0
15011002,clean,,0
15012032,clean,,0
15034014,clean,,0
15011010,clean,,0
15012049,clean,,0
15013008,clean,,0
15013007,clean,,0
15021004,clean,,0
15020004,clean,,0
15019006,flag-for-review,unknown_property_type:211-Retail strip,1
15020009,clean,,0
15021003,clean,,0
15020013,clean,,0
15020010,clean,,0
15019005,clean,,0
15016009,clean,,0
15020001,clean,,0
15019004,clean,,0
15015013,clean,,0
15021001,clean,,0
15015014,clean,,0
15016004,clean,,0
15015008,clean,,0
15021002,clean,,0
15020011,clean,,0
15016001,clean,,0
15015015,clean,,0
15022013,clean,,0
15022015,clean,,0
15022029,clean,,0
15022030,clean,,0
15022033,clean,,0
15021010,clean,,0
15021011,clean,,0
15022032,clean,,0
15021012,clean,,0
15024011,clean,,0
15022014,clean,,0
15022002,clean,,0
15022028,clean,,0
15022001,clean,,0
15024010,clean,,0
15024009,clean,,0
15022031,clean,,0
15025008,clean,,0
15021013,clean,,0
15024007,clean,,0
15024012,clean,,0
15025007,clean,,0
15025009,clean,,0
15025010,clean,,0
15026010,clean,,0
15025006,clean,,0
15024006,clean,,0
15012024,clean,,0
15012011,clean,,0
15044011,clean,,0
15012031,clean,,0
15012023,clean,,0
15012019,clean,,0
15012064,clean,,0
15012015,clean,,0
15012014,clean,,0
15012013,clean,,0
15012012,clean,,0
15012057,clean,,0
15012010,clean,,0
15044013,clean,,0
15044012,clean,,0
15012020,clean,,0
15012021,clean,,0
15012022,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
15034013,clean,,0
15011006,clean,,0
15034015,clean,,0
15013006,clean,,0
15012030,clean,,0
15011009,clean,,0
15012029,clean,,0
15011007,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=-2050,1
15012068,clean,,0
15012028,clean,,0
15034016,clean,,0
15034010,clean,,0
15034009,clean,,0
15013004,clean,,0
15012025,clean,,0
15012026,clean,,0
15034008,clean,,0
15013003,clean,,0
15034004,clean,,0
15012017,clean,,0
15032007,clean,,0
15036003,clean,,0
15032005,clean,,0
15035007,clean,,0
15032009,clean,,0
15033006,clean,,0
15032004,clean,,0
15033003,clean,,0
15035006,clean,,0
15035011,clean,,0
15012054,clean,,0
15037005,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=-2016,1
15035003,clean,,0
15045010,clean,,0
15037002,clean,,0
15035015,clean,,0
15045009,clean,,0
15045012,clean,,0
15035016,clean,,0
15047006,clean,,0
15045008,clean,,0
15045013,clean,,0
15045006,clean,,0
15048003,clean,,0
15045005,clean,,0
15047009,clean,,0
15045015,clean,,0
15044016,clean,,0
15044017,clean,,0
15045004,clean,,0
15048001,clean,,0
15045017,clean,,0
15045002,clean,,0
15045018,clean,,0
15044010,clean,,0
15046019,clean,,0
15045019,clean,,0
15034012,clean,,0
15034011,clean,,0
15012050,clean,,0
15013005,clean,,0
15011008,clean,,0
15034002,clean,,0
15034017,clean,,0
15034003,clean,,0
15012095,clean,,0
15034018,clean,,0
15034007,clean,,0
15013002,clean,,0
15034005,clean,,0
15012018,clean,,0
15034001,clean,,0
15034006,clean,,0
15012051,clean,,0
15035008,clean,,0
15012052,clean,,0
15032008,clean,,0
15032006,clean,,0
15033004,clean,,0
15033005,clean,,0
15035009,clean,,0
15012016,clean,,0
15036005,clean,,0
15035010,clean,,0
15036004,clean,,0
15012053,clean,,0
15032002,clean,,0
15032010,clean,,0
15033001,clean,,0
15031007,clean,,0
15032003,clean,,0
15033002,clean,,0
15037006,clean,,0
15032001,clean,,0
15035012,clean,,0
15037001,clean,,0
15035005,clean,,0
15035004,clean,,0
15035013,clean,,0
15035014,clean,,0
15045011,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.2_low_value=-3344,1
15047004,clean,,0
15012055,clean,,0
15047005,clean,,0
15035002,clean,,0
15037004,clean,,0
15047008,clean,,0
15037003,clean,,0
15012056,clean,,0
15048004,clean,,0
15035001,clean,,0
15047003,clean,,0
15045007,clean,,0
15047002,clean,,0
15048005,clean,,0
15045014,clean,,0
15044019,clean,,0
15044015,clean,,0
15044018,clean,,0
15044014,clean,,0
15045003,clean,,0
15045016,clean,,0
15048002,clean,,0
15044020,clean,,0
15046020,clean,,0
15044009,clean,,0
15012097,clean,,0
15031006,clean,,0
15016002,clean,,0
15019002,clean,,0
15015017,clean,,0
15015006,clean,,0
15015018,clean,,0
15027009,clean,,0
15015004,clean,,0
15027010,clean,,0
15028003,clean,,0
