parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
15012042,"3147 21St St N, Arlington VA 22201",Lyon Village,R-6,True,8400.0,70.6,True,1939.0,511-Single Family Detached,1563.0,,1260800.0,483100.0,2520.0,6300.0,35,4737.0,24.80952380952381,underdeveloped,estimated_from_improvement_value,521400.83809523814,711001.1428571428,309.15,207.28,411.02,95
15012043,"3153 21St St N, Arlington VA 22201",Lyon Village,R-6,True,7892.0,66.2,True,1939.0,511-Single Family Detached,2526.0,,1244000.0,780800.0,2367.6,5919.0,35,3393.0,42.67612772427775,underdeveloped,estimated_from_improvement_value,392209.93411049165,534831.7283324886,309.15,207.28,411.02,95
15012044,"3157 21St St N, Arlington VA 22201",Lyon Village,R-6,True,7800.0,65.2,True,1954.0,511-Single Family Detached,2393.0,,1244000.0,739700.0,2340.0,5850.0,35,3457.0,40.90598290598291,underdeveloped,estimated_from_improvement_value,404321.26495726506,551347.1794871795,309.15,207.28,411.02,95
15012045,"3161 21St St N, Arlington VA 22201",Lyon Village,R-6,True,7800.0,65.1,True,1954.0,511-Single Family Detached,3617.0,,1244000.0,1118100.0,2340.0,5850.0,35,2233.0,61.82905982905983,underdeveloped,estimated_from_improvement_value,261165.57264957268,356134.8717948718,309.15,207.28,411.02,95
15011014,"3144 21St St N, Arlington VA 22201",Lyon Village,R-6,False,12900.0,87.4,True,1940.0,511-Single Family Detached,5619.0,,1386800.0,1737000.0,2520.0,6300.0,35,681.0,89.19047619047619,near-capacity,estimated_from_improvement_value,82448.56190476191,112429.85714285713,309.15,207.28,411.02,95
15011015,"2016 N Harvard St, Arlington VA 22201",Lyon Village,R-6,False,8239.4,88.1,True,1938.0,511-Single Family Detached,1765.0,,1288000.0,545700.0,2471.8199999999997,6179.549999999999,35,4414.549999999999,28.56195030382472,underdeveloped,estimated_from_improvement_value,506067.14404770575,690091.5600650532,309.15,207.28,411.02,95
15011016,"2010 N Harvard St, Arlington VA 22201",Lyon Village,R-6,False,8635.0,61.7,True,1939.0,511-Single Family Detached,1222.0,,1267400.0,377900.0,2520.0,6300.0,35,5078.0,19.396825396825395,underdeveloped,estimated_from_improvement_value,561860.5492063493,766173.4761904762,309.15,207.28,411.02,95
15012046,"3165 21St St N, Arlington VA 22201",Lyon Village,R-6,True,8279.0,68.7,True,1953.0,511-Single Family Detached,584.0,,1257400.0,180600.0,2483.7,6209.25,35,5625.25,9.405322704030278,underdeveloped,estimated_from_improvement_value,626525.6097757379,854353.1042396425,309.15,207.28,411.02,95
15011013,"3156 21St St N, Arlington VA 22201",Lyon Village,R-6,False,14560.0,110.8,True,1937.0,511-Single Family Detached,3821.0,,1433300.0,1181200.0,2520.0,6300.0,35,2479.0,60.65079365079365,underdeveloped,estimated_from_improvement_value,310195.69603174605,422994.13095238095,309.15,207.28,411.02,95
15012037,"3209 19Th Rd N, Arlington VA 22201",Lyon Village,R-6,True,5707.0,56.2,False,1942.0,511-Single Family Detached,1378.0,,915900.0,426000.0,1712.1,4280.25,35,2902.25,32.194381169324224,underdeveloped,estimated_from_improvement_value,341567.4145785877,465773.74715261953,309.15,207.28,411.02,95
15011012,"3162 21St St N, Arlington VA 22201",Lyon Village,R-6,False,10000.0,79.6,True,2020.0,511-Single Family Detached,4733.0,,1305600.0,1463300.0,2520.0,6300.0,35,1567.0,75.12698412698413,underdeveloped,estimated_from_improvement_value,178608.1523809524,243556.57142857145,309.15,207.28,411.02,95
15011003,"3155 20Th St N, Arlington VA 22201",Lyon Village,R-6,False,9285.0,70.1,True,2015.0,511-Single Family Detached,9005.0,,1285600.0,2783800.0,2520.0,6300.0,35,-2705.0,142.93650793650795,overdeveloped,estimated_from_improvement_value,,,309.15,207.28,411.02,95
15011011,"3168 21St St N, Arlington VA 22201",Lyon Village,R-6,False,10000.0,79.0,True,2025.0,511-Single Family Detached,4461.0,,1305600.0,1379000.0,2520.0,6300.0,35,1839.0,70.80952380952381,underdeveloped,estimated_from_improvement_value,209610.97142857144,285833.14285714284,309.15,207.28,411.02,95
15011004,"3161 20Th St N, Arlington VA 22201",Lyon Village,R-6,False,8225.0,67.0,True,1937.0,511-Single Family Detached,2228.0,,1255900.0,688900.0,2467.5,6168.75,35,3940.75,36.11752786220872,underdeveloped,estimated_from_improvement_value,441264.98216818646,601724.9756838905,309.15,207.28,411.02,95
