parcel_id,quality_tier,anomaly_flags,anomaly_count
11040097,clean,,0
11040091,clean,,0
11040093,clean,,0
11040096,clean,,0
11040090,clean,,0
11040085,clean,,0
11040086,clean,,0
11040087,clean,,0
11040076,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=134993,1
11040077,clean,,0
11040103,clean,,0
11040069,clean,,0
11040071,clean,,0
11040072,clean,,0
11040073,clean,,0
11040067,clean,,0
11040066,clean,,0
11040064,clean,,0
11040106,clean,,0
11040092,clean,,0
11040088,clean,,0
11040095,clean,,0
11040094,clean,,0
11040089,clean,,0
11040075,flag-for-review,statistical_outlier:est_value_high_z=-3.1_low_value=102938,1
11040084,clean,,0
11040082,clean,,0
11040104,clean,,0
11040081,clean,,0
11040102,clean,,0
11040078,clean,,0
11040080,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.0_low_value=330|statistical_outlier:est_value_high_z=-3.8_low_value=32426,2
11040079,clean,,0
11040070,clean,,0
11040068,clean,,0
11040065,clean,,0
11040062,clean,,0
11040114,clean,,0
11040112,clean,,0
11040111,clean,,0
11040083,flag-for-review,statistical_outlier:est_value_high_z=-2.8_low_value=132179,1
11040042,clean,,0
11040043,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.9_low_value=447|statistical_outlier:est_value_high_z=-3.6_low_value=53208,2
11040034,clean,,0
11040044,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.7_low_value=-467,1
11040035,clean,,0
11040032,clean,,0
11040045,clean,,0
11040036,clean,,0
11040031,clean,,0
11040030,clean,,0
11040047,clean,,0
11040004,clean,,0
11040029,clean,,0
11040038,clean,,0
11040048,flag-for-review,statistical_outlier:available_gfa_sf_z=-5.0_low_value=-1880,1
11040005,clean,,0
11040028,clean,,0
11040010,clean,,0
11040039,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.6_low_value=807|statistical_outlier:est_value_high_z=-3.2_low_value=88742,2
11040049,clean,,0
11040006,clean,,0
11040026,clean,,0
11040009,clean,,0
11040050,clean,,0
11040025,clean,,0
11040024,clean,,0
11040023,clean,,0
11040022,clean,,0
11040054,clean,,0
11040021,clean,,0
11042011,clean,,0
11042012,clean,,0
11042013,clean,,0
11042014,clean,,0
11040057,clean,,0
11048004,clean,,0
11048005,clean,,0
11048006,clean,,0
11040058,clean,,0
11042016,clean,,0
11048007,clean,,0
11042008,clean,,0
11048008,clean,,0
11042020,clean,,0
11042019,clean,,0
11040074,clean,,0
11048009,clean,,0
11048002,clean,,0
11048010,clean,,0
11040121,clean,,0
11042022,clean,,0
11042007,clean,,0
11048022,clean,,0
11048021,clean,,0
11048020,clean,,0
11048019,clean,,0
11040117,clean,,0
11048017,clean,,0
11048016,clean,,0
11040118,clean,,0
11040041,clean,,0
11040033,clean,,0
11040046,flag-for-review,statistical_outlier:available_gfa_sf_z=-4.0_low_value=-785,1
11040037,clean,,0
11040027,clean,,0
11040040,clean,,0
11040007,clean,,0
11040052,clean,,0
11040008,clean,,0
11040053,clean,,0
11040055,clean,,0
11042010,clean,,0
11040056,clean,,0
11042015,clean,,0
