parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
11040097,"1709 N Roosevelt St, Arlington VA 22205",Madison Manor,R-6,True,6200.0,61.9,True,1948.0,511-Single Family Detached,1371.0,,717800.0,328600.0,1860.0,4650.0,35,3279.0,29.483870967741936,underdeveloped,estimated_from_improvement_value,278390.62580645166,379623.58064516133,239.76,184.76,294.76,8
11040091,"1709 N Quesada St, Arlington VA 22205",Madison Manor,R-6,True,6504.0,63.0,True,1948.0,511-Single Family Detached,470.0,,723300.0,112600.0,1951.1999999999998,4878.0,35,4408.0,9.63509635096351,underdeveloped,estimated_from_improvement_value,359485.14145141456,490207.0110701107,239.76,184.76,294.76,8
11040093,"1704 N Quesada St, Arlington VA 22205",Madison Manor,R-6,False,6020.0,54.8,False,1950.0,511-Single Family Detached,1898.0,,714600.0,455000.0,1806.0,4515.0,35,2617.0,42.03765227021041,underdeveloped,estimated_from_improvement_value,227809.41528239203,310649.20265780727,239.76,184.76,294.76,8
11040096,"1705 N Roosevelt St, Arlington VA 22205",Madison Manor,R-6,False,6200.0,62.1,True,1947.0,511-Single Family Detached,2166.0,,717800.0,519300.0,1860.0,4650.0,35,2484.0,46.58064516129032,underdeveloped,estimated_from_improvement_value,210894.27096774196,287583.0967741936,239.76,184.76,294.76,8
11040090,"1705 N Quesada St, Arlington VA 22205",Madison Manor,R-6,True,6428.4,90.0,True,1950.0,511-Single Family Detached,1103.0,,721600.0,264400.0,1928.5199999999998,4821.299999999999,35,3718.2999999999993,22.87764710762658,underdeveloped,estimated_from_improvement_value,306083.19415925164,417386.17385352496,239.76,184.76,294.76,8
11040085,"6316 17Th St N, Arlington VA 22205",Madison Manor,R-6,False,7044.0,56.0,False,1948.0,511-Single Family Detached,2020.0,,733000.0,484200.0,2113.2,5283.0,35,3263.0,38.23585084232444,underdeveloped,estimated_from_improvement_value,249002.16732916905,339548.4099943214,239.76,184.76,294.76,8
11040086,"6312 17Th St N, Arlington VA 22205",Madison Manor,R-6,False,6023.0,56.1,False,1950.0,511-Single Family Detached,978.0,,714700.0,234600.0,1806.8999999999999,4517.25,35,3539.25,21.650340361945876,underdeveloped,estimated_from_improvement_value,307980.7595882451,419973.76307487965,239.76,184.76,294.76,8
11040087,"6306 17Th St N, Arlington VA 22205",Madison Manor,R-6,False,7108.0,73.7,True,1950.0,511-Single Family Detached,682.0,,734200.0,163500.0,2132.4,5331.0,35,4649.0,12.79309697992872,underdeveloped,estimated_from_improvement_value,352150.19508534984,480204.8114800225,239.76,184.76,294.76,8
11040076,"1609 N Roosevelt St, Arlington VA 22205",Madison Manor,R-6,False,7767.0,70.3,True,2009.0,511-Single Family Detached,4346.0,,708800.0,1042100.0,2330.1,5825.25,35,1479.25,74.60624007553324,underdeveloped,estimated_from_improvement_value,98995.03368954123,134993.2277584653,239.76,184.76,294.76,8
11040077,"1607 N Roosevelt St, Arlington VA 22205",Madison Manor,R-6,False,9542.0,46.6,False,1928.0,511-Single Family Detached,536.0,,739100.0,128600.0,2520.0,6300.0,35,5764.0,8.507936507936508,underdeveloped,estimated_from_improvement_value,371919.81269841274,507163.38095238095,239.76,184.76,294.76,8
11040103,"6292 15Th Pl N, Arlington VA 22205",Madison Manor,R-6,False,6351.0,55.5,False,1975.0,511-Single Family Detached,1271.0,,720600.0,304700.0,1905.3,4763.25,35,3492.25,26.683461922007034,underdeveloped,estimated_from_improvement_value,290575.4353645095,396239.230042513,239.76,184.76,294.76,8
11040069,"6294 15Th Rd N, Arlington VA 22205",Madison Manor,R-6,False,8841.0,46.3,False,2015.0,511-Single Family Detached,4379.0,,765400.0,1049900.0,2520.0,6300.0,35,1921.0,69.5079365079365,underdeveloped,estimated_from_improvement_value,128362.4396825397,175039.69047619047,239.76,184.76,294.76,8
11040071,"6286 15Th Rd N, Arlington VA 22205",Madison Manor,R-6,False,7879.0,47.1,False,1957.0,511-Single Family Detached,763.0,,748100.0,183000.0,2363.7,5909.25,35,5146.25,12.911960062613698,underdeveloped,estimated_from_improvement_value,358328.09472437284,488629.2200786902,239.76,184.76,294.76,8
11040072,"6282 15Th Rd N, Arlington VA 22205",Madison Manor,R-6,False,6871.0,47.5,False,1953.0,511-Single Family Detached,1890.0,,729900.0,453100.0,2061.2999999999997,5153.249999999999,35,3263.249999999999,36.67588415077864,underdeveloped,estimated_from_improvement_value,254211.4968709067,346652.0411876,239.76,184.76,294.76,8
11040073,"6278 15Th Rd N, Arlington VA 22205",Madison Manor,R-6,False,5868.0,48.2,False,1957.0,511-Single Family Detached,1874.0,,711900.0,449200.0,1760.3999999999999,4401.0,35,2527.0,42.58123153828675,underdeveloped,estimated_from_improvement_value,224820.31697341515,306573.15950920247,239.76,184.76,294.76,8
11040067,"6300 15Th Rd N, Arlington VA 22205",Madison Manor,R-6,False,6161.0,49.6,False,1948.0,511-Single Family Detached,717.0,,717100.0,172000.0,1848.3,4620.75,35,3903.75,15.516961532218795,underdeveloped,estimated_from_improvement_value,333205.3278688525,454370.9016393443,239.76,184.76,294.76,8
11040066,"6304 15Th Rd N, Arlington VA 22205",Madison Manor,R-6,False,5706.0,52.7,False,1948.0,511-Single Family Detached,551.0,,709000.0,132000.0,1711.8,4279.5,35,3728.5,12.87533590372707,underdeveloped,estimated_from_improvement_value,339742.62764341634,463285.40133193135,239.76,184.76,294.76,8
11040064,"1403 N Roosevelt St, Arlington VA 22205",Madison Manor,R-6,False,4480.0,51.7,False,1940.0,511-Single Family Detached,670.0,,652600.0,160600.0,1344.0,3360.0,35,2690.0,19.940476190476193,underdeveloped,estimated_from_improvement_value,287357.64880952385,391851.33928571426,239.76,184.76,294.76,8
