parcel_id,quality_tier,anomaly_flags,anomaly_count
05054042,clean,,0
05054041,clean,,0
05054065,clean,,0
05054055,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=98351,1
05051028,clean,,0
05054038,clean,,0
05054081,flag-for-review,statistical_outlier:est_value_high_z=-3.0_low_value=42900,1
05054043,clean,,0
05054078,clean,,0
05054066,clean,,0
05054064,clean,,0
05054079,clean,,0
05054039,clean,,0
05060015,clean,,0
05060014,clean,,0
05060027,clean,,0
05051018,clean,,0
05051039,clean,,0
05053014,clean,,0
05052009,clean,,0
05052010,clean,,0
05051046,clean,,0
05052011,clean,,0
05052006,clean,,0
05052005,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.6_low_value=200|statistical_outlier:est_value_high_z=-3.1_low_value=28335,2
05051048,clean,,0
05051049,clean,,0
05051052,clean,,0
05053002,clean,,0
05051047,clean,,0
05052020,clean,,0
05052003,clean,,0
05051050,clean,,0
05053003,clean,,0
05051042,clean,,0
05051044,clean,,0
05052007,clean,,0
05054007,flag-for-review,statistical_outlier:est_value_high_z=-2.9_low_value=51612,1
05051038,clean,,0
05054031,clean,,0
05059011,clean,,0
05054008,clean,,0
05059009,clean,,0
05060023,clean,,0
05051037,clean,,0
05059017,clean,,0
05054009,clean,,0
05051035,clean,,0
05059008,clean,,0
05054010,clean,,0
05060010,clean,,0
05054011,clean,,0
05059015,clean,,0
05060009,clean,,0
05059003,clean,,0
05054012,clean,,0
05054027,clean,,0
05053004,clean,,0
05059016,clean,,0
05053005,clean,,0
05060008,clean,,0
05053006,clean,,0
05053007,clean,,0
05054069,clean,,0
05054013,clean,,0
05054068,clean,,0
05060006,clean,,0
05054014,clean,,0
05055003,clean,,0
05053012,clean,,0
05054025,clean,,0
05053011,clean,,0
05053010,clean,,0
05055006,clean,,0
05052012,clean,,0
05054017,clean,,0
05052013,clean,,0
05054020,clean,,0
05057045,clean,,0
05056008,clean,,0
05057047,clean,,0
05056009,clean,,0
05057048,clean,,0
05057033,clean,,0
05057034,clean,,0
05057035,clean,,0
05057075,clean,,0
05057074,clean,,0
05057037,clean,,0
05057072,clean,,0
05057073,clean,,0
05054035,clean,,0
05054080,clean,,0
05059010,clean,,0
05054036,clean,,0
05054030,clean,,0
05059012,clean,,0
05059007,clean,,0
05059014,clean,,0
05051055,clean,,0
05059004,clean,,0
05054028,clean,,0
05059002,clean,,0
05051032,clean,,0
05060007,clean,,0
05055002,clean,,0
05055004,clean,,0
05053009,clean,,0
05055001,clean,,0
05055005,clean,,0
05054023,clean,,0
05057044,clean,,0
05052014,clean,,0
05054062,clean,,0
05056007,clean,,0
05054018,clean,,0
05056011,clean,,0
05057042,clean,,0
05057077,clean,,0
05057076,clean,,0
05051030,clean,,0
05053008,clean,,0
05063012,clean,,0
05060022,clean,,0
05063016,clean,,0
05063010,clean,,0
05063017,clean,,0
05063018,clean,,0
05063009,clean,,0
05060020,clean,,0
05063007,clean,,0
05060021,clean,,0
05062011,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=87478,1
05062009,clean,,0
05060004,clean,,0
05061004,clean,,0
05061007,clean,,0
05061008,clean,,0
05061003,clean,,0
05061011,clean,,0
05063011,clean,,0
05063020,clean,,0
05063021,clean,,0
05063002,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=342|statistical_outlier:est_value_high_z=-3.0_low_value=46900,2
05063008,clean,,0
05063001,clean,,0
05062010,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.8_low_value=19|statistical_outlier:est_value_high_z=-3.3_low_value=2088,2
05062008,clean,,0
05060003,clean,,0
05060002,clean,,0
05061009,clean,,0
05061010,clean,,0
05060018,clean,,0
05060025,clean,,0
05057050,clean,,0
05057016,clean,,0
05057019,clean,,0
05057020,clean,,0
05057018,clean,,0
05057058,clean,,0
05057055,clean,,0
05057056,clean,,0
05057004,clean,,0
05062013,clean,,0
05062015,clean,,0
05062014,clean,,0
05062004,clean,,0
05062005,clean,,0
04029021,clean,,0
04029022,clean,,0
04029020,clean,,0
04029023,clean,,0
04029024,clean,,0
04029018,clean,,0
04029025,clean,,0
04029030,clean,,0
04029017,clean,,0
05057080,clean,,0
05054085,clean,,0
05054084,clean,,0
05057097,clean,,0
05051070,clean,,0
05051069,clean,,0
05051068,clean,,0
05063025,clean,,0
05063023,clean,,0
05054001,clean,,0
05054053,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=92855,1
05054002,clean,,0
05054056,clean,,0
05054083,clean,,0
05054049,clean,,0
05054048,clean,,0
05054047,clean,,0
05057095,clean,,0
05057079,clean,,0
05051066,clean,,0
05051067,clean,,0
05054086,clean,,0
05058021,clean,,0
05058001,clean,,0
05058002,clean,,0
05058003,clean,,0
05058004,clean,,0
05058023,clean,,0
05058020,clean,,0
05058008,clean,,0
05058019,clean,,0
05058007,clean,,0
05058009,clean,,0
05058016,clean,,0
05058015,clean,,0
05058014,clean,,0
05058012,clean,,0
05058011,clean,,0
05058010,clean,,0
