parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
05054042,"2325 N Monroe St, Arlington VA 22207",Maywood,R-6,True,10718.0,65.8,True,1953.0,511-Single Family Detached,1385.0,,936400.0,364300.0,2520.0,6300.0,35,4915.0,21.984126984126984,underdeveloped,estimated_from_improvement_value,401797.34920634923,547905.4761904762,262.94,202.58,323.29,7
05054041,"2321 N Monroe St, Arlington VA 22207",Maywood,R-6,False,6600.0,59.4,False,1949.0,511-Single Family Detached,1344.0,,887000.0,353500.0,1980.0,4950.0,35,3606.0,27.151515151515156,underdeveloped,estimated_from_improvement_value,355391.3333333334,484624.5454545455,262.94,202.58,323.29,7
05054065,"2350 N Lincoln St, Arlington VA 22207",Maywood,R-6,False,6669.0,57.1,False,1989.0,511-Single Family Detached,3514.0,,857300.0,923900.0,2000.6999999999998,5001.75,35,1487.75,70.25541060628781,underdeveloped,estimated_from_improvement_value,140250.20067976209,191250.273654221,262.94,202.58,323.29,7
05054055,"2332 N Kenmore St, Arlington VA 22201",Maywood,R-6,True,15000.0,100.2,True,2011.0,511-Single Family Detached,5437.0,,957300.0,1429500.0,2520.0,6300.0,35,863.0,86.3015873015873,near-capacity,estimated_from_improvement_value,72124.19761904763,98351.17857142858,262.94,202.58,323.29,7
05051028,"2308 N Monroe St, Arlington VA 22207",Maywood,R-6,False,7689.0,55.7,False,1948.0,511-Single Family Detached,732.0,,900000.0,192600.0,2306.7,5766.75,35,5034.75,12.693458187020418,underdeveloped,estimated_from_improvement_value,432167.3819742489,589319.1572376122,262.94,202.58,323.29,7
05054038,"2309 N Monroe St, Arlington VA 22207",Maywood,R-6,False,6600.0,59.6,False,1948.0,511-Single Family Detached,1239.0,,887000.0,325700.0,1980.0,4950.0,35,3711.0,25.03030303030303,underdeveloped,estimated_from_improvement_value,365739.66666666674,498735.9090909091,262.94,202.58,323.29,7
05054081,"N Lincoln St, Arlington VA 22207",Maywood,R-6,False,8165.0,80.9,True,,510-Res - Vacant(SF & Twnhse),,,57200.0,0.0,2449.5,6123.75,35,6123.75,0.0,vacant,not_available,31460.000000000004,42900.0,262.94,202.58,323.29,7
05054043,"3510 Lorcom Ln, Arlington VA 22207",Maywood,R-8,True,12456.0,76.1,True,2023.0,511-Single Family Detached,8435.0,,957200.0,2217800.0,2800.0,7000.0,35,-1435.0,120.5,overdeveloped,estimated_from_improvement_value,,,262.94,202.58,323.29,7
05054078,"2308 N Lincoln St, Arlington VA 22207",Maywood,R-6,True,7200.0,59.5,False,1992.0,511-Single Family Detached,1784.0,,863700.0,469200.0,2160.0,5400.0,35,3616.0,33.03703703703704,underdeveloped,estimated_from_improvement_value,318097.51111111115,433769.3333333334,262.94,202.58,323.29,7
05054066,"2354 N Lincoln St, Arlington VA 22207",Maywood,R-6,True,10538.0,68.1,True,1989.0,511-Single Family Detached,3148.0,,903800.0,827800.0,2520.0,6300.0,35,3152.0,49.96825396825397,underdeveloped,estimated_from_improvement_value,248702.80634920637,339140.1904761905,262.94,202.58,323.29,7
