parcel_id,quality_tier,anomaly_flags,anomaly_count
16004049,clean,,0
16004068,clean,,0
16004048,clean,,0
16004050,clean,,0
16004067,clean,,0
16004164,clean,,0
16004163,clean,,0
16004028,clean,,0
16004095,clean,,0
16004046,clean,,0
16006010,clean,,0
16004045,clean,,0
16004044,clean,,0
16004047,flag-for-review,statistical_outlier:available_gfa_sf_z=3.2_high_value=7710,1
16004094,clean,,0
16004022,clean,,0
16004020,clean,,0
16006011,clean,,0
16006012,clean,,0
16004023,clean,,0
16006005,clean,,0
16004035,clean,,0
16007012,clean,,0
16004034,clean,,0
16004207,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004208,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004210,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004211,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004214,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004215,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004216,flag-for-review,lot_area_marginal:1440sf<2000sf_threshold,1
16004217,flag-for-review,lot_area_marginal:1440sf<2000sf_threshold,1
16004218,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004219,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004033,clean,,0
16004123,clean,,0
16004036,clean,,0
16004209,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004212,clean,,0
16004220,clean,,0
16004221,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A)|statistical_outlier:available_gfa_sf_z=3.5_high_value=8750,2
16004213,clean,,0
16004019,clean,,0
16004179,clean,,0
16004180,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004181,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004182,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004183,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004184,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004185,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004186,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004187,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004188,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004189,flag-for-review,lot_area_marginal:1920sf<2000sf_threshold,1
16004190,clean,,0
16004195,flag-for-review,lot_area_marginal:1480sf<2000sf_threshold,1
16004196,clean,,0
16004197,clean,,0
16004198,flag-for-review,lot_area_marginal:1480sf<2000sf_threshold,1
16004199,flag-for-review,lot_area_marginal:1480sf<2000sf_threshold,1
16004200,flag-for-review,lot_area_marginal:1480sf<2000sf_threshold,1
16004201,flag-for-review,lot_area_marginal:1480sf<2000sf_threshold,1
16004202,flag-for-review,lot_area_marginal:1850sf<2000sf_threshold,1
16004178,clean,,0
16004177,flag-for-review,lot_area_marginal:1741sf<2000sf_threshold,1
16004176,flag-for-review,lot_area_marginal:1741sf<2000sf_threshold,1
16004175,flag-for-review,lot_area_marginal:1741sf<2000sf_threshold,1
16004174,flag-for-review,lot_area_marginal:1741sf<2000sf_threshold,1
16004173,clean,,0
16004191,flag-for-review,lot_area_marginal:1884sf<2000sf_threshold,1
16004192,flag-for-review,lot_area_marginal:1480sf<2000sf_threshold,1
16004193,flag-for-review,lot_area_marginal:1480sf<2000sf_threshold,1
16004194,flag-for-review,lot_area_marginal:1480sf<2000sf_threshold,1
16006006,clean,,0
15007049,clean,,0
