parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
16004049,"2137 N Troy St, Arlington VA 22201",North Highlands,R-6,False,6000.0,48.0,False,1946.0,511-Single Family Detached,2472.0,,815800.0,457400.0,1800.0,4500.0,35,2028.0,54.93333333333334,underdeveloped,estimated_from_improvement_value,202209.6266666667,275740.4,185,185,185,4
16004068,"2136 N Troy St, Arlington VA 22201",North Highlands,R-6,True,6560.0,52.9,False,1946.0,511-Single Family Detached,1004.0,,825900.0,185700.0,1968.0,4920.0,35,3916.0,20.40650406504065,underdeveloped,estimated_from_improvement_value,361549.47560975613,493022.01219512196,185,185,185,4
16004048,"2147 N Troy St, Arlington VA 22201",North Highlands,R-6,True,23301.0,93.6,True,1956.0,511-Single Family Detached,4477.0,,1127200.0,828300.0,2520.0,6300.0,35,1823.0,71.06349206349206,underdeveloped,estimated_from_improvement_value,179394.77460317462,244629.2380952381,185,185,185,4
16004050,"2133 N Troy St, Arlington VA 22201",North Highlands,R-6,False,6044.0,59.5,False,1946.0,511-Single Family Detached,1134.0,,816600.0,209800.0,1813.2,4533.0,35,3399.0,25.01654533421575,underdeveloped,estimated_from_improvement_value,336773.1899404368,459236.1681005956,185,185,185,4
16004067,"2132 N Troy St, Arlington VA 22201",North Highlands,R-6,False,6100.0,60.3,True,1946.0,511-Single Family Detached,2117.0,,817600.0,391700.0,1830.0,4575.0,35,2458.0,46.27322404371585,underdeveloped,estimated_from_improvement_value,241598.5661202186,329452.59016393445,185,185,185,4
16004164,"2145 N Courthouse Rd, Arlington VA 22201",North Highlands,R-6,False,6008.0,59.4,False,1940.0,511-Single Family Detached,1146.0,,816000.0,212000.0,1802.3999999999999,4506.0,35,3360.0,25.432756324900136,underdeveloped,estimated_from_improvement_value,334657.78961384826,456351.5312916112,185,185,185,4
16004163,"2149 N Courthouse Rd, Arlington VA 22201",North Highlands,R-6,True,8408.0,62.4,True,1995.0,511-Single Family Detached,5495.0,,859200.0,1016600.0,2520.0,6300.0,35,805.0,87.22222222222223,near-capacity,estimated_from_improvement_value,60382.66666666667,82340.0,185,185,185,4
16004028,"2203 N Rolfe St, Arlington VA 22209",North Highlands,R-10,False,6628.0,49.8,False,2009.0,511-Single Family Detached,4279.0,,827100.0,791600.0,1657.0,4142.5,35,-136.5,103.29511164755583,overdeveloped,estimated_from_improvement_value,,,185,185,185,4
16004095,"2143 N Rolfe St, Arlington VA 22209",North Highlands,R-10,False,6406.0,50.3,False,2009.0,511-Single Family Detached,6544.0,,823100.0,1210700.0,1601.5,4003.75,35,-2540.25,163.44676865438652,overdeveloped,estimated_from_improvement_value,,,185,185,185,4
16004046,"2200 N Taft St, Arlington VA 22201",North Highlands,R-6,True,10006.0,95.2,True,1956.0,511-Single Family Detached,992.0,,887900.0,183600.0,2520.0,6300.0,35,5308.0,15.746031746031747,underdeveloped,estimated_from_improvement_value,411450.04126984125,561068.238095238,185,185,185,4
