parcel_id,quality_tier,anomaly_flags,anomaly_count
16004003,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
16004004,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
16004005,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
16004002,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
16004006,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
16004001,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
16024023,clean,,0
16024022,clean,,0
16024021,clean,,0
16024020,clean,,0
16024019,clean,,0
16024018,clean,,0
16024017,clean,,0
16024016,clean,,0
16024015,clean,,0
16024014,clean,,0
16024013,clean,,0
16024003,clean,,0
16024006,clean,,0
16024007,clean,,0
16024008,clean,,0
16024009,clean,,0
16024010,clean,,0
16024011,clean,,0
16014224,clean,,0
16014218,clean,,0
16014212,clean,,0
16014225,clean,,0
16014206,clean,,0
16014219,clean,,0
16024004,clean,,0
16024PCA,clean,,0
16014223,clean,,0
16014217,clean,,0
16014211,clean,,0
16014205,clean,,0
16014005,clean,,0
16014004,clean,,0
16014041,clean,,0
16014040,clean,,0
16014038,clean,,0
16014037,clean,,0
16014042,clean,,0
16014043,clean,,0
16014044,clean,,0
16014045,clean,,0
16014046,clean,,0
16014047,clean,,0
16014048,clean,,0
16014049,clean,,0
16014PCB,clean,,0
16014058,flag-for-review,unknown_property_type:528-SFD/Apt Zone no site plan,1
16014059,flag-for-review,unknown_property_type:311-Apartment - Garden,1
16014075,flag-for-review,unknown_property_type:311-Apartment - Garden,1
16014PCC,clean,,0
16024030,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
16024005,clean,,0
16014PCD,clean,,0
16014229,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
16014202,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
16014230,clean,,0
16014231,clean,,0
16014232,clean,,0
16014002,flag-for-review,unknown_property_type:311-Apartment - Garden,1
16014233,clean,,0
16024025,clean,,0
16024002,clean,,0
16024039,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
16024038,clean,,0
16024037,clean,,0
16024036,clean,,0
16024035,clean,,0
16024034,clean,,0
16024033,clean,,0
16024032,clean,,0
16024031,clean,,0
16039008,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
16019005,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16020002,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16018007,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
16020006,flag-for-review,unknown_property_type:211-Retail strip,1
16020001,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16039011,clean,,0
16039012,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
16039006,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
16039010,clean,,0
16039037,clean,,0
16039025,clean,,0
16014213,clean,,0
16014207,clean,,0
16014220,clean,,0
16014214,clean,,0
16014208,clean,,0
16014221,clean,,0
16014215,clean,,0
16014209,clean,,0
16014222,clean,,0
16014216,clean,,0
16014210,clean,,0
16035001,clean,,0
16014003,flag-for-review,unknown_property_type:528-SFD/Apt Zone no site plan,1
16014226,clean,,0
16014228,clean,,0
16014227,clean,,0
16035002,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16039030,clean,,0
16039019,clean,,0
16039031,clean,,0
16039014,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
16039003,clean,,0
16039034,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
16039023,clean,,0
16039036,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
16039021,clean,,0
16039002,clean,,0
16039035,clean,,0
16039033,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
16039032,clean,,0
16039018,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
16036PEA,clean,,0
16036002,clean,,0
16036005,clean,,0
16039005,clean,,0
16033004,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
16033001,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
16014PCE,clean,,0
16014PCF,clean,,0
16014007,flag-for-review,unknown_property_type:312-Apartment - Mid-rise,1
16014236,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
16014008,clean,,0
16014009,clean,,0
16014010,clean,,0
16014070,clean,,0
16014011,clean,,0
16014012,clean,,0
16014013,clean,,0
16014014,clean,,0
16016101,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
16016102,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
16017100,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
16018PCA,clean,,0
16023042,clean,,0
16023043,clean,,0
16023044,clean,,0
16023045,clean,,0
16023046,clean,,0
16023047,clean,,0
16023048,clean,,0
16023049,clean,,0
16023054,clean,,0
16023055,clean,,0
16023053,clean,,0
16023056,clean,,0
16023057,clean,,0
16023096,clean,,0
16023099,clean,,0
16023065,clean,,0
16023112,clean,,0
16023134,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
16023069,clean,,0
16023070,clean,,0
16023129,clean,,0
16023071,clean,,0
16023113,clean,,0
16023092,clean,,0
16023091,clean,,0
16023090,clean,,0
16023089,clean,,0
16023088,clean,,0
16023087,clean,,0
16023086,clean,,0
16023083,clean,,0
16023082,clean,,0
16023081,clean,,0
16023080,clean,,0
16023079,clean,,0
16023041,clean,,0
16023050,clean,,0
16023052,clean,,0
16023058,clean,,0
16023059,clean,,0
16023060,clean,,0
16023051,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
16023061,clean,,0
16023062,clean,,0
16023063,clean,,0
16023095,clean,,0
16023098,clean,,0
16023097,clean,,0
16023064,clean,,0
16023100,clean,,0
16023101,clean,,0
16023102,clean,,0
16023103,clean,,0
16023104,clean,,0
16023131,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
16023108,clean,,0
16023105,clean,,0
16023109,clean,,0
16023107,clean,,0
16023106,clean,,0
16023110,clean,,0
16023111,clean,,0
16023068,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
16023133,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
16023127,clean,,0
16023128,clean,,0
16023126,clean,,0
16023130,clean,,0
16023124,clean,,0
16023125,clean,,0
16023123,clean,,0
16023122,clean,,0
16023121,clean,,0
16023119,clean,,0
16023120,clean,,0
16023118,clean,,0
16023117,clean,,0
16023116,clean,,0
16023115,clean,,0
16023114,clean,,0
16023072,clean,,0
16023073,clean,,0
16023074,clean,,0
16023094,clean,,0
16023075,clean,,0
16023085,clean,,0
16023132,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
16023084,clean,,0
16023076,clean,,0
16023077,clean,,0
16023078,clean,,0
16014PCG,clean,,0
16014055,flag-for-review,unknown_property_type:312-Apartment - Mid-rise,1
16038001,clean,,0
16038002,clean,,0
16038003,clean,,0
16038004,clean,,0
16038PCA,clean,,0
16037010,clean,,0
16037004,clean,,0
16037009,flag-for-review,unknown_property_type:Public Service/Stormwater,1
16034PCB,clean,,0
16034PCA,clean,,0
16034001,clean,,0
16034021,clean,,0
16034002,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16034031,clean,,0
16034040,clean,,0
16034038,clean,,0
16034036,clean,,0
16034039,clean,,0
16034037,clean,,0
16034035,clean,,0
16032002,flag-for-review,unknown_property_type:211-Retail strip,1
16033013,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16033014,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16033022,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16033016,clean,,0
16032024,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
16033021,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16033017,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16033012,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16033PAA,clean,,0
16033007,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
16022PCA,clean,,0
16022257,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
16016100,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
