parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,property_type,land_value,improvement_value,development_status
16004003,"Langston Blvd, Arlington VA 22209",North Rosslyn,C-O-2.5,True,300-MultiFam-VacLand-no s.plan,1984300.0,0.0,unknown
16004004,"Langston Blvd, Arlington VA 22209",North Rosslyn,C-O-2.5,True,300-MultiFam-VacLand-no s.plan,1481500.0,0.0,unknown
16004005,"Langston Blvd, Arlington VA 22209",North Rosslyn,C-O-2.5,True,300-MultiFam-VacLand-no s.plan,2236400.0,0.0,unknown
16004002,"Langston Blvd, Arlington VA 22209",North Rosslyn,C-O-2.5,True,300-MultiFam-VacLand-no s.plan,1282100.0,0.0,unknown
16004006,"Langston Blvd, Arlington VA 22209",North Rosslyn,C-O-2.5,True,300-MultiFam-VacLand-no s.plan,1540600.0,0.0,unknown
16004001,"1401 Langston Blvd, Arlington VA 22209",North Rosslyn,C-O-2.5,True,300-MultiFam-VacLand-no s.plan,41005100.0,1000.0,unknown
16024023,"1610 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,606300.0,60200.0,unknown
16024022,"1612 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,606300.0,245100.0,unknown
16024021,"1614 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,605800.0,78700.0,unknown
16024020,"1616 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,605100.0,235700.0,unknown
16024019,"1618 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,604300.0,162400.0,unknown
16024018,"1620 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,602900.0,84500.0,unknown
16024017,"1622 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,601300.0,70400.0,unknown
16024016,"1624 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,599500.0,144600.0,unknown
16024015,"1626 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,597300.0,230100.0,unknown
16024014,"1628 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,594700.0,236200.0,unknown
16024013,"1630 N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,591900.0,129800.0,unknown
16024003,"1543 19Th St N, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,605000.0,178600.0,unknown
16024006,"1549 19Th St N, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,599800.0,183700.0,unknown
16024007,"1551 19Th St N, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,598200.0,204100.0,unknown
16024008,"1553 19Th St N, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,596400.0,133000.0,unknown
16024009,"1555 19Th St N, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,594600.0,151600.0,unknown
16024010,"1557 19Th St N, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,593300.0,142700.0,unknown
16024011,"1559 19Th St N, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,591500.0,144600.0,unknown
16014224,"1507 B N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,422600.0,unknown
16014218,"1505 B N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,454700.0,unknown
16014212,"1503 B N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,464000.0,unknown
16014225,"1507 C N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,422600.0,unknown
16014206,"1501 B N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,486400.0,unknown
16014219,"1505 C N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,507800.0,unknown
16024004,"1545 19Th St N, Arlington VA 22209",North Rosslyn,RA6-15,False,514-Side by side,603100.0,173500.0,unknown
16024PCA,,North Rosslyn,RA6-15,False,,,,unknown
16014223,"1507 A N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,440500.0,unknown
16014217,"1505 A N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,449500.0,unknown
16014211,"1503 A N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,440500.0,unknown
16014205,"1501 A N Colonial Ter, Arlington VA 22209",North Rosslyn,RA6-15,False,512-Townhouse (fee simple own),775000.0,440500.0,unknown
