parcel_id,quality_tier,anomaly_flags,anomaly_count
02061009,clean,,0
02061006,clean,,0
05005159,clean,,0
03063029,clean,,0
03063028,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.6_low_value=-1370,1
05005165,clean,,0
05005174,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
05005162,clean,,0
05005161,clean,,0
05005160,clean,,0
05005158,clean,,0
05005157,clean,,0
03063030,auto-exclude,nonresidential_property_type:215-Gen Comm - other|statistical_outlier:available_gfa_sf_z=-2.9_low_value=-1772,2
05005163,clean,,0
05005164,clean,,0
05005175,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
05005156,clean,,0
05005166,clean,,0
05005179,auto-exclude,unusual_property_type:540 - Not Valued Resd. (H.O.A)|lot_area_marginal:1179sf<2000sf_threshold|lot_width_remnant:9.5ft<15ft_threshold,3
03063024,clean,,0
03063094,clean,,0
03063093,clean,,0
02061005,clean,,0
02061010,clean,,0
02061003,clean,,0
02061023,flag-for-review,unknown_property_type:213-Small office,1
02061002,flag-for-review,unknown_property_type:213-Small office,1
02064006,clean,,0
02064009,clean,,0
02064010,clean,,0
02064004,clean,,0
02064003,clean,,0
02064011,clean,,0
02066022,clean,,0
02066023,clean,,0
02064002,clean,,0
02066020,clean,,0
02066009,clean,,0
02066004,clean,,0
02066010,clean,,0
02066003,clean,,0
02066011,clean,,0
02066019,clean,,0
02066012,clean,,0
02066002,clean,,0
02066013,clean,,0
02066014,clean,,0
02065010,clean,,0
02066015,clean,,0
02065009,clean,,0
02066016,clean,,0
02065008,clean,,0
02066017,clean,,0
02065007,clean,,0
02065013,clean,,0
02065006,clean,,0
02065017,clean,,0
02065005,clean,,0
02065014,clean,,0
02065004,clean,,0
02065015,clean,,0
02065018,clean,,0
02065003,clean,,0
02065016,clean,,0
02065020,clean,,0
05009009,clean,,0
02065019,clean,,0
05009008,clean,,0
05009007,clean,,0
05009006,clean,,0
05009005,clean,,0
05009012,clean,,0
05008007,clean,,0
05009004,clean,,0
05009003,clean,,0
05009013,clean,,0
05009014,clean,,0
05009015,clean,,0
05009016,clean,,0
05009017,clean,,0
05010008,clean,,0
05010017,clean,,0
05010007,clean,,0
05010006,clean,,0
05010005,clean,,0
02064008,clean,,0
02064007,clean,,0
02064005,clean,,0
02066007,clean,,0
02064016,clean,,0
02066008,clean,,0
02064017,clean,,0
02064012,clean,,0
02064018,clean,,0
02065011,clean,,0
02064013,clean,,0
02066001,clean,,0
02064014,clean,,0
02065012,clean,,0
02066018,clean,,0
02065002,clean,,0
05009010,clean,,0
02065001,clean,,0
05008006,clean,,0
05009011,clean,,0
05008005,clean,,0
05008004,clean,,0
05008002,clean,,0
05008008,clean,,0
05009002,clean,,0
05010009,clean,,0
05008009,clean,,0
05008001,clean,,0
05009001,clean,,0
05010010,clean,,0
02061011,auto-exclude,unknown_property_type:213-Small office|lot_area_remnant:543sf<1000sf_threshold|lot_width_remnant:2.2ft<15ft_threshold,3
02066025,clean,,0
02066024,clean,,0
02062006,auto-exclude,nonresidential_property_type:215-Gen Comm - other|statistical_outlier:est_value_high_z=3.6_high_value=1014776,2
02064021,clean,,0
02064020,clean,,0
02062004,clean,,0
05005169,clean,,0
03063026,clean,,0
05005075,clean,,0
05005076,clean,,0
05005077,clean,,0
05005081,clean,,0
05005082,clean,,0
05005151,clean,,0
05005083,clean,,0
05005084,clean,,0
05005085,clean,,0
05005086,clean,,0
05005087,clean,,0
05014013,clean,,0
05014012,clean,,0
05005070,clean,,0
05005088,clean,,0
05014011,clean,,0
05014015,clean,,0
05014010,clean,,0
05014029,clean,,0
02062002,clean,,0
05014009,clean,,0
05014008,clean,,0
05005069,clean,,0
05014006,clean,,0
05005089,clean,,0
05014018,clean,,0
05014019,clean,,0
05014020,clean,,0
05014021,clean,,0
05014004,clean,,0
05014022,clean,,0
05014003,clean,,0
05014002,clean,,0
05014024,clean,,0
05014025,clean,,0
05015011,clean,,0
05015010,clean,,0
05014030,clean,,0
05015009,clean,,0
05015008,clean,,0
05015007,clean,,0
05015013,clean,,0
05015006,clean,,0
05015005,clean,,0
05015003,clean,,0
05015015,clean,,0
05015016,clean,,0
05015017,clean,,0
05015002,clean,,0
05015018,clean,,0
05015019,clean,,0
05015020,clean,,0
05015021,clean,,0
05015022,clean,,0
05015024,clean,,0
05030010,clean,,0
05005173,auto-exclude,unusual_property_type:540 - Not Valued Resd. (H.O.A)|lot_area_remnant:810sf<1000sf_threshold,2
05005167,clean,,0
05005168,clean,,0
05005170,clean,,0
05005171,clean,,0
05005172,clean,,0
03063025,clean,,0
05005155,clean,,0
05005176,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A)|lot_area_marginal:1739sf<2000sf_threshold,2
05005154,clean,,0
05005153,clean,,0
05005152,clean,,0
05005078,clean,,0
05005178,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
05005080,clean,,0
05005071,clean,,0
05014014,clean,,0
02062001,clean,,0
05005091,clean,,0
05014007,clean,,0
05005090,clean,,0
05014005,clean,,0
05014016,clean,,0
05005200,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
05014017,clean,,0
05014001,clean,,0
05015012,clean,,0
05014026,clean,,0
05015004,clean,,0
05015014,clean,,0
05015001,clean,,0
05015023,clean,,0
05015025,clean,,0
05030008,clean,,0
02062003,clean,,0
05005177,auto-exclude,unusual_property_type:540 - Not Valued Resd. (H.O.A)|lot_area_remnant:707sf<1000sf_threshold,2
02062008,clean,,0
02062007,clean,,0
05005068,clean,,0
05005067,clean,,0
05005066,clean,,0
05005065,clean,,0
05005064,clean,,0
05005063,clean,,0
05005062,clean,,0
05030011,clean,,0
05010004,clean,,0
05010011,clean,,0
05010016,clean,,0
05010012,clean,,0
05010013,clean,,0
05010014,clean,,0
05012005,clean,,0
05010015,clean,,0
05010002,clean,,0
05012004,clean,,0
05012003,clean,,0
05036003,clean,,0
05037009,clean,,0
05037010,clean,,0
05037005,clean,,0
05037011,clean,,0
05037004,clean,,0
05037012,clean,,0
05037003,clean,,0
05037002,clean,,0
05038006,clean,,0
05038005,clean,,0
05038004,clean,,0
05012013,clean,,0
05010003,clean,,0
05012006,clean,,0
05010001,clean,,0
05036006,clean,,0
05037008,clean,,0
05037007,clean,,0
05037013,clean,,0
05030003,clean,,0
05030014,clean,,0
05030017,clean,,0
05030018,clean,,0
05012008,clean,,0
05030019,clean,,0
05030020,clean,,0
05033013,clean,,0
05034004,clean,,0
05033009,clean,,0
05034018,clean,,0
05033008,clean,,0
05033007,clean,,0
05034007,clean,,0
05033006,clean,,0
05034008,clean,,0
05034009,clean,,0
05035013,clean,,0
05035010,clean,,0
05035014,clean,,0
05035009,clean,,0
05035008,clean,,0
05036010,clean,,0
05036011,clean,,0
05038008,clean,,0
05038007,clean,,0
05030016,clean,,0
05033011,clean,,0
05033012,clean,,0
05031002,clean,,0
05032005,flag-for-review,unknown_property_type:213-Small office,1
05032006,clean,,0
05034019,clean,,0
05033014,clean,,0
05034017,clean,,0
05035012,clean,,0
05033005,clean,,0
05035011,clean,,0
05036012,clean,,0
05036001,clean,,0
05038009,clean,,0
05005061,clean,,0
05005060,clean,,0
05005059,clean,,0
05005058,clean,,0
05031004,clean,,0
05031003,clean,,0
05030013,clean,,0
05005057,clean,,0
05038003,clean,,0
05005182,clean,,0
05005118,clean,,0
05005001,clean,,0
05005007,clean,,0
05005008,clean,,0
05005009,clean,,0
05014034,clean,,0
05014033,clean,,0
08001036,clean,,0
08001035,clean,,0
08001034,clean,,0
08001042,clean,,0
08001041,clean,,0
08001040,clean,,0
08001039,clean,,0
08001038,clean,,0
08001037,clean,,0
08001052,clean,,0
08001051,clean,,0
08001050,clean,,0
08001049,clean,,0
08001048,clean,,0
08001047,clean,,0
08001046,clean,,0
08001045,clean,,0
08001044,clean,,0
08001043,clean,,0
05012001,clean,,0
05012012,clean,,0
05012015,clean,,0
05012011,clean,,0
05012002,clean,,0
05012014,clean,,0
05012009,clean,,0
05013006,clean,,0
05013038,auto-exclude,unusual_property_type:540 - Not Valued Resd. (H.O.A)|lot_area_marginal:1207sf<2000sf_threshold|lot_width_remnant:6.0ft<15ft_threshold,3
05013005,clean,,0
05013010,clean,,0
05013004,clean,,0
05013001,clean,,0
05013003,clean,,0
05013035,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
05013034,clean,,0
05013033,clean,,0
05013032,clean,,0
05013031,clean,,0
05013030,clean,,0
05013029,clean,,0
05013028,clean,,0
05013027,clean,,0
05013026,clean,,0
05013025,clean,,0
05013024,clean,,0
05013023,clean,,0
05013011,clean,,0
05013012,clean,,0
05013013,clean,,0
05013022,clean,,0
05013021,clean,,0
05013020,clean,,0
05013019,clean,,0
05013014,clean,,0
05013018,clean,,0
05013017,clean,,0
05013016,clean,,0
05013015,clean,,0
05013002,clean,,0
05012016,clean,,0
05007006,clean,,0
05007005,clean,,0
05007004,clean,,0
05007007,clean,,0
05007003,clean,,0
05007014,clean,,0
05007008,clean,,0
05007012,clean,,0
05007009,clean,,0
05007010,clean,,0
05007011,clean,,0
02063007,clean,,0
02063008,clean,,0
02063004,clean,,0
02063006,clean,,0
02063012,clean,,0
02063003,clean,,0
02063010,clean,,0
02063009,clean,,0
05005102,clean,,0
05005006,clean,,0
05005005,clean,,0
05011001,clean,,0
05011002,clean,,0
05011028,clean,,0
05011003,clean,,0
05011018,clean,,0
05011027,clean,,0
05011004,clean,,0
05011019,clean,,0
05011026,clean,,0
05011017,clean,,0
05011005,clean,,0
05011020,clean,,0
05011006,clean,,0
05011025,clean,,0
05011016,clean,,0
05011021,clean,,0
05011024,clean,,0
05011015,clean,,0
05011022,clean,,0
05011014,clean,,0
05011007,clean,,0
05011023,clean,,0
05011008,clean,,0
05011009,clean,,0
05011032,clean,,0
05011029,clean,,0
05011010,clean,,0
05011011,clean,,0
05011012,clean,,0
05005184,clean,,0
