parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
02061009,"4728 26Th St N, Arlington VA 22207",Old Dominion,R-6,False,4792.0,33.5,False,1909.0,511-Single Family Detached,316.0,,664400.0,75100.0,1437.6,3594.0,35,3278.0,8.79243183082916,underdeveloped,estimated_from_improvement_value,333290.6956037841,454487.3121869783,238.01,216.42,259.61,19
02061006,"2531 N Glebe Rd, Arlington VA 22207",Old Dominion,R-6,False,8164.0,58.0,False,1930.0,511-Single Family Detached,178.0,,783800.0,42400.0,2449.2,6123.0,35,5945.0,2.907071696880614,underdeveloped,estimated_from_improvement_value,418557.9046219174,570760.7790298873,238.01,216.42,259.61,19
05005159,"2477 N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,False,2237.0,23.4,False,1985.0,512-Townhouse (fee simple own),2126.0,,560000.0,506000.0,559.25,1398.125,35,-727.875,152.06079570853822,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
03063029,"4701 25Th St N, Arlington VA 22207",Old Dominion,R-6,False,11563.0,49.5,False,1952.0,511-Single Family Detached,2265.0,,911700.0,539000.0,2520.0,6300.0,35,4035.0,35.95238095238095,underdeveloped,estimated_from_improvement_value,321157.1785714286,437941.60714285716,238.01,216.42,259.61,19
03063028,"4705 25Th St N, Arlington VA 22207",Old Dominion,R-6,False,11178.0,49.6,False,2024.0,511-Single Family Detached,7670.0,,907100.0,1825500.0,2520.0,6300.0,35,-1370.0,121.74603174603173,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
05005165,"2465 N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,False,2693.0,23.6,False,1986.0,512-Townhouse (fee simple own),3273.0,,560000.0,778900.0,673.25,1683.125,35,-1589.875,194.4597103601931,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
05005174,"N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,True,67121.0,107.8,True,,540 - Not Valued Resd. (H.O.A),,,100.0,0.0,2800.0,7000.0,35,7000.0,0.0,vacant,not_available,55.00000000000001,75.0,238.01,216.42,259.61,19
05005162,"2471 N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,False,4345.0,37.1,False,1985.0,512-Townhouse (fee simple own),3655.0,,560000.0,869900.0,1086.25,2715.625,35,-939.375,134.59148446490218,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
05005161,"2473 N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,False,2329.0,23.4,False,1985.0,512-Townhouse (fee simple own),2444.0,,560000.0,581700.0,582.25,1455.625,35,-988.375,167.90038643194504,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
05005160,"2475 N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,False,2186.0,23.5,False,1985.0,512-Townhouse (fee simple own),1947.0,,560000.0,463400.0,546.5,1366.25,35,-580.75,142.50686184812443,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
05005158,"2479 N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,False,2405.0,23.2,False,1985.0,512-Townhouse (fee simple own),2097.0,,560000.0,499100.0,601.25,1503.125,35,-593.875,139.50935550935552,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
05005157,"2481 N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,False,4119.0,37.4,False,1985.0,512-Townhouse (fee simple own),2886.0,,560000.0,686900.0,1029.75,2574.375,35,-311.625,112.1048798252003,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
03063030,"4675 25Th St N, Arlington VA 22207",Old Dominion,R-6,True,17112.0,121.1,True,,215-Gen Comm - other,8072.0,,696300.0,1921100.0,2520.0,6300.0,35,-1772.0,128.12698412698413,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
05005163,"2469 N Wakefield Ct, Arlington VA 22207",Old Dominion,R-8,False,4309.6,41.2,False,1986.0,512-Townhouse (fee simple own),2886.0,,560000.0,686800.0,1077.4,2693.5,35,-192.5,107.14683497308334,overdeveloped,estimated_from_improvement_value,,,238.01,216.42,259.61,19
