parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
03066016,"3812 N Ridgeview Rd, Arlington VA 22207",Old Glebe,R-10,True,11011.4,102.9,True,1964.0,511-Single Family Detached,1216.0,,967400.0,281400.0,2752.85,6882.125,35,5666.125,17.668961258332274,underdeveloped,estimated_from_improvement_value,438058.75783279154,597352.8515901703,231.45,163.25,299.65,53
03066017,"3818 N Ridgeview Rd, Arlington VA 22207",Old Glebe,R-10,True,16215.0,93.5,True,1964.0,511-Single Family Detached,1444.0,,1000400.0,334100.0,3500.0,8750.0,35,7306.0,16.502857142857145,underdeveloped,estimated_from_improvement_value,459417.97942857153,626479.0628571429,231.45,163.25,299.65,53
03066089,"4211 38Th Rd N, Arlington VA 22207",Old Glebe,R-10,True,55860.0,98.8,True,,540 - Not Valued Resd. (H.O.A),,,100.0,0.0,3500.0,8750.0,35,8750.0,0.0,vacant,not_available,55.00000000000001,75.0,231.45,163.25,299.65,53
03066033,"4464 N Old Glebe Rd, Arlington VA 22207",Old Glebe,R-10,True,27451.0,109.4,True,1924.0,511-Single Family Detached,563.0,,1224400.0,130200.0,3500.0,8750.0,35,8187.0,6.434285714285714,underdeveloped,estimated_from_improvement_value,630090.2331428572,859213.9542857143,231.45,163.25,299.65,53
03066032,"4452 N Old Glebe Rd, Arlington VA 22207",Old Glebe,R-10,False,14905.0,90.4,True,1920.0,511-Single Family Detached,462.0,,1015500.0,106900.0,3500.0,8750.0,35,8288.0,5.28,underdeveloped,estimated_from_improvement_value,529034.8800000001,721411.2000000001,231.45,163.25,299.65,53
03066107,"N Randolph Ct, Arlington VA 22207",Old Glebe,R-10,True,23526.0,68.3,False,,540 - Not Valued Resd. (H.O.A),,,,,3500.0,8750.0,35,,,near-capacity,,,,231.45,163.25,299.65,53
03066098,"3818 N Randolph Ct, Arlington VA 22207",Old Glebe,R-10,False,5342.0,53.7,False,2001.0,512-Townhouse (fee simple own),6337.0,,725000.0,1466800.0,1335.5,3338.75,35,-2998.25,189.80157244477724,overdeveloped,estimated_from_improvement_value,,,231.45,163.25,299.65,53
03066104,"N Randolph Ct, Arlington VA 22207",Old Glebe,R-10,True,13401.0,49.5,False,,540 - Not Valued Resd. (H.O.A),,,,,3350.25,8375.625,35,,,near-capacity,,,,231.45,163.25,299.65,53
03066101,"3823 N Randolph Ct, Arlington VA 22207",Old Glebe,R-10,False,5061.0,46.1,False,2001.0,512-Townhouse (fee simple own),6372.0,,725000.0,1474700.0,1265.25,3163.125,35,-3208.875,201.4463544754001,overdeveloped,estimated_from_improvement_value,,,231.45,163.25,299.65,53
03066106,"N Randolph Ct, Arlington VA 22207",Old Glebe,R-10,True,7163.0,54.3,False,,540 - Not Valued Resd. (H.O.A),,,,,1790.75,4476.875,35,,,near-capacity,,,,231.45,163.25,299.65,53
