parcel_id,quality_tier,anomaly_flags,anomaly_count
17004016,flag-for-review,unknown_property_type:111-Off bldg < 7 stories,1
17004015,clean,,0
17003029,clean,,0
17004014,clean,,0
17004007,clean,,0
17004008,clean,,0
17004009,clean,,0
17004010,clean,,0
17004023,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
17004011,clean,,0
17004012,clean,,0
17004013,clean,,0
17003025,clean,,0
17002004,clean,,0
17002005,clean,,0
17002007,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
17003030,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
17003031,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
17001009,clean,,0
17001010,clean,,0
17001011,clean,,0
17039PCA,clean,,0
17026013,clean,,0
17026011,clean,,0
17026010,clean,,0
17022008,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17022011,flag-for-review,unknown_property_type:528-SFD/Apt Zone no site plan,1
17026009,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17022012,flag-for-review,unknown_property_type:528-SFD/Apt Zone no site plan,1
17026008,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17026012,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17022010,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17022009,clean,,0
17022PCA,clean,,0
17010PCB,clean,,0
17006004,clean,,0
17006006,flag-for-review,unknown_property_type:301-MultiFam-VacLand-site plan,1
17007PCA,clean,,0
17006007,auto-exclude,nonresidential_property_type:300-MultiFam-VacLand-no s.plan,1
17003012,clean,,0
17007009,clean,,0
17003011,clean,,0
17003299,clean,,0
17003300,clean,,0
17026066,flag-for-review,unusual_property_type:540 - Not Valued Resd. (H.O.A),1
17026055,clean,,0
17026056,clean,,0
17026057,clean,,0
17026058,clean,,0
17026059,clean,,0
17026060,clean,,0
17026061,clean,,0
17026062,clean,,0
17026063,clean,,0
17026064,clean,,0
17006005,flag-for-review,unknown_property_type:301-MultiFam-VacLand-site plan,1
17006003,flag-for-review,unknown_property_type:301-MultiFam-VacLand-site plan,1
17006001,clean,,0
17006002,clean,,0
17003041,clean,,0
17003010,clean,,0
17026014,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17003298,clean,,0
17003032,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
17003024,clean,,0
17003023,clean,,0
17003033,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
17002002,clean,,0
17003PCA,clean,,0
17032008,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
17001012,auto-exclude,nonresidential_property_type:310-Apartment Parking,1
17041PCA,clean,,0
17001013,clean,,0
17040PCA,clean,,0
17042PCA,clean,,0
17002015,flag-for-review,unknown_property_type:101-Off Bldg-VacLand-site plan,1
17026PCB,clean,,0
17022002,clean,,0
17015010,clean,,0
17015005,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
17015004,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
17015002,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
17014005,flag-for-review,unknown_property_type:112-Off bldg 7+ stories,1
17015009,auto-exclude,nonresidential_property_type:210-General Comm Parking,1
17015008,auto-exclude,nonresidential_property_type:210-General Comm Parking,1
17015007,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
17022001,clean,,0
17015PLA,clean,,0
17014001,flag-for-review,unknown_property_type:313-Apartment - High-rise,1
17015003,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
17015001,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
17013015,clean,,0
17013006,clean,,0
17020005,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17020010,clean,,0
17021004,flag-for-review,unknown_property_type:312-Apartment - Mid-rise,1
17015011,auto-exclude,nonresidential_property_type:215-Gen Comm - other,1
17020006,clean,,0
17022004,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17022032,clean,,0
17022033,clean,,0
17022036,clean,,0
17022040,clean,,0
17022041,clean,,0
17022042,clean,,0
17022043,clean,,0
17022037,clean,,0
17022038,clean,,0
17022039,clean,,0
17022034,clean,,0
17022035,clean,,0
17020003,clean,,0
17019PCA,clean,,0
17022044,clean,,0
17022045,clean,,0
17026PCA,clean,,0
17026065,clean,,0
17026019,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17032022,clean,,0
17032023,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17032027,flag-for-review,unknown_property_type:301-MultiFam-VacLand-site plan,1
17032026,flag-for-review,unknown_property_type:312-Apartment - Mid-rise,1
17032PCB,clean,,0
17032001,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17032147,clean,,0
17032148,clean,,0
17032020,flag-for-review,unknown_property_type:528-SFD/Apt Zone no site plan,1
17032146,clean,,0
17032019,flag-for-review,unknown_property_type:312-Apartment - Mid-rise,1
17032007,flag-for-review,unknown_property_type:311-Apartment - Garden,1
17032006,flag-for-review,unknown_property_type:311-Apartment - Garden,1
