parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,property_type,land_value,improvement_value,development_status
17004016,"1550 Wilson Blvd, Arlington VA 22209",Radnor/Ft.Myer Heights,C-O,False,111-Off bldg < 7 stories,6659500.0,16429500.0,unknown
17004015,,Radnor/Ft.Myer Heights,C-O,False,,1740500.0,0.0,unknown
17003029,,Radnor/Ft.Myer Heights,C-O,False,,7065200.0,26702200.0,unknown
17004014,,Radnor/Ft.Myer Heights,C-O,False,,3012400.0,8692800.0,unknown
17004007,,Radnor/Ft.Myer Heights,RA-H-3.2,True,,2025000.0,4002600.0,unknown
17004008,,Radnor/Ft.Myer Heights,RA-H-3.2,True,,2025000.0,4002600.0,unknown
17004009,,Radnor/Ft.Myer Heights,RA-H-3.2,True,,2025000.0,4002600.0,unknown
17004010,,Radnor/Ft.Myer Heights,RA-H-3.2,True,,2025000.0,4203600.0,unknown
17004023,"1527 Clarendon Blvd, Arlington VA 22209",Radnor/Ft.Myer Heights,C-O,False,215-Gen Comm - other,548200.0,504800.0,unknown
17004011,,Radnor/Ft.Myer Heights,RA-H-3.2,True,,1546300.0,0.0,unknown
17004012,,Radnor/Ft.Myer Heights,RA-H-3.2,True,,1546300.0,0.0,unknown
17004013,,Radnor/Ft.Myer Heights,RA-H-3.2,True,,1730500.0,0.0,unknown
17003025,,Radnor/Ft.Myer Heights,RA-H-3.2,True,,5500000.0,31416000.0,unknown
17002004,,Radnor/Ft.Myer Heights,C-O,False,,11326000.0,16736100.0,unknown
17002005,,Radnor/Ft.Myer Heights,C-O,False,,16815500.0,41701800.0,unknown
17002007,"1200 Wilson Blvd, Arlington VA 22209",Radnor/Ft.Myer Heights,C-O,False,112-Off bldg 7+ stories,8741500.0,4383200.0,unknown
17003030,"1300 Wilson Blvd, Arlington VA 22209",Radnor/Ft.Myer Heights,C-O,True,112-Off bldg 7+ stories,21796800.0,93591900.0,unknown
17003031,"17Th St N, Arlington VA 22209",Radnor/Ft.Myer Heights,C-O,True,101-Off Bldg-VacLand-site plan,8915500.0,45141700.0,unknown
17001009,,Radnor/Ft.Myer Heights,C-O-2.5,True,,100.0,0.0,unknown
17001010,,Radnor/Ft.Myer Heights,C-O,True,,32959000.0,116276600.0,unknown
17001011,,Radnor/Ft.Myer Heights,C-O,True,,35841800.0,161243100.0,unknown
17039PCA,,Radnor/Ft.Myer Heights,RA4.8,True,,,,unknown
17026013,,Radnor/Ft.Myer Heights,RA6-15,False,,475800.0,248000.0,unknown
17026011,,Radnor/Ft.Myer Heights,RA6-15,False,,451100.0,762800.0,unknown
17026010,,Radnor/Ft.Myer Heights,RA6-15,False,,503300.0,508300.0,unknown
17022008,"1510 N Rolfe St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA8-18,False,311-Apartment - Garden,847000.0,889800.0,unknown
17022011,"1509 N Scott St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA8-18,False,528-SFD/Apt Zone no site plan,,,unknown
17026009,"1505 N Rhodes St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA6-15,False,311-Apartment - Garden,503300.0,319000.0,unknown
17022012,"1505 N Scott St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA8-18,False,528-SFD/Apt Zone no site plan,,,unknown
17026008,"1501 N Rhodes St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA6-15,False,311-Apartment - Garden,468600.0,636500.0,unknown
17026012,"1517 N Rhodes St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA6-15,False,311-Apartment - Garden,540600.0,573500.0,unknown
17022010,"1828 16Th St N, Arlington VA 22209",Radnor/Ft.Myer Heights,RA8-18,False,311-Apartment - Garden,607400.0,1202000.0,unknown
17022009,,Radnor/Ft.Myer Heights,RA8-18,False,,556600.0,473700.0,unknown
17022PCA,,Radnor/Ft.Myer Heights,RA8-18,False,,,,unknown
17010PCB,,Radnor/Ft.Myer Heights,C-O-2.5,True,,,,unknown
17006004,,Radnor/Ft.Myer Heights,RA4.8,False,,2413600.0,0.0,unknown
17006006,"Clarendon Blvd, Arlington VA 22209",Radnor/Ft.Myer Heights,RA4.8,False,301-MultiFam-VacLand-site plan,1474000.0,0.0,unknown
17007PCA,,Radnor/Ft.Myer Heights,RA6-15,False,,,,unknown
17006007,"1555 16Th Rd N, Arlington VA 22209",Radnor/Ft.Myer Heights,RA4.8,False,300-MultiFam-VacLand-no s.plan,1624800.0,0.0,unknown
17003012,,Radnor/Ft.Myer Heights,RA4.8,False,,6677000.0,0.0,unknown
17007009,,Radnor/Ft.Myer Heights,RA6-15,False,,920900.0,134600.0,unknown
17003011,,Radnor/Ft.Myer Heights,RA4.8,False,,2529200.0,0.0,unknown
17003299,,Radnor/Ft.Myer Heights,RA4.8,False,,316000.0,0.0,unknown
17003300,,Radnor/Ft.Myer Heights,RA4.8,False,,316000.0,0.0,unknown
17026066,"N Quinn St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA6-15,False,540 - Not Valued Resd. (H.O.A),100.0,0.0,unknown
17026055,"1470 N Quinn St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA6-15,False,512-Townhouse (fee simple own),650000.0,315800.0,unknown
17026056,"1468 N Quinn St, Arlington VA 22209",Radnor/Ft.Myer Heights,RA6-15,False,512-Townhouse (fee simple own),650000.0,270600.0,unknown
