parcel_id,quality_tier,anomaly_flags,anomaly_count
04037005,clean,,0
04034010,clean,,0
04037006,clean,,0
04034007,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.2_low_value=-1031,1
04037007,clean,,0
04037021,clean,,0
04037023,clean,,0
04037022,clean,,0
04037013,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.7_low_value=1384|statistical_outlier:est_value_high_z=-2.8_low_value=124478,2
04037012,clean,,0
04037004,clean,,0
04034011,clean,,0
04037003,clean,,0
04034012,clean,,0
04034005,clean,,0
04037002,clean,,0
04034013,clean,,0
04034004,clean,,0
04034014,clean,,0
04034002,clean,,0
04003003,clean,,0
04003040,clean,,0
04034006,clean,,0
04037001,clean,,0
04034003,clean,,0
04035008,clean,,0
04034015,clean,,0
04034001,clean,,0
04003002,clean,,0
04003001,clean,,0
04003004,clean,,0
04003041,clean,,0
04003039,clean,,0
04003038,clean,,0
04037015,clean,,0
04037024,clean,,0
04037019,clean,,0
04037009,clean,,0
04037025,clean,,0
04036010,clean,,0
04037026,clean,,0
04036008,clean,,0
04035010,clean,,0
04036007,clean,,0
04036014,clean,,0
04035011,clean,,0
04036020,clean,,0
04035012,clean,,0
04036015,clean,,0
04036016,clean,,0
04036005,clean,,0
04035013,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.8_low_value=-2305,1
04036004,clean,,0
04035014,clean,,0
04035004,clean,,0
04036003,clean,,0
04036023,clean,,0
04036002,clean,,0
04035002,clean,,0
04003006,clean,,0
04003008,clean,,0
04003009,clean,,0
04037017,clean,,0
04037016,clean,,0
04037008,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.9_low_value=-479,1
04037014,clean,,0
04037018,clean,,0
04037020,clean,,0
04037011,clean,,0
04037010,flag-for-review,statistical_outlier:est_value_high_z=-4.7_low_value=65793,1
04036011,clean,,0
04036009,clean,,0
04036012,clean,,0
04036013,clean,,0
04035009,clean,,0
04036018,clean,,0
04036019,clean,,0
04037027,clean,,0
04036006,clean,,0
04037028,clean,,0
04036017,clean,,0
04035007,flag-for-review,statistical_outlier:est_value_high_z=-4.9_low_value=49427,1
04035006,clean,,0
04036021,clean,,0
04037029,clean,,0
04035005,clean,,0
04036022,clean,,0
04037030,clean,,0
04003005,clean,,0
04035015,clean,,0
04035003,clean,,0
04037031,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.9_low_value=-2506,1
04035016,clean,,0
04035001,clean,,0
04036001,clean,,0
04003007,clean,,0
04003026,clean,,0
04003011,flag-for-review,statistical_outlier:est_value_high_z=-3.3_low_value=195019,1
04003012,clean,,0
04003037,clean,,0
04003033,clean,,0
04003032,clean,,0
04003015,clean,,0
04003016,clean,,0
04003031,clean,,0
04003030,clean,,0
04003017,clean,,0
04003028,clean,,0
04003018,clean,,0
04003025,clean,,0
04003020,clean,,0
04003021,clean,,0
04003010,clean,,0
04003013,clean,,0
04003035,clean,,0
04003014,clean,,0
04003034,clean,,0
04003036,clean,,0
04003029,clean,,0
04003027,clean,,0
04003019,clean,,0
04003024,clean,,0
04003023,clean,,0
04003022,clean,,0
04034009,clean,,0
04034008,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.2_low_value=-1054,1
