parcel_id,quality_tier,anomaly_flags,anomaly_count
04011071,clean,,0
04011057,clean,,0
04011060,clean,,0
04011061,clean,,0
04019017,clean,,0
04019024,clean,,0
04011056,clean,,0
04011069,clean,,0
04011070,clean,,0
04011076,clean,,0
04011068,clean,,0
04011075,clean,,0
04011066,clean,,0
04011072,clean,,0
04011074,clean,,0
04011073,clean,,0
04019015,clean,,0
04019016,clean,,0
04019018,clean,,0
04011062,clean,,0
04011063,clean,,0
04011064,clean,,0
04011065,clean,,0
04011059,clean,,0
04011049,clean,,0
04011055,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan|low_improvement_value:$13300<$30000_makes_gfa_estimate_unreliable,2
04011465,clean,,0
04011053,clean,,0
04011058,clean,,0
04011051,clean,,0
04011050,clean,,0
04019023,clean,,0
04019020,clean,,0
04019025,clean,,0
04011039,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.0_low_value=-10234,1
04011035,clean,,0
04019021,clean,,0
04019019,clean,,0
04011038,clean,,0
04019022,clean,,0
04019026,clean,,0
04011037,clean,,0
04011036,clean,,0
04019028,clean,,0
04011031,clean,,0
04011030,clean,,0
04011032,clean,,0
04011034,clean,,0
04011033,clean,,0
04011041,clean,,0
04011290,clean,,0
04011040,clean,,0
04011518,clean,,0
04011517,clean,,0
04011048,clean,,0
04011298,clean,,0
04011045,clean,,0
04011526,clean,,0
04011528,clean,,0
04011502,clean,,0
