parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
03017009,"3712 N Albemarle St, Arlington VA 22207",Rock Spring,R-10,False,11780.0,71.4,False,1954.0,511-Single Family Detached,3866.0,,959600.0,924600.0,2945.0,7362.5,35,3496.5,52.50933786078098,underdeveloped,estimated_from_improvement_value,250646.21663837016,341790.29541595926,239.15,164.75,313.56,89
03017010,"3706 N Albemarle St, Arlington VA 22207",Rock Spring,R-10,False,14681.0,72.9,False,1954.0,511-Single Family Detached,828.0,,994400.0,198000.0,3500.0,8750.0,35,7922.0,9.462857142857143,underdeveloped,estimated_from_improvement_value,495165.74171428574,675226.0114285714,239.15,164.75,313.56,89
03017035,"4801 37Th St N, Arlington VA 22207",Rock Spring,R-10,False,13830.0,73.6,False,1955.0,511-Single Family Detached,1948.0,,984200.0,465900.0,3457.5,8643.75,35,6695.75,22.53651482284888,underdeveloped,estimated_from_improvement_value,419317.59161243675,571796.715835141,239.15,164.75,313.56,89
03017012,"3706 N Glebe Rd, Arlington VA 22207",Rock Spring,R-10,False,11301.0,81.0,True,1955.0,511-Single Family Detached,1365.0,,858500.0,326500.0,2825.25,7063.125,35,5698.125,19.32572338731086,underdeveloped,estimated_from_improvement_value,380923.76559596503,519441.4985399522,239.15,164.75,313.56,89
03017013,"3700 N Glebe Rd, Arlington VA 22207",Rock Spring,R-10,False,10625.0,85.4,True,1955.0,511-Single Family Detached,901.0,,851200.0,215400.0,2656.25,6640.625,35,5739.625,13.568,underdeveloped,estimated_from_improvement_value,404640.0512000001,551781.888,239.15,164.75,313.56,89
03017002,"3707 N Delaware St, Arlington VA 22207",Rock Spring,R-10,False,11104.0,71.4,False,1955.0,511-Single Family Detached,2610.0,,951500.0,624300.0,2776.0,6940.0,35,4330.0,37.60806916426513,underdeveloped,estimated_from_improvement_value,326512.57204610953,445244.41642651294,239.15,164.75,313.56,89
03017008,"3743 N Delaware St, Arlington VA 22207",Rock Spring,R-10,False,10947.0,82.7,True,1954.0,511-Single Family Detached,1243.0,,949600.0,297300.0,2736.75,6841.875,35,5598.875,18.167534484333608,underdeveloped,estimated_from_improvement_value,427394.60089522245,582810.8194025761,239.15,164.75,313.56,89
03017011,"3700 N Albemarle St, Arlington VA 22207",Rock Spring,R-10,False,12397.0,100.1,True,1954.0,511-Single Family Detached,786.0,,918700.0,187900.0,3099.25,7748.125,35,6962.125,10.144389771718965,underdeveloped,estimated_from_improvement_value,454026.92014196987,619127.6183754134,239.15,164.75,313.56,89
03017037,"4813 37Th St N, Arlington VA 22207",Rock Spring,R-10,False,11851.0,77.8,False,1955.0,511-Single Family Detached,1150.0,,960500.0,275100.0,2962.75,7406.875,35,6256.875,15.526115939583157,underdeveloped,estimated_from_improvement_value,446254.4110201671,608528.7423002279,239.15,164.75,313.56,89
03012013,"3941 N Dumbarton St, Arlington VA 22207",Rock Spring,R-20,True,21210.0,80.6,False,,511-Single Family Detached,,,,,3393.6,8484.0,35,,,near-capacity,,,,239.15,164.75,313.56,89
03012029,"3600 N Dickerson St, Arlington VA 22207",Rock Spring,R-10,True,10000.0,79.5,False,2009.0,511-Single Family Detached,5857.0,,938300.0,1400600.0,2500.0,6250.0,35,393.0,93.71199999999999,near-capacity,estimated_from_improvement_value,32450.1672,44250.227999999996,239.15,164.75,313.56,89
03012031,"3548 N Dickerson St, Arlington VA 22207",Rock Spring,R-10,True,10000.0,79.4,False,1950.0,511-Single Family Detached,2114.0,,938300.0,505500.0,2500.0,6250.0,35,4136.0,33.824,underdeveloped,estimated_from_improvement_value,341511.1744,465697.056,239.15,164.75,313.56,89
03014004,"3916 N Dumbarton St, Arlington VA 22207",Rock Spring,R-20,True,23700.0,76.7,False,1949.0,511-Single Family Detached,1673.0,,924300.0,400200.0,3792.0,9480.0,35,7807.0,17.647679324894515,underdeveloped,estimated_from_improvement_value,418650.37500000006,570886.875,239.15,164.75,313.56,89
03012033,"3536 N Dickerson St, Arlington VA 22207",Rock Spring,R-10,True,10000.0,79.5,False,1950.0,511-Single Family Detached,1674.0,,938300.0,400300.0,2500.0,6250.0,35,4576.0,26.784000000000002,underdeveloped,estimated_from_improvement_value,377842.1504,515239.2959999999,239.15,164.75,313.56,89
03012035,"3524 N Dickerson St, Arlington VA 22207",Rock Spring,R-10,True,10000.0,79.1,False,1950.0,511-Single Family Detached,1952.0,,938300.0,466900.0,2500.0,6250.0,35,4298.0,31.232,underdeveloped,estimated_from_improvement_value,354887.57920000004,483937.608,239.15,164.75,313.56,89
03012037,"3512 N Dickerson St, Arlington VA 22207",Rock Spring,R-10,True,10000.0,79.3,False,1950.0,511-Single Family Detached,1854.0,,938300.0,443400.0,2500.0,6250.0,35,4396.0,29.664,underdeveloped,estimated_from_improvement_value,362979.4784,494972.01599999995,239.15,164.75,313.56,89
02001002,"5298 Old Dominion Dr, Arlington VA 22207",Rock Spring,R-20,True,25695.0,127.3,True,2004.0,511-Single Family Detached,4414.0,,917000.0,1055500.0,4111.2,10278.0,35,5864.0,42.94609846273595,underdeveloped,estimated_from_improvement_value,287751.3524031913,392388.20782253356,239.15,164.75,313.56,89
03014003,"N Dumbarton St, Arlington VA 22207",Rock Spring,R-20,False,8800.0,45.7,False,,511-Single Family Detached,,,343200.0,0.0,1408.0,3520.0,35,3520.0,0.0,vacant,not_available,188760.00000000003,257400.0,239.15,164.75,313.56,89
03016001,"3555 N Dickerson St, Arlington VA 22207",Rock Spring,R-10,False,10452.0,88.9,True,2016.0,511-Single Family Detached,5948.0,,943700.0,1422400.0,2613.0,6532.5,35,584.5,91.05243015690777,near-capacity,estimated_from_improvement_value,46441.01913509376,63328.66245694603,239.15,164.75,313.56,89
