parcel_id,quality_tier,anomaly_flags,anomaly_count
09008007,clean,,0
09008009,clean,,0
09008006,clean,,0
09008008,clean,,0
10012003,clean,,0
10012024,clean,,0
10012004,clean,,0
10012023,clean,,0
10013003,clean,,0
10012005,clean,,0
10013022,clean,,0
10012022,clean,,0
10013004,clean,,0
10013021,clean,,0
10012021,clean,,0
10013005,clean,,0
10015003,clean,,0
10013020,clean,,0
10015030,clean,,0
10012020,clean,,0
10013006,clean,,0
10015004,clean,,0
10015029,clean,,0
10013019,clean,,0
10012019,clean,,0
10013007,clean,,0
10015005,clean,,0
10040016,clean,,0
10015028,clean,,0
10013018,clean,,0
10012018,clean,,0
10013008,clean,,0
10015006,clean,,0
10040017,clean,,0
10015027,clean,,0
10013017,clean,,0
10040018,clean,,0
10015026,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.8_low_value=-483,1
10013016,clean,,0
10013010,clean,,0
10015008,clean,,0
10012002,clean,,0
10012001,clean,,0
10013002,clean,,0
10013001,clean,,0
10015002,clean,,0
10015001,clean,,0
10040015,clean,,0
10040013,clean,,0
10013009,clean,,0
10015007,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=77232,1
10016057,clean,,0
10016059,clean,,0
10016054,clean,,0
10016061,clean,,0
10016058,clean,,0
09008005,clean,,0
09008004,clean,,0
09008003,flag-for-review,statistical_outlier:est_value_high_z=-2.5_low_value=105414,1
09008012,clean,,0
09008002,clean,,0
09008013,clean,,0
09008014,clean,,0
09008015,clean,,0
09009010,clean,,0
09008019,clean,,0
09008016,clean,,0
09009007,clean,,0
09008018,clean,,0
09009011,clean,,0
09006002,clean,,0
09009012,clean,,0
09010008,clean,,0
09007007,clean,,0
09009013,clean,,0
09005002,flag-for-review,statistical_outlier:est_value_high_z=-3.1_low_value=34147,1
09006012,clean,,0
09009004,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=99691,1
09005004,clean,,0
09009003,clean,,0
09006006,clean,,0
09005015,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=-657,1
09005005,clean,,0
09006010,clean,,0
09010003,clean,,0
09005014,clean,,0
09006008,clean,,0
09011004,clean,,0
09005006,clean,,0
09011006,flag-for-review,statistical_outlier:est_value_high_z=-2.9_low_value=41253,1
09011003,clean,,0
09005013,clean,,0
09010016,clean,,0
09010002,clean,,0
10012006,clean,,0
09011008,clean,,0
09005012,clean,,0
09011009,clean,,0
10012007,clean,,0
10012008,clean,,0
09005011,clean,,0
09012008,clean,,0
09005009,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=-641,1
10012009,clean,,0
09012007,clean,,0
09012006,clean,,0
10012010,clean,,0
09012004,clean,,0
10012017,clean,,0
09012012,clean,,0
09012013,clean,,0
10012016,clean,,0
09012014,clean,,0
10012012,clean,,0
09008010,clean,,0
09008011,clean,,0
09008001,clean,,0
09009009,clean,,0
09008020,clean,,0
09007002,clean,,0
09009008,clean,,0
09007001,clean,,0
09007003,clean,,0
09006003,clean,,0
09007008,clean,,0
09007004,clean,,0
09009006,clean,,0
09010009,clean,,0
09006001,clean,,0
09008017,clean,,0
09006004,clean,,0
09009005,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.5_low_value=-1479,1
09005003,clean,,0
09007005,clean,,0
09010010,clean,,0
09005001,clean,,0
09006005,flag-for-review,statistical_outlier:est_value_high_z=-2.8_low_value=61256,1
09007006,clean,,0
09006011,clean,,0
09010012,clean,,0
09009002,clean,,0
09006007,clean,,0
09011005,clean,,0
09010013,flag-for-review,statistical_outlier:est_value_high_z=-2.5_low_value=103272,1
09009001,clean,,0
09006009,clean,,0
09010015,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.8_low_value=-1819,1
09010014,clean,,0
09011007,clean,,0
09005007,clean,,0
09011002,clean,,0
09010001,clean,,0
09011001,clean,,0
09005008,clean,,0
09011010,clean,,0
09012009,clean,,0
09012002,clean,,0
09012010,clean,,0
09012003,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=66032,1
09005010,clean,,0
09012005,clean,,0
09012011,clean,,0
10012011,clean,,0
09012001,clean,,0
09012018,clean,,0
09010007,clean,,0
09010011,flag-for-review,statistical_outlier:est_value_high_z=-3.1_low_value=36320,1
09010006,clean,,0
09010018,clean,,0
09010017,clean,,0
09010019,clean,,0
09009014,clean,,0
09009015,clean,,0
09009016,clean,,0
10016006,clean,,0
10015025,clean,,0
10013015,clean,,0
10015009,clean,,0
10016028,clean,,0
10040009,clean,,0
10015024,clean,,0
10016007,clean,,0
10015010,clean,,0
10013012,clean,,0
10015023,clean,,0
10016008,clean,,0
10015011,clean,,0
10016026,clean,,0
10015022,clean,,0
10040022,clean,,0
10016009,clean,,0
10014007,clean,,0
10040006,clean,,0
10016025,clean,,0
10015021,clean,,0
10040023,clean,,0
10015013,clean,,0
10016010,clean,,0
10016033,clean,,0
10014010,clean,,0
10040005,clean,,0
10016024,clean,,0
10016052,clean,,0
10015020,clean,,0
10014006,clean,,0
10016011,clean,,0
10016034,clean,,0
10040024,clean,,0
10015015,clean,,0
10016051,clean,,0
10015019,clean,,0
10014011,clean,,0
10016012,clean,,0
10016035,clean,,0
10014005,clean,,0
10040003,clean,,0
10016050,clean,,0
10016022,flag-for-review,statistical_outlier:est_value_high_z=-3.3_low_value=2209,1
10015018,clean,,0
10016013,clean,,0
10015016,clean,,0
10014004,clean,,0
10016049,clean,,0
10016021,clean,,0
10016037,clean,,0
10016014,clean,,0
10016020,clean,,0
10016048,clean,,0
10014003,clean,,0
10016038,clean,,0
10016015,clean,,0
10014013,clean,,0
10016019,clean,,0
10016047,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.8_low_value=-490,1
10014014,clean,,0
10016039,clean,,0
10016017,clean,,0
10016046,clean,,0
10016040,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.7_low_value=-353,1
10014002,clean,,0
10014015,clean,,0
10016045,clean,,0
10039011,clean,,0
10016042,clean,,0
10039010,clean,,0
10016043,clean,,0
10039009,clean,,0
09019002,clean,,0
10039008,clean,,0
10039007,clean,,0
10039017,clean,,0
10039006,clean,,0
10039018,clean,,0
10039005,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.6_low_value=-197,1
10039019,clean,,0
10023015,clean,,0
10039030,clean,,0
10023014,clean,,0
10023013,clean,,0
10023012,clean,,0
10023019,clean,,0
10039025,clean,,0
10023011,clean,,0
10023010,clean,,0
10039026,clean,,0
10039027,clean,,0
10023009,clean,,0
10023008,clean,,0
10016002,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.9_low_value=-576,1
10016029,clean,,0
10016001,clean,,0
10013011,clean,,0
10016030,clean,,0
10013014,clean,,0
10016003,clean,,0
10016027,clean,,0
10016004,clean,,0
10016031,clean,,0
10013013,clean,,0
10015012,clean,,0
10016032,clean,,0
