parcel_id,quality_tier,anomaly_flags,anomaly_count
07009020,clean,,0
07009017,clean,,0
07009021,clean,,0
07009016,clean,,0
07017010,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=104953,1
07009015,clean,,0
07017011,clean,,0
07011006,clean,,0
07011005,clean,,0
07011003,clean,,0
07009014,clean,,0
07009023,clean,,0
07011001,clean,,0
07017008,clean,,0
07009013,clean,,0
07009024,clean,,0
07017013,clean,,0
07017007,clean,,0
07017014,clean,,0
07009012,clean,,0
07009025,clean,,0
07016012,clean,,0
07016009,clean,,0
07017006,clean,,0
07018011,clean,,0
07017015,clean,,0
07009011,clean,,0
07016013,clean,,0
07016008,clean,,0
07009026,clean,,0
07017005,clean,,0
07014004,clean,,0
07018014,clean,,0
07018017,clean,,0
07017016,clean,,0
07018020,clean,,0
07016007,clean,,0
07018015,clean,,0
07018010,clean,,0
07016014,clean,,0
07009010,clean,,0
07009027,clean,,0
07018016,clean,,0
07014003,clean,,0
07017017,clean,,0
07016006,clean,,0
07016015,clean,,0
07018009,clean,,0
07009009,clean,,0
07014002,clean,,0
07017018,clean,,0
07016005,clean,,0
07017002,clean,,0
07016016,clean,,0
07009008,clean,,0
07018002,clean,,0
07018003,clean,,0
07018004,flag-for-review,statistical_outlier:available_gfa_sf_z=-3.1_low_value=-787,1
07009029,clean,,0
07018005,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=99452,1
07018006,clean,,0
07016004,clean,,0
07018007,clean,,0
07016017,clean,,0
07009007,clean,,0
07016003,clean,,0
07009030,clean,,0
07016018,clean,,0
07016002,clean,,0
07009006,clean,,0
07009031,clean,,0
07016019,clean,,0
07015003,clean,,0
07019007,clean,,0
07019006,clean,,0
07019008,clean,,0
07019005,clean,,0
07019004,clean,,0
07019003,clean,,0
07009005,clean,,0
07015002,clean,,0
07009004,clean,,0
07015016,clean,,0
07015017,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.9_low_value=-464,1
07009033,clean,,0
07019012,clean,,0
07019013,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=100246,1
07019014,flag-for-review,statistical_outlier:est_value_high_z=-2.8_low_value=81598,1
07019015,clean,,0
07019016,clean,,0
07019017,clean,,0
07019018,clean,,0
07019019,clean,,0
07009003,clean,,0
07009034,clean,,0
07009019,clean,,0
07017009,clean,,0
07011007,clean,,0
07017012,clean,,0
07016010,clean,,0
07011002,clean,,0
07016011,clean,,0
07018012,clean,,0
07018013,clean,,0
07014005,clean,,0
07018018,clean,,0
07018019,clean,,0
07017004,clean,,0
07017003,clean,,0
07018021,clean,,0
07018001,clean,,0
07014001,clean,,0
07018008,clean,,0
07017001,clean,,0
07015004,clean,,0
07015005,clean,,0
07019010,clean,,0
07016001,clean,,0
07019009,clean,,0
07019002,clean,,0
07016020,clean,,0
07009032,clean,,0
07019011,clean,,0
07015001,clean,,0
07019001,clean,,0
07014006,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.8_low_value=-291,1
07014007,clean,,0
07014010,clean,,0
07014011,clean,,0
07014012,clean,,0
07014013,clean,,0
07015009,clean,,0
07015008,flag-for-review,statistical_outlier:est_value_high_z=-2.6_low_value=102815,1
07015007,clean,,0
07015006,clean,,0
07015012,clean,,0
07015013,clean,,0
07015014,clean,,0
07015015,clean,,0
07014008,clean,,0
07014009,clean,,0
07015010,clean,,0
07015011,clean,,0
07009035,clean,,0
07021013,clean,,0
07021012,clean,,0
07021009,clean,,0
07021005,clean,,0
07021006,clean,,0
07021007,clean,,0
07022006,clean,,0
07022005,clean,,0
07022004,clean,,0
07022018,clean,,0
07023009,clean,,0
07023016,clean,,0
07023006,clean,,0
07023007,clean,,0
07023005,clean,,0
07023004,clean,,0
07022012,clean,,0
07022014,clean,,0
07022017,clean,,0
07023011,clean,,0
07023012,clean,,0
07023013,clean,,0
07023015,clean,,0
07023002,clean,,0
07024008,clean,,0
07026012,clean,,0
07026011,clean,,0
07026010,clean,,0
07026009,clean,,0
07026008,clean,,0
07026007,clean,,0
07026005,clean,,0
07026004,clean,,0
07026003,clean,,0
07026002,clean,,0
07026045,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=97326,1
07026046,clean,,0
07026043,flag-for-review,statistical_outlier:est_value_high_z=-3.1_low_value=32026,1
07026042,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=98422,1
07026047,flag-for-review,statistical_outlier:est_value_high_z=-2.7_low_value=88480,1
07026040,flag-for-review,statistical_outlier:est_value_high_z=-3.1_low_value=45332,1
07025007,clean,,0
07025004,clean,,0
07026024,clean,,0
07026025,clean,,0
07026026,clean,,0
07026029,clean,,0
07026030,clean,,0
07025003,clean,,0
07026031,clean,,0
07026032,clean,,0
07026033,clean,,0
07025008,clean,,0
07026034,clean,,0
07025009,clean,,0
07025002,clean,,0
07021010,clean,,0
07021011,clean,,0
07009001,clean,,0
07021008,clean,,0
07022003,clean,,0
07023017,clean,,0
07023003,clean,,0
07024006,clean,,0
07022001,clean,,0
07024007,clean,,0
