parcel_id,quality_tier,anomaly_flags,anomaly_count
07006252,clean,,0
07006253,clean,,0
07006186,clean,,0
07006188,clean,,0
07006174,auto-exclude,nonresidential_property_type:215-Gen Comm - other|statistical_outlier:est_value_high_z=7.3_high_value=1481886,2
07006342,clean,,0
07006184,flag-for-review,statistical_outlier:est_value_high_z=5.7_high_value=1242790,1
07006192,clean,,0
07030009,clean,,0
07030008,clean,,0
07030007,clean,,0
07030011,clean,,0
07030006,clean,,0
07030005,clean,,0
07030012,clean,,0
07030014,clean,,0
07030015,clean,,0
07032017,flag-for-review,statistical_outlier:est_value_high_z=-2.9_low_value=4722,1
07030016,clean,,0
07030003,clean,,0
07032016,clean,,0
07030017,clean,,0
07032015,clean,,0
07030018,clean,,0
07032019,clean,,0
07032014,clean,,0
07030002,clean,,0
07032013,clean,,0
07032012,clean,,0
07032011,clean,,0
07032020,clean,,0
07032010,clean,,0
07032009,flag-for-review,statistical_outlier:est_value_high_z=-2.8_low_value=14572,1
07032022,clean,,0
07032008,clean,,0
07032023,clean,,0
07031008,clean,,0
07032007,clean,,0
07032024,clean,,0
07031007,clean,,0
07032006,clean,,0
07032025,clean,,0
07031006,clean,,0
07031010,clean,,0
07032026,clean,,0
07031005,clean,,0
07032005,clean,,0
07032004,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.6_low_value=-710,1
07032027,clean,,0
07031004,clean,,0
07032028,flag-for-review,statistical_outlier:est_value_high_z=-2.5_low_value=60716,1
07032029,clean,,0
07032030,clean,,0
07031012,clean,,0
07032031,clean,,0
07032032,clean,,0
07031013,clean,,0
07031002,clean,,0
07032033,clean,,0
07031014,clean,,0
07033015,clean,,0
07032034,clean,,0
07031015,clean,,0
07033014,flag-for-review,statistical_outlier:available_gfa_sf_z=-2.5_low_value=-583,1
07032002,clean,,0
07033017,clean,,0
07031016,clean,,0
07033013,clean,,0
07033012,clean,,0
07033011,clean,,0
07033010,clean,,0
07033009,clean,,0
07033019,clean,,0
07033008,clean,,0
07033020,clean,,0
07033007,clean,,0
07033021,clean,,0
07033006,clean,,0
07033022,clean,,0
07033005,clean,,0
07033023,clean,,0
07006193,clean,,0
07006194,clean,,0
07029007,clean,,0
07030010,clean,,0
07030004,clean,,0
07032018,clean,,0
07030013,clean,,0
07030001,clean,,0
07031009,clean,,0
07032021,clean,,0
07032003,clean,,0
07031003,clean,,0
07031011,clean,,0
07033016,clean,,0
07031001,clean,,0
07032001,clean,,0
07033018,clean,,0
07033003,clean,,0
07006190,clean,,0
07029020,clean,,0
07029017,clean,,0
07029021,clean,,0
07029016,clean,,0
07029008,clean,,0
07029010,clean,,0
07029022,clean,,0
07029015,clean,,0
07029011,clean,,0
07029023,clean,,0
07029014,clean,,0
07029012,clean,,0
07029005,clean,,0
07029002,clean,,0
07029029,clean,,0
07029026,clean,,0
07029027,clean,,0
07036006,clean,,0
07036009,clean,,0
07035026,clean,,0
