parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample
07006252,"1714 N Glebe Rd, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,6709.0,50.4,False,1968.0,511-Single Family Detached,746.0,,740300.0,167400.0,2012.6999999999998,5031.75,35,4285.75,14.825855815571124,underdeveloped,estimated_from_improvement_value,346799.30416852987,472908.14204799524,224.37,176.17,272.58,33
07006253,"1710 N Glebe Rd, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,11730.0,44.0,False,1960.0,511-Single Family Detached,1091.0,,794500.0,244700.0,2520.0,6300.0,35,5209.0,17.317460317460316,underdeveloped,estimated_from_improvement_value,361302.0277777778,492684.5833333333,224.37,176.17,272.58,33
07006186,"1706 N Glebe Rd, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,5606.0,51.5,False,1937.0,511-Single Family Detached,1058.0,,728400.0,237400.0,1681.8,4204.5,35,3146.5,25.163515281246283,underdeveloped,estimated_from_improvement_value,299809.92508027115,408831.7160185515,224.37,176.17,272.58,33
07006188,"4639 17Th St N, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,8378.0,68.9,True,1937.0,511-Single Family Detached,1642.0,,842600.0,368500.0,2513.4,6283.5,35,4641.5,26.13193283997772,underdeveloped,estimated_from_improvement_value,342326.78363969125,466809.2504177607,224.37,176.17,272.58,33
07006174,"1900 N Glebe Rd, Arlington VA 22207",Waycroft - Woodlawn,R-6,True,91039.0,208.1,True,1000.0,215-Gen Comm - other,3283.0,,4125900.0,736500.0,2520.0,6300.0,35,3017.0,52.11111111111111,underdeveloped,estimated_from_improvement_value,1086716.2166666668,1481885.75,224.37,176.17,272.58,33
07006342,"N Glebe Rd, Arlington VA 22207",Waycroft - Woodlawn,R-6,True,13662.0,91.2,True,,510-Res - Vacant(SF & Twnhse),,,724800.0,0.0,2520.0,6300.0,35,6300.0,0.0,vacant,not_available,398640.00000000006,543600.0,224.37,176.17,272.58,33
07006184,"1722 N Glebe Rd, Arlington VA 22207",Waycroft - Woodlawn,R-6,True,57431.0,111.8,True,1941.0,511-Single Family Detached,446.0,,1783300.0,100000.0,2520.0,6300.0,35,5854.0,7.07936507936508,underdeveloped,estimated_from_improvement_value,911379.5253968254,1242790.2619047617,224.37,176.17,272.58,33
07006192,"4659 17Th St N, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,7588.0,56.4,False,1937.0,511-Single Family Detached,589.0,,791400.0,132200.0,2276.4,5691.0,35,5102.0,10.34967492532068,underdeveloped,estimated_from_improvement_value,390220.9699525567,532119.5044807591,224.37,176.17,272.58,33
07030009,"4714 17Th St N, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,6118.0,52.2,False,1931.0,511-Single Family Detached,1639.0,,815400.0,367700.0,1835.3999999999999,4588.5,35,2949.5,35.71973411790346,underdeveloped,estimated_from_improvement_value,288277.70840143843,393105.96600196144,224.37,176.17,272.58,33
07030008,"4718 17Th St N, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,6119.0,52.1,False,1937.0,511-Single Family Detached,836.0,,815400.0,187600.0,1835.7,4589.25,35,3753.25,18.216484174974124,underdeveloped,estimated_from_improvement_value,366774.5334204936,500147.09102794575,224.37,176.17,272.58,33
07030007,"4722 17Th St N, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,6119.0,52.1,False,1937.0,511-Single Family Detached,2713.0,,815400.0,608800.0,1835.7,4589.25,35,1876.25,59.11641335730239,underdeveloped,estimated_from_improvement_value,183350.621016506,250023.57411341724,224.37,176.17,272.58,33
07030011,"1634 N Abingdon St, Arlington VA 22207",Waycroft - Woodlawn,R-6,False,5757.0,51.4,False,1937.0,511-Single Family Detached,1745.0,,811100.0,391500.0,1727.1,4317.75,35,2572.75,40.41456777256673,underdeveloped,estimated_from_improvement_value,265813.59243819123,362473.08059753344,224.37,176.17,272.58,33
